Subject,Start Date,Start Time,End Date,End Time,Description,Location
MA-155/Forel/01/Stat - Streaming,2015-01-06,12:15,2015-01-06,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300). CG-C2 041 auditorium (80)
DAT217/Forel/02,2015-01-06,14:15,2015-01-06,16:00,Assev Sigurd M,CG-A3 041 klasserom m/amfi (50). CG-A3 100 pc-lab (nettverk) (28)
MA-155/Forel/02/Stat - Streaming,2015-01-07,12:15,2015-01-07,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300). CG-C2 041 auditorium (80)
MA-155/Øv/01 DATA,2015-01-07,14:15,2015-01-07,16:00,Nyberg Svein O.,CG-A2 046 klasserom. CG-A2 047 klasserom
DAT211/Forel/01,2015-01-08,08:15,2015-01-08,10:00,Brinch Sigurd,CG-A3 100 pc-lab (nettverk) (28)
DAT211/Forel/02,2015-01-08,10:15,2015-01-08,12:00,Brinch Sigurd,CG-A3 100 pc-lab (nettverk) (28)
DAT211/pc-lab/01,2015-01-08,12:15,2015-01-08,16:00,Brinch Sigurd,CG-A3 100 pc-lab (nettverk) (28)
DAT217/Forel/01,2015-01-09,08:15,2015-01-09,10:00,Assev Sigurd M,CG-A3 041 klasserom m/amfi (50). CG-A3 100 pc-lab (nettverk) (28)
DAT217/labøv/01,2015-01-09,10:15,2015-01-09,14:00,Assev Sigurd M,CG-A3 100 pc-lab (nettverk) (28)
MA-155/Forel/Øv/01/Økonomi,2015-01-09,14:15,2015-01-09,16:00,Aas-Laland Yvonne Kathrine,CG-C2 036 auditorium (300). CG-C4 055 auditorium (60)
MA-155/Forel/01/Stat - Streaming,2015-01-13,12:15,2015-01-13,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300). CG-C2 041 auditorium (80)
DAT217/Forel/02,2015-01-13,14:15,2015-01-13,16:00,Assev Sigurd M,CG-A3 041 klasserom m/amfi (50). CG-A3 100 pc-lab (nettverk) (28)
MA-155/Forel/02/Stat - Streaming,2015-01-14,12:15,2015-01-14,14:00,Nyberg Svein O.,CG-C2 036 auditorium (300). CG-C2 041 auditorium (80)
MA-155/Øv/01 DATA,2015-01-14,14:15,2015-01-14,16:00,Nyberg Svein O.,CG-A2 046 klasserom. CG-A2 047 klasserom
DAT211/Forel/01,2015-01-15,08:15,2015-01-15,10:00,Brinch Sigurd,CG-A3 100 pc-lab (nettverk) (28)
DAT211/Forel/02,2015-01-15,10:15,2015-01-15,12:00,Brinch Sigurd,CG-A3 100 pc-lab (nettverk) (28)
