Subject,Start Date,Start Time,End Date,End Time,Description,Location
FYS118/FYS121/FYS122/Forel/uke 02-15 mandag,2015-01-05,10:15,2015-01-05,12:00,Hogstad Per Henrik,CG-C2 036 auditorium (300)
BYG110/Forel/02,2015-01-05,12:15,2015-01-05,14:00,Nilsen Tom V.,CG-C2 042 auditorium (142)
BYG110/Øv/02,2015-01-05,14:15,2015-01-05,16:00,Nilsen Tom V.,CG-A3 020 klasserom (40). CG-A3 023 klasserom (40)
FYS002/Øv/01,2015-01-05,16:15,2015-01-05,18:00,Studentassistent FYS002. Søyland Terje,CG-A2 023 klasserom. CG-A2 025 klasserom RT. CG-A2 027 klasserom
FYS118/FYS121/FYS122/Forel/uke 02-15 tirsdag,2015-01-06,08:15,2015-01-06,10:00,Hogstad Per Henrik,CG-C2 036 auditorium (300)
MA-156/157/158/159/160/Forel/01 Streaming,2015-01-06,14:15,2015-01-06,16:00,Nyberg Svein O.,CG-C2 036 auditorium (300). CG-C2 042 auditorium (142)
FYS002/Forel/01 tirsdag,2015-01-06,16:15,2015-01-06,18:00,Søyland Terje,CG-C2 036 auditorium (300)
FYS118/FYS121/FYS122/Øv/uke 02-19,2015-01-07,08:15,2015-01-07,10:00,Hogstad Per Henrik,CG-C2 036 auditorium (300). CG-C2 042 auditorium (142)
MA-156/157/158/159/160/Forel/02 Streaming,2015-01-07,10:15,2015-01-07,12:00,Nyberg Svein O.,CG-C2 036 auditorium (300). CG-C2 042 auditorium (142)
MA-156/Forel/BYGG,2015-01-07,14:15,2015-01-07,15:00,Trondal Jostein,CG-C2 040 auditorium (80)
MA-156/øv/BYGG,2015-01-07,15:15,2015-01-07,17:00,Trondal Jostein,CG-C2 040 auditorium (80)
BYG110/Forel/01,2015-01-08,10:15,2015-01-08,12:00,Nilsen Tom V.,CG-C2 040 auditorium (80)
BYG110/Øv/01,2015-01-08,12:15,2015-01-08,14:00,Nilsen Tom V.,CG-A2 021 klasserom. CG-A3 041 klasserom m/amfi (50)
FYS002/forel/02 torsdag,2015-01-08,16:15,2015-01-08,18:00,Søyland Terje,CG-C2 036 auditorium (300)
BYG110/Øv/03 Alternativ uke 2. 4-8. 11. 13,2015-01-09,12:15,2015-01-09,14:00,Studentassistent BYG110,CG-A2 084 auditorium. CG-A3 025 klasserom (40) VER
FYS118/FYS121/FYS122/Forel/uke 02-15 mandag,2015-01-12,10:15,2015-01-12,12:00,Hogstad Per Henrik,CG-C2 036 auditorium (300)
BYG110/Forel/02,2015-01-12,12:15,2015-01-12,14:00,Nilsen Tom V.,CG-C2 042 auditorium (142)
BYG110/Øv/02,2015-01-12,14:15,2015-01-12,16:00,Nilsen Tom V.,CG-A3 020 klasserom (40). CG-A3 023 klasserom (40)
FYS002/Øv/01,2015-01-12,16:15,2015-01-12,18:00,Studentassistent FYS002. Søyland Terje,CG-A2 023 klasserom. CG-A2 025 klasserom RT. CG-A2 027 klasserom
FYS118/FYS121/FYS122/Forel/uke 02-15 tirsdag,2015-01-13,08:15,2015-01-13,10:00,Hogstad Per Henrik,CG-C2 036 auditorium (300)
MA-156/157/158/159/160/Forel/01 Streaming,2015-01-13,14:15,2015-01-13,16:00,Nyberg Svein O.,CG-C2 036 auditorium (300). CG-C2 042 auditorium (142)
FYS002/Forel/01 tirsdag,2015-01-13,16:15,2015-01-13,18:00,Søyland Terje,CG-C2 036 auditorium (300)
FYS118/FYS121/FYS122/Øv/uke 02-19,2015-01-14,08:15,2015-01-14,10:00,Hogstad Per Henrik,CG-C2 036 auditorium (300). CG-C2 042 auditorium (142)
MA-156/157/158/159/160/Forel/02 Streaming,2015-01-14,10:15,2015-01-14,12:00,Nyberg Svein O.,CG-C2 036 auditorium (300). CG-C2 042 auditorium (142)
MA-156/Forel/BYGG,2015-01-14,14:15,2015-01-14,15:00,Trondal Jostein,CG-C2 040 auditorium (80)
MA-156/øv/BYGG,2015-01-14,15:15,2015-01-14,17:00,Trondal Jostein,CG-C2 040 auditorium (80)
BYG110/Forel/01,2015-01-15,10:15,2015-01-15,12:00,Nilsen Tom V.,CG-C2 040 auditorium (80)
BYG110/Øv/01,2015-01-15,12:15,2015-01-15,14:00,Nilsen Tom V.,CG-A2 021 klasserom. CG-A3 041 klasserom m/amfi (50)
FYS002/forel/02 torsdag,2015-01-15,16:15,2015-01-15,18:00,Søyland Terje,CG-C2 036 auditorium (300)
BYG110/Øv/03 Alternativ uke 3,2015-01-16,12:15,2015-01-16,14:00,Studentassistent BYG110,CG-A2 023 klasserom. CG-A2 123 klasserom (fjernunderv.)
FYS118/FYS121/FYS122/Forel/uke 02-15 mandag,2015-01-19,10:15,2015-01-19,12:00,Hogstad Per Henrik,CG-C2 036 auditorium (300)
BYG110/Forel/02,2015-01-19,12:15,2015-01-19,14:00,Nilsen Tom V.,CG-C2 042 auditorium (142)
BYG110/Øv/02,2015-01-19,14:15,2015-01-19,16:00,Nilsen Tom V.,CG-A3 020 klasserom (40). CG-A3 023 klasserom (40)
FYS002/Øv/01,2015-01-19,16:15,2015-01-19,18:00,Studentassistent FYS002. Søyland Terje,CG-A2 023 klasserom. CG-A2 025 klasserom RT. CG-A2 027 klasserom
FYS118/FYS121/FYS122/Forel/uke 02-15 tirsdag,2015-01-20,08:15,2015-01-20,10:00,Hogstad Per Henrik,CG-C2 036 auditorium (300)
MA-156/157/158/159/160/Forel/01 Streaming,2015-01-20,14:15,2015-01-20,16:00,Nyberg Svein O.,CG-C2 036 auditorium (300). CG-C2 042 auditorium (142)
FYS002/Forel/01 tirsdag,2015-01-20,16:15,2015-01-20,18:00,Søyland Terje,CG-C2 036 auditorium (300)
FYS118/FYS121/FYS122/Øv/uke 02-19,2015-01-21,08:15,2015-01-21,10:00,Hogstad Per Henrik,CG-C2 036 auditorium (300). CG-C2 042 auditorium (142)
MA-156/157/158/159/160/Forel/02 Streaming,2015-01-21,10:15,2015-01-21,12:00,Nyberg Svein O.,CG-C2 036 auditorium (300). CG-C2 042 auditorium (142)
MA-156/Forel/BYGG,2015-01-21,14:15,2015-01-21,15:00,Trondal Jostein,CG-C2 040 auditorium (80)
MA-156/øv/BYGG,2015-01-21,15:15,2015-01-21,17:00,Trondal Jostein,CG-C2 040 auditorium (80)
BYG110/Forel/01,2015-01-22,10:15,2015-01-22,12:00,Nilsen Tom V.,CG-C2 040 auditorium (80)
BYG110/Øv/01,2015-01-22,12:15,2015-01-22,14:00,Nilsen Tom V.,CG-A2 021 klasserom. CG-A3 041 klasserom m/amfi (50)
FYS002/forel/02 torsdag,2015-01-22,16:15,2015-01-22,18:00,Søyland Terje,CG-C2 036 auditorium (300)
BYG110/Øv/03 Alternativ uke 2. 4-8. 11. 13,2015-01-23,12:15,2015-01-23,14:00,Studentassistent BYG110,CG-A2 084 auditorium. CG-A3 025 klasserom (40) VER
FYS118/FYS121/FYS122/Forel/uke 02-15 mandag,2015-01-26,10:15,2015-01-26,12:00,Hogstad Per Henrik,CG-C2 036 auditorium (300)
BYG110/Forel/02,2015-01-26,12:15,2015-01-26,14:00,Nilsen Tom V.,CG-C2 042 auditorium (142)
BYG110/Øv/02,2015-01-26,14:15,2015-01-26,16:00,Nilsen Tom V.,CG-A3 020 klasserom (40). CG-A3 023 klasserom (40)
FYS002/Øv/01,2015-01-26,16:15,2015-01-26,18:00,Studentassistent FYS002. Søyland Terje,CG-A2 023 klasserom. CG-A2 025 klasserom RT. CG-A2 027 klasserom
FYS118/FYS121/FYS122/Forel/uke 02-15 tirsdag,2015-01-27,08:15,2015-01-27,10:00,Hogstad Per Henrik,CG-C2 036 auditorium (300)
MA-156/157/158/159/160/Forel/01 Streaming,2015-01-27,14:15,2015-01-27,16:00,Nyberg Svein O.,CG-C2 036 auditorium (300). CG-C2 042 auditorium (142)
FYS002/Forel/01 tirsdag,2015-01-27,16:15,2015-01-27,18:00,Søyland Terje,CG-C2 036 auditorium (300)
FYS118/FYS121/FYS122/Øv/uke 02-19,2015-01-28,08:15,2015-01-28,10:00,Hogstad Per Henrik,CG-C2 036 auditorium (300). CG-C2 042 auditorium (142)
MA-156/157/158/159/160/Forel/02 Streaming,2015-01-28,10:15,2015-01-28,12:00,Nyberg Svein O.,CG-C2 036 auditorium (300). CG-C2 042 auditorium (142)
MA-156/Forel/BYGG,2015-01-28,14:15,2015-01-28,15:00,Trondal Jostein,CG-C2 040 auditorium (80)
MA-156/øv/BYGG,2015-01-28,15:15,2015-01-28,17:00,Trondal Jostein,CG-C2 040 auditorium (80)
BYG110/Forel/01,2015-01-29,10:15,2015-01-29,12:00,Nilsen Tom V.,CG-C2 040 auditorium (80)
BYG110/Øv/01,2015-01-29,12:15,2015-01-29,14:00,Nilsen Tom V.,CG-A2 021 klasserom. CG-A3 041 klasserom m/amfi (50)
FYS002/forel/02 torsdag,2015-01-29,16:15,2015-01-29,18:00,Søyland Terje,CG-C2 036 auditorium (300)
BYG110/Øv/03 Alternativ uke 2. 4-8. 11. 13,2015-01-30,12:15,2015-01-30,14:00,Studentassistent BYG110,CG-A2 084 auditorium. CG-A3 025 klasserom (40) VER
FYS118/FYS121/FYS122/Forel/uke 02-15 mandag,2015-02-02,10:15,2015-02-02,12:00,Hogstad Per Henrik,CG-C2 036 auditorium (300)
BYG110/Forel/02,2015-02-02,12:15,2015-02-02,14:00,Nilsen Tom V.,CG-C2 042 auditorium (142)
BYG110/Øv/02,2015-02-02,14:15,2015-02-02,16:00,Nilsen Tom V.,CG-A3 020 klasserom (40). CG-A3 023 klasserom (40)
FYS002/Øv/01,2015-02-02,16:15,2015-02-02,18:00,Studentassistent FYS002. Søyland Terje,CG-A2 023 klasserom. CG-A2 025 klasserom RT. CG-A2 027 klasserom
FYS118/FYS121/FYS122/Forel/uke 02-15 tirsdag,2015-02-03,08:15,2015-02-03,10:00,Hogstad Per Henrik,CG-C2 036 auditorium (300)
MA-156/157/158/159/160/Forel/01 Streaming,2015-02-03,14:15,2015-02-03,16:00,Nyberg Svein O.,CG-C2 036 auditorium (300). CG-C2 042 auditorium (142)
FYS002/Forel/01 tirsdag,2015-02-03,16:15,2015-02-03,18:00,Søyland Terje,CG-C2 036 auditorium (300)
FYS118/FYS121/FYS122/Øv/uke 02-19,2015-02-04,08:15,2015-02-04,10:00,Hogstad Per Henrik,CG-C2 036 auditorium (300). CG-C2 042 auditorium (142)
