Subject,Start Date,Start Time,End Date,End Time,Description,Location
-KOM113 Se egen plan!,2015-01-05,08:15,2015-01-05,09:00,Andresen Kenneth. Lindøe Siri Hempel,CK x D4 007 medierom-
-KOM109 for,2015-01-06,10:15,2015-01-06,12:00,Andresen Kenneth. Engebretsen Martin. Heddeland Svein. Hodøl Hans-Olav,CK B3 007 aud 
-KOM109 lab 1,2015-01-06,12:15,2015-01-06,14:00,Andresen Kenneth. Engebretsen Martin. Heddeland Svein. Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 2,2015-01-06,14:15,2015-01-06,16:00,Andresen Kenneth. Engebretsen Martin. Heddeland Svein. Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 3,2015-01-08,09:15,2015-01-08,11:00,Andresen Kenneth. Engebretsen Martin. Heddeland Svein. Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 4,2015-01-08,12:15,2015-01-08,14:00,Andresen Kenneth. Engebretsen Martin. Heddeland Svein. Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 5,2015-01-08,14:15,2015-01-08,16:00,Andresen Kenneth. Engebretsen Martin. Heddeland Svein. Hodøl Hans-Olav,CK F1 021 lab-
-KOM113 Se egen plan!,2015-01-12,08:15,2015-01-12,09:00,Andresen Kenneth. Lindøe Siri Hempel,CK x D4 007 medierom-
-KOM109 for,2015-01-13,10:15,2015-01-13,12:00,Andresen Kenneth. Engebretsen Martin. Heddeland Svein. Hodøl Hans-Olav,CK B3 007 aud 
-KOM109 lab 1,2015-01-13,12:15,2015-01-13,14:00,Andresen Kenneth. Engebretsen Martin. Heddeland Svein. Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 2,2015-01-13,14:15,2015-01-13,16:00,Andresen Kenneth. Engebretsen Martin. Heddeland Svein. Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 3,2015-01-15,09:15,2015-01-15,11:00,Andresen Kenneth. Engebretsen Martin. Heddeland Svein. Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 4,2015-01-15,12:15,2015-01-15,14:00,Andresen Kenneth. Engebretsen Martin. Heddeland Svein. Hodøl Hans-Olav,CK F1 021 lab-
-KOM109 lab 5,2015-01-15,14:15,2015-01-15,16:00,Andresen Kenneth. Engebretsen Martin. Heddeland Svein. Hodøl Hans-Olav,CK F1 021 lab-
-KOM113 Se egen plan!,2015-01-19,08:15,2015-01-19,09:00,Andresen Kenneth. Lindøe Siri Hempel,CK x D4 007 medierom-
-KOM109 for,2015-01-20,10:15,2015-01-20,12:00,Andresen Kenneth. Engebretsen Martin. Heddeland Svein. Hodøl Hans-Olav,CK B3 007 aud 
-KOM109 for uke 4,2015-01-20,13:15,2015-01-20,14:00,Andresen Kenneth. Engebretsen Martin. Heddeland Svein. Hodøl Hans-Olav,CK B3 007 aud 
