Subject,Start Date,Start Time,End Date,End Time,Description,Location
"kH-128 forel tirs",2015-01-06,10:15,2015-01-06,12:00,"","CK G1 051 aud"
"KH-128 forel tors",2015-01-08,10:15,2015-01-08,12:00,"","CK G1 051 aud"
"kH-128 forel tirs",2015-01-13,10:15,2015-01-13,12:00,"","CK G1 051 aud"
"KH-128 forel tors",2015-01-15,10:15,2015-01-15,12:00,"","CK G1 051 aud"
"kH-128 forel tirs",2015-01-20,10:15,2015-01-20,12:00,"","CK G1 051 aud"
"KH-128 forel tors",2015-01-22,10:15,2015-01-22,12:00,"","CK G1 051 aud"
"kH-128 forel tirs",2015-01-27,10:15,2015-01-27,12:00,"","CK G1 051 aud"
"KH-128 forel tors",2015-01-29,10:15,2015-01-29,12:00,"","CK G1 051 aud"
"kH-128 forel tirs",2015-02-03,10:15,2015-02-03,12:00,"","CK G1 051 aud"
"KH-128 forel tors",2015-02-05,10:15,2015-02-05,12:00,"","CK G1 051 aud"
"kH-128 forel tirs",2015-02-10,10:15,2015-02-10,12:00,"","CK G1 051 aud"
"KH-128 forel tors",2015-02-12,10:15,2015-02-12,12:00,"","CK G1 051 aud"
"kH-128 forel tirs",2015-02-17,10:15,2015-02-17,12:00,"","CK G1 051 aud"
"KH-128 forel tors",2015-02-19,10:15,2015-02-19,12:00,"","CK G1 051 aud"
"kH-128 forel tirs",2015-02-24,10:15,2015-02-24,12:00,"","CK G1 051 aud"
"KH-128 forel tors",2015-02-26,10:15,2015-02-26,12:00,"","CK G1 051 aud"
"KH-128 forel tors",2015-03-05,10:15,2015-03-05,12:00,"","CK G1 051 aud"
"kH-128 forel tirs",2015-03-10,10:15,2015-03-10,12:00,"","CK G1 051 aud"
"KH-128 forel tors",2015-03-12,10:15,2015-03-12,12:00,"","CK G1 051 aud"
"kH-128 forel tirs",2015-03-17,10:15,2015-03-17,12:00,"","CK G1 051 aud"
"KH-128 forel tors",2015-03-19,10:15,2015-03-19,12:00,"","CK G1 051 aud"
"kH-128 forel tirs",2015-03-24,10:15,2015-03-24,12:00,"","CK G1 051 aud"
"KH-128 forel tors",2015-03-26,10:15,2015-03-26,12:00,"","CK G1 051 aud"
