Subject,Start Date,Start Time,End Date,End Time,Description,Location
BIO103-1 forel tirs,2015-01-06,08:15,2015-01-06,10:00,Grundetjern Svein,CK J1 064 aud
BIO102-1 forel tirs,2015-01-06,10:15,2015-01-06,12:00,Sandvik Sylvi M.,CK JU 071 aud
KJ-113-1 forel tirs,2015-01-06,16:15,2015-01-06,18:00,Svendsen Monica Lian,CK J1 064 aud
KJ-113-1 forel ons,2015-01-07,08:15,2015-01-07,09:00,Svendsen Monica Lian,CK J1 064 aud
BIO102-1 forel fred,2015-01-09,08:15,2015-01-09,10:00,Sandvik Sylvi M.,CK J1 064 aud
BIO103-1 forel fred,2015-01-09,10:15,2015-01-09,12:00,Grundetjern Svein,CK J1 064 aud
BIO103-1 forel tirs,2015-01-13,08:15,2015-01-13,10:00,Grundetjern Svein,CK J1 064 aud
BIO102-1 forel tirs,2015-01-13,10:15,2015-01-13,12:00,Sandvik Sylvi M.,CK JU 071 aud
KJ-113-1 forel tirs,2015-01-13,16:15,2015-01-13,18:00,Svendsen Monica Lian,CK J1 064 aud
KJ-113-1 forel ons,2015-01-14,08:15,2015-01-14,09:00,Svendsen Monica Lian,CK J1 064 aud
BIO103-1 lab tors zoologi gr A ,2015-01-15,09:15,2015-01-15,13:00,Grundetjern Svein,CK J1 001 bio
BIO103-1 lab tors zoologi gr B,2015-01-15,13:15,2015-01-15,17:00,Grundetjern Svein,CK J1 001 bio
BIO102-1 forel fred,2015-01-16,08:15,2015-01-16,10:00,Sandvik Sylvi M.,CK J1 064 aud
BIO103-1 forel fred,2015-01-16,10:15,2015-01-16,12:00,Grundetjern Svein,CK J1 064 aud
BIO103-1 forel tirs,2015-01-20,08:15,2015-01-20,10:00,Grundetjern Svein,CK J1 064 aud
BIO102-1 forel tirs,2015-01-20,10:15,2015-01-20,12:00,Sandvik Sylvi M.,CK JU 071 aud
KJ-113-1 forel tirs,2015-01-20,16:15,2015-01-20,18:00,Svendsen Monica Lian,CK J1 064 aud
KJ-113-1 forel ons,2015-01-21,08:15,2015-01-21,09:00,Svendsen Monica Lian,CK J1 064 aud
BIO102-1 lab tors botanikk gr A,2015-01-22,09:15,2015-01-22,13:00,Sandvik Sylvi M.,CK J1 001 bio
BIO102-1 lab tors botanikk gr B,2015-01-22,13:15,2015-01-22,18:00,Sandvik Sylvi M.,CK J1 001 bio
BIO102-1 forel fred,2015-01-23,08:15,2015-01-23,10:00,Sandvik Sylvi M.,CK J1 064 aud
BIO103-1 forel fred,2015-01-23,10:15,2015-01-23,12:00,Grundetjern Svein,CK J1 064 aud
KJ-113-1 lab forel tirs,2015-01-26,08:15,2015-01-26,09:00,Svendsen Monica Lian,CK I1 066 aud
BIO103-1 forel tirs,2015-01-27,08:15,2015-01-27,10:00,Grundetjern Svein,CK J1 064 aud
BIO102-1 forel tirs,2015-01-27,10:15,2015-01-27,12:00,Sandvik Sylvi M.,CK JU 071 aud
KJ-113-1 forel tirs,2015-01-27,16:15,2015-01-27,18:00,Svendsen Monica Lian,CK J1 064 aud
KJ-113-1 forel ons,2015-01-28,08:15,2015-01-28,09:00,Svendsen Monica Lian,CK J1 064 aud
BIO103-1 lab tors zoologi gr A ,2015-01-29,09:15,2015-01-29,13:00,Grundetjern Svein,CK J1 001 bio
BIO103-1 lab tors zoologi gr B,2015-01-29,13:15,2015-01-29,17:00,Grundetjern Svein,CK J1 001 bio
BIO102-1 forel fred,2015-01-30,08:15,2015-01-30,10:00,Sandvik Sylvi M.,CK J1 064 aud
BIO103-1 forel fred,2015-01-30,10:15,2015-01-30,12:00,Grundetjern Svein,CK J1 064 aud
KJ-113-1 lab gr 5 fre,2015-01-30,12:15,2015-01-30,16:00,Svendsen Monica Lian,CK JU 017 kjemi
KJ-113-1 gr,2015-02-02,12:15,2015-02-02,14:00,Svendsen Monica Lian,CK JK 031. CK JK 032. CK JK 033. CK J1 031. CK J1 032. CK J1 057. CK J1 056. CK JK 037
BIO103-1 forel tirs,2015-02-03,08:15,2015-02-03,10:00,Grundetjern Svein,CK J1 064 aud
BIO102-1 forel tirs,2015-02-03,10:15,2015-02-03,12:00,Sandvik Sylvi M.,CK JU 071 aud
KJ-113-1 forel tirs,2015-02-03,16:15,2015-02-03,18:00,Svendsen Monica Lian,CK J1 064 aud
KJ-113-1 forel ons,2015-02-04,08:15,2015-02-04,09:00,Svendsen Monica Lian,CK J1 064 aud
BIO102-1 lab tors botanikk gr A,2015-02-05,09:15,2015-02-05,13:00,Sandvik Sylvi M.,CK J1 001 bio
BIO102-1 lab tors botanikk gr B,2015-02-05,13:15,2015-02-05,18:00,Sandvik Sylvi M.,CK J1 001 bio
BIO102-1 forel fred,2015-02-06,08:15,2015-02-06,10:00,Sandvik Sylvi M.,CK J1 064 aud
BIO103-1 forel fred,2015-02-06,10:15,2015-02-06,12:00,Grundetjern Svein,CK J1 064 aud
KJ-113-1 lab forel tirs,2015-02-09,08:15,2015-02-09,09:00,Svendsen Monica Lian,CK I1 066 aud
BIO103-1 forel tirs,2015-02-10,08:15,2015-02-10,10:00,Grundetjern Svein,CK J1 064 aud
BIO102-1 forel tirs,2015-02-10,10:15,2015-02-10,12:00,Sandvik Sylvi M.,CK JU 071 aud
KJ-113-1 forel tirs,2015-02-10,16:15,2015-02-10,18:00,Svendsen Monica Lian,CK J1 064 aud
KJ-113-1 forel ons,2015-02-11,08:15,2015-02-11,09:00,Svendsen Monica Lian,CK J1 064 aud
BIO103-1 lab tors zoologi gr A ,2015-02-12,09:15,2015-02-12,13:00,Grundetjern Svein,CK J1 001 bio
BIO103-1 lab tors zoologi gr B,2015-02-12,13:15,2015-02-12,17:00,Grundetjern Svein,CK J1 001 bio
