Subject,Start Date,Start Time,End Date,End Time,Description,Location
-NAT101/NAT102,2015-01-07,08:15,2015-01-07,12:00,Lien Anne,CK D3 054 sem
-NAT102/NAT101,2015-01-07,08:15,2015-01-07,12:00,Lien Anne,CK D3 054 sem
-MA-112/MA-113,2015-01-07,13:15,2015-01-07,17:00,Madsen John,CK D3 054 sem
-PED116 heltid kl B,2015-01-08,09:15,2015-01-08,13:00,Witsø Hilde,CK F2 004 sem
-PED116 heltid kl A,2015-01-08,09:15,2015-01-08,13:00,Garmanslund Per Einar,CK F1 018 sem
B/15/01/09 Temadag IKT PPU,2015-01-09,09:15,2015-01-09,12:00,,CK B2 003 aud
B/15/01/09 Temadag IKT PPU,2015-01-09,12:15,2015-01-09,15:00,,CK F1 018 sem, CK F2 004 sem, CK D3 026
B/15/01/09 Temadag IKT PPU,2015-01-09,12:15,2015-01-09,15:00,,CK F1 024 aud/gr
-MA-112/MA-113,2015-02-25,13:15,2015-02-25,17:00,Madsen John,CK D3 054 sem
-NAT101/NAT102,2015-03-04,08:15,2015-03-04,12:00,Lien Anne,CK D3 054 sem
-NAT102/NAT101,2015-03-04,08:15,2015-03-04,12:00,Lien Anne,CK D3 054 sem
-MA-112/MA-113,2015-03-04,13:15,2015-03-04,17:00,Madsen John,CK D3 054 sem
-PED116 heltid kl B,2015-03-05,09:15,2015-03-05,13:00,Witsø Hilde,CK F2 004 sem
-PED116 heltid kl A,2015-03-05,09:15,2015-03-05,13:00,Garmanslund Per Einar,CK F1 018 sem
-PED116 heltid kl B,2015-03-06,09:15,2015-03-06,15:00,Witsø Hilde,CK F2 004 sem
-PED116 heltid kl A,2015-03-06,09:15,2015-03-06,15:00,Garmanslund Per Einar,CK F1 018 sem
-MA-112/MA-113,2015-03-11,13:15,2015-03-11,17:00,Madsen John,CK D3 054 sem
-PED116 heltid kl B,2015-03-12,09:15,2015-03-12,13:00,Witsø Hilde,CK F2 004 sem
-PED116 heltid kl A,2015-03-12,09:15,2015-03-12,13:00,Garmanslund Per Einar,CK F1 018 sem
-PED116 heltid kl B,2015-03-13,09:15,2015-03-13,15:00,Witsø Hilde,CK F2 004 sem
-PED116 heltid kl A,2015-03-13,09:15,2015-03-13,15:00,Garmanslund Per Einar,CK F1 018 sem
-NAT101/NAT102 lab uke 12,13,2015-03-18,08:15,2015-03-18,12:00,Lien Anne,CK J1 004 bio
-MA-112/MA-113,2015-03-18,13:15,2015-03-18,17:00,Madsen John,CK D3 054 sem
-PED116 heltid kl B,2015-03-19,09:15,2015-03-19,13:00,Witsø Hilde,CK F2 004 sem
-PED116 heltid kl A,2015-03-19,09:15,2015-03-19,13:00,Garmanslund Per Einar,CK F1 018 sem
-PED116 heltid kl B,2015-03-20,09:15,2015-03-20,15:00,Witsø Hilde,CK F2 004 sem
-PED116 heltid kl A,2015-03-20,09:15,2015-03-20,15:00,Garmanslund Per Einar,CK F1 018 sem
-NAT101/NAT102 lab uke 12,13,2015-03-25,08:15,2015-03-25,12:00,Lien Anne,CK J1 004 bio
-MA-112/MA-113,2015-03-25,13:15,2015-03-25,17:00,Madsen John,CK D3 054 sem
-NAT101/NAT102,2015-04-08,08:15,2015-04-08,12:00,Lien Anne,CK D3 054 sem
-NAT102/NAT101,2015-04-08,08:15,2015-04-08,12:00,Lien Anne,CK D3 054 sem
-MA-112/MA-113,2015-04-08,13:15,2015-04-08,17:00,Madsen John,CK D3 054 sem
-NAT101/NAT102,2015-04-15,08:15,2015-04-15,12:00,Lien Anne,CK D3 054 sem
-NAT102/NAT101,2015-04-15,08:15,2015-04-15,12:00,Lien Anne,CK D3 054 sem
-MA-112/MA-113,2015-04-15,13:15,2015-04-15,17:00,Madsen John,CK D3 054 sem
-PED116 heltid kl B,2015-04-16,09:15,2015-04-16,13:00,Witsø Hilde,CK F2 004 sem
-PED116 heltid kl A,2015-04-16,09:15,2015-04-16,13:00,Garmanslund Per Einar,CK F1 018 sem
-PED116 heltid kl B,2015-04-17,09:15,2015-04-17,15:00,Witsø Hilde,CK F2 004 sem
-PED116 heltid kl A,2015-04-17,09:15,2015-04-17,15:00,Garmanslund Per Einar,CK F1 018 sem
-NAT101/NAT102,2015-04-22,08:15,2015-04-22,12:00,Lien Anne,CK D3 054 sem
-NAT102/NAT101,2015-04-22,08:15,2015-04-22,12:00,Lien Anne,CK D3 054 sem
-MA-112/MA-113,2015-04-22,13:15,2015-04-22,17:00,Madsen John,CK D3 054 sem
-NAT101/NAT102,2015-04-29,08:15,2015-04-29,12:00,Lien Anne,CK D3 054 sem
-NAT102/NAT101,2015-04-29,08:15,2015-04-29,12:00,Lien Anne,CK D3 054 sem
-MA-112/MA-113,2015-04-29,13:15,2015-04-29,17:00,Madsen John,CK D3 054 sem
-PED116 heltid kl B,2015-04-30,09:15,2015-04-30,13:00,Witsø Hilde,CK F2 004 sem
-PED116 heltid kl A,2015-04-30,09:15,2015-04-30,13:00,Garmanslund Per Einar,CK F1 018 sem
-NAT101/NAT102,2015-05-06,08:15,2015-05-06,12:00,Lien Anne,CK D3 054 sem
-NAT102/NAT101,2015-05-06,08:15,2015-05-06,12:00,Lien Anne,CK D3 054 sem
-MA-112/MA-113,2015-05-06,13:15,2015-05-06,17:00,Madsen John,CK D3 054 sem
