Subject,Start Date,Start Time,End Date,End Time,Description,Location
.ST-101-1 for,2015-01-05,13:15,2015-01-05,15:00,Thorsvik Jan,CK B2 003 aud
.ST-101-1 gr,2015-01-05,15:15,2015-01-05,17:00,Thorsvik Jan,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.ST-103-1 for,2015-01-08,10:15,2015-01-08,12:00,Haslerud Gjermund,CK B3 007 aud 
.ST-102-1 for,2015-01-08,12:15,2015-01-08,14:00,Stie Anne Elizabeth,CK B1 018 aud
.ST-102-1 gr,2015-01-08,14:15,2015-01-08,16:00,Stie Anne Elizabeth,CK B2 016. CK B2 017. CK B2 018. CK B2 019. CK B2 021. CK B2 022. CK B2 023. CK B2 024. CK B2 026. CK B2 027. CK B2 028. CK B2 029. CK B2 031. CK B2 032. CK B2 033. CK B3 002. CK B3 003. CK B3 005. CK B3 012. CK B3 013. CK B3 014. CK B3 016. CK B3 017. CK B3 018. CK B3 021. CK B3 019. CK B3 022. CK B3 023. CK B3 024. CK B3 026. CK B3 027. CK B3 028. CK B3 029
.ST-101-1 for,2015-01-12,13:15,2015-01-12,15:00,Thorsvik Jan,CK B2 003 aud
.ST-101-1 gr,2015-01-12,15:15,2015-01-12,17:00,Thorsvik Jan,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.ST-103-1 for,2015-01-15,10:15,2015-01-15,12:00,Haslerud Gjermund,CK B3 007 aud 
.ST-102-1 for,2015-01-15,12:15,2015-01-15,14:00,Stie Anne Elizabeth,CK B1 018 aud
.ST-102-1 gr,2015-01-15,14:15,2015-01-15,16:00,Stie Anne Elizabeth,CK B2 016. CK B2 017. CK B2 018. CK B2 019. CK B2 021. CK B2 022. CK B2 023. CK B2 024. CK B2 026. CK B2 027. CK B2 028. CK B2 029. CK B2 031. CK B2 032. CK B2 033. CK B3 002. CK B3 003. CK B3 005. CK B3 012. CK B3 013. CK B3 014. CK B3 016. CK B3 017. CK B3 018. CK B3 021. CK B3 019. CK B3 022. CK B3 023. CK B3 024. CK B3 026. CK B3 027. CK B3 028. CK B3 029
.ST-101-1 for,2015-01-19,13:15,2015-01-19,15:00,Thorsvik Jan,CK B2 003 aud
.ST-101-1 gr,2015-01-19,15:15,2015-01-19,17:00,Thorsvik Jan,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.ST-103-1 for,2015-01-22,10:15,2015-01-22,12:00,Haslerud Gjermund,CK B3 007 aud 
.ST-102-1 for,2015-01-22,12:15,2015-01-22,14:00,Stie Anne Elizabeth,CK B1 018 aud
.ST-102-1 gr,2015-01-22,14:15,2015-01-22,16:00,Stie Anne Elizabeth,CK B2 016. CK B2 017. CK B2 018. CK B2 019. CK B2 021. CK B2 022. CK B2 023. CK B2 024. CK B2 026. CK B2 027. CK B2 028. CK B2 029. CK B2 031. CK B2 032. CK B2 033. CK B3 002. CK B3 003. CK B3 005. CK B3 012. CK B3 013. CK B3 014. CK B3 016. CK B3 017. CK B3 018. CK B3 021. CK B3 019. CK B3 022. CK B3 023. CK B3 024. CK B3 026. CK B3 027. CK B3 028. CK B3 029
.ST-101-1 for,2015-01-26,13:15,2015-01-26,15:00,Thorsvik Jan,CK B2 003 aud
.ST-101-1 gr,2015-01-26,15:15,2015-01-26,17:00,Thorsvik Jan,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.ST-103-1 for,2015-01-29,10:15,2015-01-29,12:00,Haslerud Gjermund,CK B3 007 aud 
.ST-102-1 for,2015-01-29,12:15,2015-01-29,14:00,Stie Anne Elizabeth,CK B1 018 aud
.ST-102-1 gr,2015-01-29,14:15,2015-01-29,16:00,Stie Anne Elizabeth,CK B2 016. CK B2 017. CK B2 018. CK B2 019. CK B2 021. CK B2 022. CK B2 023. CK B2 024. CK B2 026. CK B2 027. CK B2 028. CK B2 029. CK B2 031. CK B2 032. CK B2 033. CK B3 002. CK B3 003. CK B3 005. CK B3 012. CK B3 013. CK B3 014. CK B3 016. CK B3 017. CK B3 018. CK B3 021. CK B3 019. CK B3 022. CK B3 023. CK B3 024. CK B3 026. CK B3 027. CK B3 028. CK B3 029
.ST-101-1 for,2015-02-02,13:15,2015-02-02,15:00,Thorsvik Jan,CK B2 003 aud
.ST-101-1 gr,2015-02-02,15:15,2015-02-02,17:00,Thorsvik Jan,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.ST-103-1 for,2015-02-05,10:15,2015-02-05,12:00,Haslerud Gjermund,CK B3 007 aud 
.ST-102-1 for,2015-02-05,12:15,2015-02-05,14:00,Stie Anne Elizabeth,CK B1 018 aud
