Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-NO-144 for",2015-01-05,10:15,2015-01-05,12:00,"Thon Jahn Holljen, Wiland Sverre","CK B2 004 aud"
"-NO-144 for",2015-01-06,12:15,2015-01-06,14:00,"Thon Jahn Holljen, Wiland Sverre","CK B2 004 aud"
"-NO-144 film uke 2",2015-01-06,14:15,2015-01-06,16:00,"Thon Jahn Holljen, Wiland Sverre","CK B2 004 aud"
"-NO-144 for",2015-01-12,10:15,2015-01-12,12:00,"Thon Jahn Holljen, Wiland Sverre","CK B2 004 aud"
"-NO-144 for",2015-01-13,12:15,2015-01-13,14:00,"Thon Jahn Holljen, Wiland Sverre","CK B2 004 aud"
"-NO-144 gr",2015-01-13,14:15,2015-01-13,15:00,"Thon Jahn Holljen, Wiland Sverre","CK F2 017, CK F2 018, CK F2 021, CK F2 022, CK F2 023, CK F2 024, CK F2 026, CK F2 019, CK F2 016"
"-NO-144 gr/for",2015-01-13,15:15,2015-01-13,16:00,"Thon Jahn Holljen, Wiland Sverre","CK F2 017, CK F2 018, CK F2 021, CK F2 022, CK F2 023, CK F2 024, CK F2 026, CK F2 019, CK F2 016, CK F1 022 sem"
"-NO-144 for",2015-01-19,10:15,2015-01-19,12:00,"Thon Jahn Holljen, Wiland Sverre","CK B2 004 aud"
"-NO-144 for",2015-01-20,12:15,2015-01-20,14:00,"Thon Jahn Holljen, Wiland Sverre","CK B2 004 aud"
"-NO-144 gr",2015-01-20,14:15,2015-01-20,15:00,"Thon Jahn Holljen, Wiland Sverre","CK F2 017, CK F2 018, CK F2 021, CK F2 022, CK F2 023, CK F2 024, CK F2 026, CK F2 019, CK F2 016"
"-NO-144 gr/for",2015-01-20,15:15,2015-01-20,16:00,"Thon Jahn Holljen, Wiland Sverre","CK F2 017, CK F2 018, CK F2 021, CK F2 022, CK F2 023, CK F2 024, CK F2 026, CK F2 019, CK F2 016, CK F1 022 sem"
"-NO-144 for",2015-01-26,10:15,2015-01-26,12:00,"Thon Jahn Holljen, Wiland Sverre","CK B2 004 aud"
"-NO-144 for",2015-01-27,12:15,2015-01-27,14:00,"Thon Jahn Holljen, Wiland Sverre","CK B2 004 aud"
"-NO-144 gr",2015-01-27,14:15,2015-01-27,15:00,"Thon Jahn Holljen, Wiland Sverre","CK F2 017, CK F2 018, CK F2 021, CK F2 022, CK F2 023, CK F2 024, CK F2 026, CK F2 019, CK F2 016"
