Subject,Start Date,Start Time,End Date,End Time,Description,Location
.BE-111-1 for ,2015-01-05,08:15,2015-01-05,11:00,Tofteland Andre,CK B1 018 aud
.BE-111-1 gr,2015-01-05,11:15,2015-01-05,13:00,Tofteland Andre,CK B2 016. CK B2 017. CK B2 018. CK B2 019. CK B2 021. CK B2 022. CK B2 023. CK B2 024. CK B2 026. CK B2 027. CK B2 028. CK B2 029. CK B2 031. CK B2 032. CK B2 033. CK B3 002. CK B3 003. CK B3 005. CK B3 012. CK B3 013. CK B3 014. CK B3 016. CK B3 017. CK B3 018. CK B3 021. CK B3 019. CK B3 022. CK B3 023. CK B3 024. CK B3 026. CK B3 027. CK B3 028. CK B3 029
.SE-110/SE-100 for ,2015-01-07,09:15,2015-01-07,12:00,Jacobsen Gorm,CK B3 007 aud 
.SE-110/SE-100 gr,2015-01-07,12:15,2015-01-07,14:00,Jacobsen Gorm,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.ME-109-1 for ,2015-01-08,09:15,2015-01-08,12:00,Saeed Naima,CK B2 003 aud
.MF-102-1 for,2015-01-09,11:15,2015-01-09,13:00,Johannesson Jokull,CK B1 018 aud
.MF-102-1 gr,2015-01-09,14:15,2015-01-09,15:00,Johannesson Jokull,CK B2 016. CK B2 017. CK B2 018. CK B2 019. CK B2 021. CK B2 022. CK B2 023. CK B2 024. CK B2 026. CK B2 027. CK B2 028. CK B2 029. CK B2 031. CK B2 032. CK B2 033. CK B3 002. CK B3 003. CK B3 005. CK B3 012. CK B3 013. CK B3 014. CK B3 016. CK B3 017. CK B3 018. CK B3 021. CK B3 019. CK B3 022. CK B3 023. CK B3 024. CK B3 026. CK B3 027. CK B3 028. CK B3 029
.BE-111-1 for ,2015-01-12,08:15,2015-01-12,11:00,Tofteland Andre,CK B1 018 aud
.BE-111-1 gr,2015-01-12,11:15,2015-01-12,13:00,Tofteland Andre,CK B2 016. CK B2 017. CK B2 018. CK B2 019. CK B2 021. CK B2 022. CK B2 023. CK B2 024. CK B2 026. CK B2 027. CK B2 028. CK B2 029. CK B2 031. CK B2 032. CK B2 033. CK B3 002. CK B3 003. CK B3 005. CK B3 012. CK B3 013. CK B3 014. CK B3 016. CK B3 017. CK B3 018. CK B3 021. CK B3 019. CK B3 022. CK B3 023. CK B3 024. CK B3 026. CK B3 027. CK B3 028. CK B3 029
.SE-110/SE-100 for ,2015-01-14,09:15,2015-01-14,12:00,Jacobsen Gorm,CK B3 007 aud 
.SE-110/SE-100 gr,2015-01-14,12:15,2015-01-14,14:00,Jacobsen Gorm,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.ME-109-1 for ,2015-01-15,09:15,2015-01-15,12:00,Saeed Naima,CK B2 003 aud
.MF-102-1 for,2015-01-16,11:15,2015-01-16,13:00,Johannesson Jokull,CK B1 018 aud
