Subject,Start Date,Start Time,End Date,End Time,Description,Location
HSI411-G 12.01,2015-01-12,11:15,2015-01-12,15:00,Svendal. Atle,CG F 204 sem
HSI411-G 13.01,2015-01-13,09:15,2015-01-13,12:00,Meum. Torbjørg,CG F 204 sem
HSI412-G 13.01,2015-01-13,12:15,2015-01-13,16:00,Dale. Jan Gunnar. Rabbersvik. Elisabeth Holen. Vatnøy. Torunn,CG F 204 sem
HSI411-G 14.01,2015-01-14,09:15,2015-01-14,12:00,Meum. Torbjørg,CG F 203 sem
HSI412-G 14.01 grom,2015-01-14,12:15,2015-01-14,15:00,Dale. Jan Gunnar,CG A2 043. CG A2 040. CG A2 041. CG A2 045. CG A2 050. CG A2 051. CG A2 052. CG A2 053. CG A2 057. CG A2 058
HSI412-G 15.01 grom,2015-01-15,09:15,2015-01-15,12:00,Dale. Jan Gunnar,CG A2 043. CG A2 040. CG A2 041. CG A2 045. CG A2 050. CG A2 051. CG A2 052. CG A2 053. CG A2 057. CG A2 058
HSI411-G 15.01,2015-01-15,12:15,2015-01-15,15:00,Svendal. Atle,CG F 204 sem
HSI411-G 16.01,2015-01-16,09:15,2015-01-16,12:00,Svendal. Atle,CG F 204 sem
HSI412-G 16.01,2015-01-16,12:15,2015-01-16,13:00,Dale. Jan Gunnar,CG F 204 sem
HSI412-G 16.03,2015-03-16,11:15,2015-03-16,16:00,Dale. Jan Gunnar. Rabbersvik. Elisabeth Holen. Vatnøy. Torunn,CG F 203 sem
HSI411-G 17.03,2015-03-17,09:15,2015-03-17,12:00,Meum. Torbjørg,CG F 203 sem
HSI411-G 17.03,2015-03-17,12:15,2015-03-17,15:00,Svendal. Atle,CG F 203 sem
HSI411-G 18.03,2015-03-18,09:15,2015-03-18,12:00,Meum. Torbjørg,CG A3 025 sem VER
HSI411-G 18.03,2015-03-18,12:15,2015-03-18,15:00,Svendal. Atle,CG A3 025 sem VER
HSI411-G 19.03,2015-03-19,09:15,2015-03-19,12:00,Meum. Torbjørg,CG A3 027 sem VER
HSI412-G 19.03 grom,2015-03-19,12:15,2015-03-19,15:00,Dale. Jan Gunnar,CG A2 043. CG A2 040. CG A2 041. CG A2 045. CG A2 050. CG A2 051. CG A2 052. CG A2 053. CG A2 057. CG A2 058
HSI411-G 20.03,2015-03-20,09:15,2015-03-20,13:00,Svendal. Atle,CG A3 027 sem VER
HSI412-G 20.03 ,2015-03-20,13:15,2015-03-20,14:00,Dale. Jan Gunnar,CG A3 027 sem VER
