Subject,Start Date,Start Time,End Date,End Time,Description,Location
MA-214-1 forel man,2015-01-05,12:15,2015-01-05,14:00,Rogovchenko Yuriy,CK J2 009 sem
MA-214-1 forel ons,2015-01-07,10:15,2015-01-07,12:00,Rogovchenko Yuriy,CK 50 138 sem
MA-214-1 gr,2015-01-07,12:15,2015-01-07,14:00,Rogovchenko Yuriy,CK 50 138 sem
MA-214-1 forel man,2015-01-12,12:15,2015-01-12,14:00,Rogovchenko Yuriy,CK J2 009 sem
MA-302-1 forel/oppg,2015-01-12,14:15,2015-01-12,16:00,Nossum Rolf Tomas,CK B3 008 aud
MA-202-1 forel 1,2015-01-13,08:15,2015-01-13,10:00,Bjørkestøl Kirsten,CK JU 071 aud
MA-202-1 gr/lab,2015-01-13,10:15,2015-01-13,12:00,Bjørkestøl Kirsten,CK JK 031, CK JK 032, CK JK 033, CK J1 031, CK J1 032, CK J1 057, CK J1 056, CK JK 007 pclab, CK JK 037
MA-202-1 forel 2,2015-01-14,08:15,2015-01-14,10:00,Bjørkestøl Kirsten,CK JU 071 aud
MA-214-1 forel ons,2015-01-14,10:15,2015-01-14,12:00,Rogovchenko Yuriy,CK 50 138 sem
MA-214-1 gr,2015-01-14,12:15,2015-01-14,14:00,Rogovchenko Yuriy,CK 50 138 sem
MA-214-1 forel man,2015-01-19,12:15,2015-01-19,14:00,Rogovchenko Yuriy,CK J2 009 sem
MA-302-1 forel/oppg,2015-01-19,14:15,2015-01-19,16:00,Nossum Rolf Tomas,CK B3 008 aud
MA-202-1 forel 1,2015-01-20,08:15,2015-01-20,10:00,Bjørkestøl Kirsten,CK JU 071 aud
MA-202-1 gr/lab,2015-01-20,10:15,2015-01-20,12:00,Bjørkestøl Kirsten,CK JK 031, CK JK 032, CK JK 033, CK J1 031, CK J1 032, CK J1 057, CK J1 056, CK JK 007 pclab, CK JK 037
MA-202-1 forel 2,2015-01-21,08:15,2015-01-21,10:00,Bjørkestøl Kirsten,CK JU 071 aud
MA-214-1 forel ons,2015-01-21,10:15,2015-01-21,12:00,Rogovchenko Yuriy,CK 50 138 sem
MA-214-1 gr,2015-01-21,12:15,2015-01-21,14:00,Rogovchenko Yuriy,CK 50 138 sem
MA-214-1 forel man,2015-01-26,12:15,2015-01-26,14:00,Rogovchenko Yuriy,CK J2 009 sem
MA-302-1 forel/oppg,2015-01-26,14:15,2015-01-26,16:00,Nossum Rolf Tomas,CK B3 008 aud
MA-202-1 forel 1,2015-01-27,08:15,2015-01-27,10:00,Bjørkestøl Kirsten,CK JU 071 aud
MA-202-1 gr/lab,2015-01-27,10:15,2015-01-27,12:00,Bjørkestøl Kirsten,CK JK 031, CK JK 032, CK JK 033, CK J1 031, CK J1 032, CK J1 057, CK J1 056, CK JK 007 pclab, CK JK 037
