Subject,Start Date,Start Time,End Date,End Time,Description,Location
".BE-111-1 for ",2015-01-05,08:15,2015-01-05,11:00,"Tofteland Andre","CK B1 018 aud"
".BE-111-1 gr",2015-01-05,11:15,2015-01-05,13:00,"Tofteland Andre","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018, CK B3 021, CK B3 019, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029"
"MA-166-1 forel 1",2015-01-06,08:15,2015-01-06,10:00,"Signahl Mikael Nils","CK B3 007 aud "
".SE-105-1 for",2015-01-06,10:15,2015-01-06,13:00,"Jacobsen Gorm","CK B1 018 aud"
".SE-105-1 gr",2015-01-06,13:15,2015-01-06,15:00,"Jacobsen Gorm","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018, CK B3 021, CK B3 019, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029"
"MA-166-1 forel 2",2015-01-07,12:15,2015-01-07,14:00,"Signahl Mikael Nils","CK B3 007 aud "
"MA-166-1 forel 3",2015-01-08,08:15,2015-01-08,10:00,"Signahl Mikael Nils","CK B3 007 aud "
"MA-166-1 gr 3",2015-01-08,09:15,2015-01-08,13:00,"Signahl Mikael Nils","CK 15 107, CK 15 108, CK 15 109, CK 15 114, CK 15 116, CK 15 117, CK 15 118, CK 15 119"
".BE-111-1 for ",2015-01-12,08:15,2015-01-12,11:00,"Tofteland Andre","CK B1 018 aud"
".BE-111-1 gr",2015-01-12,11:15,2015-01-12,13:00,"Tofteland Andre","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018, CK B3 021, CK B3 019, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029"
"MA-166-1 forel 1",2015-01-13,08:15,2015-01-13,10:00,"Signahl Mikael Nils","CK B3 007 aud "
".SE-105-1 for",2015-01-13,10:15,2015-01-13,13:00,"Jacobsen Gorm","CK B1 018 aud"
".SE-105-1 gr",2015-01-13,13:15,2015-01-13,15:00,"Jacobsen Gorm","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018, CK B3 021, CK B3 019, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029"
"MA-166-1 forel 2",2015-01-14,12:15,2015-01-14,14:00,"Signahl Mikael Nils","CK B3 007 aud "
