Subject,Start Date,Start Time,End Date,End Time,Description,Location
-EX-100 fil.hist. man,2015-01-05,12:15,2015-01-05,14:00,Bøhn Einar D.,CK 46 118 aula
-EX-100 fil.hist. man,2015-01-12,12:15,2015-01-12,14:00,Bøhn Einar D.,CK 46 118 aula
-EX-100 fil.hist. man,2015-01-19,12:15,2015-01-19,14:00,Bøhn Einar D.,CK 46 118 aula
-EX-100 etikk tirs,2015-01-20,12:15,2015-01-20,14:00,Bøhn Einar D.,CK 46 118 aula
-EX-100 fil.hist. man,2015-01-26,12:15,2015-01-26,14:00,Bøhn Einar D.,CK 46 118 aula
-EX-100 etikk tirs,2015-01-27,12:15,2015-01-27,14:00,Bøhn Einar D.,CK 46 118 aula
-EX-100 fil.hist. man,2015-02-02,12:15,2015-02-02,14:00,Bøhn Einar D.,CK 46 118 aula
-EX-100 etikk tirs,2015-02-03,12:15,2015-02-03,14:00,Bøhn Einar D.,CK 46 118 aula
-EX-100 fil.hist. man,2015-02-09,12:15,2015-02-09,14:00,Bøhn Einar D.,CK 46 118 aula
-EX-100 etikk tirs,2015-02-10,12:15,2015-02-10,14:00,Bøhn Einar D.,CK 46 118 aula
-EX-100 fil.hist. man,2015-02-16,12:15,2015-02-16,14:00,Bøhn Einar D.,CK 46 118 aula
-EX-100 etikk tirs,2015-02-17,12:15,2015-02-17,14:00,Bøhn Einar D.,CK 46 118 aula
-EX-100 fil.hist. man,2015-02-23,12:15,2015-02-23,14:00,Bøhn Einar D.,CK 46 118 aula
-EX-100 etikk tirs,2015-02-24,12:15,2015-02-24,14:00,Bøhn Einar D.,CK 46 118 aula
-EX-100 fil.hist. man,2015-03-02,12:15,2015-03-02,14:00,Bøhn Einar D.,CK 46 118 aula
-EX-100 fil.hist. man,2015-03-09,12:15,2015-03-09,14:00,Bøhn Einar D.,CK 46 118 aula
-EX-100 fil.hist. man,2015-03-16,12:15,2015-03-16,14:00,Bøhn Einar D.,CK 46 118 aula
-EX-100 fil.hist. man,2015-03-23,12:15,2015-03-23,14:00,Bøhn Einar D.,CK 46 118 aula
