Subject,Start Date,Start Time,End Date,End Time,Description,Location
MA-215-1 for 1,2015-01-05,11:15,2015-01-05,13:00,Knutson Inger J. Håland,CK H1 058 aud
.BE-210-1 for,2015-01-07,10:15,2015-01-07,12:00,Egge Steinar,CK B1 018 aud
.BE-210-1 gr,2015-01-07,12:15,2015-01-07,15:00,Egge Steinar,CK B2 016. CK B2 017. CK B2 018. CK B2 019. CK B2 021. CK B2 022. CK B2 023. CK B2 024. CK B2 026. CK B2 027. CK B2 028. CK B2 029. CK B2 031. CK B2 032. CK B2 033. CK B3 002. CK B3 003. CK B3 005. CK B3 012. CK B3 013. CK B3 014. CK B3 016. CK B3 017. CK B3 018. CK B3 021. CK B3 019. CK B3 022. CK B3 023. CK B3 024. CK B3 026. CK B3 027. CK B3 028. CK B3 029
MA-215-1 for 2,2015-01-08,12:15,2015-01-08,14:00,Knutson Inger J. Håland,CK H1 058 aud
MA-215-1 gr,2015-01-08,14:15,2015-01-08,16:00,Knutson Inger J. Håland,CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
MA-215-1 for 1,2015-01-12,11:15,2015-01-12,13:00,Knutson Inger J. Håland,CK H1 058 aud
MA-202-1 forel 1,2015-01-13,08:15,2015-01-13,10:00,Bjørkestøl Kirsten,CK JU 071 aud
MA-202-1 gr/lab,2015-01-13,10:15,2015-01-13,12:00,Bjørkestøl Kirsten,CK JK 031. CK JK 032. CK JK 033. CK J1 031. CK J1 032. CK J1 057. CK J1 056. CK JK 007 pclab. CK JK 037
.ME-104/ME-108 dag 1,2015-01-13,13:15,2015-01-13,15:00,Andersen Otto,CK B1 018 aud
MA-202-1 forel 2,2015-01-14,08:15,2015-01-14,10:00,Bjørkestøl Kirsten,CK JU 071 aud
.BE-210-1 for,2015-01-14,10:15,2015-01-14,12:00,Egge Steinar,CK B1 018 aud
.BE-210-1 gr,2015-01-14,12:15,2015-01-14,15:00,Egge Steinar,CK B2 016. CK B2 017. CK B2 018. CK B2 019. CK B2 021. CK B2 022. CK B2 023. CK B2 024. CK B2 026. CK B2 027. CK B2 028. CK B2 029. CK B2 031. CK B2 032. CK B2 033. CK B3 002. CK B3 003. CK B3 005. CK B3 012. CK B3 013. CK B3 014. CK B3 016. CK B3 017. CK B3 018. CK B3 021. CK B3 019. CK B3 022. CK B3 023. CK B3 024. CK B3 026. CK B3 027. CK B3 028. CK B3 029
.ME-104/ME-108 dag 2,2015-01-15,10:15,2015-01-15,12:00,Andersen Otto,CK B1 018 aud
MA-215-1 for 2,2015-01-15,12:15,2015-01-15,14:00,Knutson Inger J. Håland,CK H1 058 aud
MA-215-1 gr,2015-01-15,14:15,2015-01-15,16:00,Knutson Inger J. Håland,CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
MA-215-1 for 1,2015-01-19,11:15,2015-01-19,13:00,Knutson Inger J. Håland,CK H1 058 aud
MA-202-1 forel 1,2015-01-20,08:15,2015-01-20,10:00,Bjørkestøl Kirsten,CK JU 071 aud
MA-202-1 gr/lab,2015-01-20,10:15,2015-01-20,12:00,Bjørkestøl Kirsten,CK JK 031. CK JK 032. CK JK 033. CK J1 031. CK J1 032. CK J1 057. CK J1 056. CK JK 007 pclab. CK JK 037
.ME-104/ME-108 dag 1,2015-01-20,13:15,2015-01-20,15:00,Andersen Otto,CK B1 018 aud
