Subject,Start Date,Start Time,End Date,End Time,Description,Location
-NO-500 tir uke 2,2015-01-06,13:15,2015-01-06,15:00,Wiland Sverre,CK F2 001 sem
-NO-404,2015-01-07,12:15,2015-01-07,14:00,Lombnæs Andreas, Markussen Bjarne,CK F2 006 sem
-NO-404,2015-01-14,12:15,2015-01-14,14:00,Lombnæs Andreas, Markussen Bjarne,CK F2 006 sem
-NO-500,2015-01-15,13:15,2015-01-15,15:00,Vukovska Boriana,CK F2 008 sem
-NO-404,2015-01-21,12:15,2015-01-21,14:00,Lombnæs Andreas, Markussen Bjarne,CK F2 006 sem
-NO-500,2015-01-22,13:15,2015-01-22,15:00,Vukovska Boriana,CK F2 008 sem
-NO-404,2015-01-28,12:15,2015-01-28,14:00,Lombnæs Andreas, Markussen Bjarne,CK F2 006 sem
-NO-500,2015-01-29,13:15,2015-01-29,15:00,Vukovska Boriana,CK F2 008 sem
-NO-404,2015-02-04,12:15,2015-02-04,14:00,Lombnæs Andreas, Markussen Bjarne,CK F2 006 sem
-NO-500,2015-02-05,13:15,2015-02-05,15:00,Vukovska Boriana,CK F2 008 sem
-NO-404,2015-02-11,12:15,2015-02-11,14:00,Lombnæs Andreas, Markussen Bjarne,CK F2 006 sem
-NO-500,2015-02-12,13:15,2015-02-12,15:00,Vukovska Boriana,CK F2 008 sem
-NO-404,2015-02-18,12:15,2015-02-18,14:00,Lombnæs Andreas, Markussen Bjarne,CK F2 006 sem
-NO-500,2015-02-19,13:15,2015-02-19,15:00,Vukovska Boriana,CK F2 008 sem
-NO-404,2015-02-25,12:15,2015-02-25,14:00,Lombnæs Andreas, Markussen Bjarne,CK F2 006 sem
-NO-500,2015-02-26,13:15,2015-02-26,15:00,Vukovska Boriana,CK F2 008 sem
-NO-404,2015-03-04,12:15,2015-03-04,14:00,Lombnæs Andreas, Markussen Bjarne,CK F2 006 sem
-NO-404,2015-03-18,12:15,2015-03-18,14:00,Lombnæs Andreas, Markussen Bjarne,CK F2 006 sem
-NO-404,2015-03-25,12:15,2015-03-25,14:00,Lombnæs Andreas, Markussen Bjarne,CK F2 006 sem
-NO-404,2015-04-08,12:15,2015-04-08,14:00,Lombnæs Andreas, Markussen Bjarne,CK F2 006 sem
-NO-404,2015-04-15,12:15,2015-04-15,14:00,Lombnæs Andreas, Markussen Bjarne,CK F2 006 sem
-NO-404,2015-04-22,12:15,2015-04-22,14:00,Lombnæs Andreas, Markussen Bjarne,CK F2 006 sem
-NO-404,2015-04-29,12:15,2015-04-29,14:00,Lombnæs Andreas, Markussen Bjarne,CK F2 006 sem
-NO-404,2015-05-06,12:15,2015-05-06,14:00,Lombnæs Andreas, Markussen Bjarne,CK F2 006 sem
