Subject,Start Date,Start Time,End Date,End Time,Description,Location
-NO-402,2015-01-06,09:15,2015-01-06,11:00,Gunleifsen Elin. Røsstad Rune,CK F2 007 sem
-NO-500 tir uke 2,2015-01-06,13:15,2015-01-06,15:00,Wiland Sverre,CK F2 001 sem
-NO-402,2015-01-13,09:15,2015-01-13,11:00,Gunleifsen Elin. Røsstad Rune,CK F2 007 sem
-NO-500,2015-01-15,13:15,2015-01-15,15:00,Vukovska Boriana,CK F2 008 sem
-NO-402,2015-01-20,09:15,2015-01-20,11:00,Gunleifsen Elin. Røsstad Rune,CK F2 007 sem
-NO-500,2015-01-22,13:15,2015-01-22,15:00,Vukovska Boriana,CK F2 008 sem
-NO-500 uke 4.9,2015-01-22,15:15,2015-01-22,16:00,Vukovska Boriana,CK F2 008 sem
-NO-402,2015-01-27,09:15,2015-01-27,11:00,Gunleifsen Elin. Røsstad Rune,CK F2 007 sem
-NO-500,2015-01-29,13:15,2015-01-29,15:00,Vukovska Boriana,CK F2 008 sem
-NO-402,2015-02-03,09:15,2015-02-03,11:00,Gunleifsen Elin. Røsstad Rune,CK F2 007 sem
-NO-500,2015-02-05,13:15,2015-02-05,15:00,Vukovska Boriana,CK F2 008 sem
-NO-402,2015-02-10,09:15,2015-02-10,11:00,Gunleifsen Elin. Røsstad Rune,CK F2 007 sem
-NO-500,2015-02-12,13:15,2015-02-12,15:00,Vukovska Boriana,CK F2 008 sem
-NO-402,2015-02-17,09:15,2015-02-17,11:00,Gunleifsen Elin. Røsstad Rune,CK F2 007 sem
-NO-500,2015-02-19,13:15,2015-02-19,15:00,Vukovska Boriana,CK F2 008 sem
-NO-402,2015-02-24,09:15,2015-02-24,11:00,Gunleifsen Elin. Røsstad Rune,CK F2 007 sem
-NO-500,2015-02-26,13:15,2015-02-26,15:00,Vukovska Boriana,CK F2 008 sem
-NO-500 uke 4.9,2015-02-26,15:15,2015-02-26,16:00,Vukovska Boriana,CK F2 008 sem
-NO-402,2015-03-03,09:15,2015-03-03,11:00,Gunleifsen Elin. Røsstad Rune,CK F2 007 sem
-NO-402,2015-03-10,09:15,2015-03-10,11:00,Gunleifsen Elin. Røsstad Rune,CK F2 007 sem
-NO-402,2015-03-17,09:15,2015-03-17,11:00,Gunleifsen Elin. Røsstad Rune,CK F2 007 sem
-NO-402,2015-03-24,09:15,2015-03-24,11:00,Gunleifsen Elin. Røsstad Rune,CK F2 007 sem
-NO-402,2015-04-07,09:15,2015-04-07,11:00,Gunleifsen Elin. Røsstad Rune,CK F2 007 sem
-NO-402,2015-04-14,09:15,2015-04-14,11:00,Gunleifsen Elin. Røsstad Rune,CK F2 007 sem
-NO-402,2015-04-21,09:15,2015-04-21,11:00,Gunleifsen Elin. Røsstad Rune,CK F2 007 sem
-NO-402,2015-04-28,09:15,2015-04-28,11:00,Gunleifsen Elin. Røsstad Rune,CK F2 007 sem
-NO-402,2015-05-05,09:15,2015-05-05,11:00,Gunleifsen Elin. Røsstad Rune,CK F2 007 sem
