Subject,Start Date,Start Time,End Date,End Time,Description,Location
-NO-142 for,2015-01-15,12:15,2015-01-15,19:00,,CK B2 002 aud
-NO-142 for,2015-01-16,09:15,2015-01-16,16:00,,CK B2 002 aud
-NO-142 for,2015-02-12,12:15,2015-02-12,19:00,,CK B2 002 aud
-NO-142 for,2015-02-13,09:15,2015-02-13,16:00,,CK B2 002 aud
-NO-142 for,2015-03-12,12:15,2015-03-12,19:00,,CK B2 002 aud
-NO-142 for,2015-03-13,09:15,2015-03-13,16:00,,CK B2 002 aud
-NO-142 for,2015-04-09,12:15,2015-04-09,19:00,,CK B2 002 aud
-NO-142 for,2015-04-10,09:15,2015-04-10,16:00,,CK B2 002 aud
-NO-142 for,2015-04-23,12:15,2015-04-23,19:00,,CK B2 002 aud
-NO-142 for,2015-04-24,09:15,2015-04-24,16:00,,CK B2 002 aud
