Subject,Start Date,Start Time,End Date,End Time,Description,Location
".MF-202-1 gr",2015-01-06,13:15,2015-01-06,15:00,"Lind Emma","CK 47 101, CK 47 116, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".BE-208-1 for/sem",2015-01-07,09:15,2015-01-07,13:00,"Bårdsen Stine Rye","CK 46 207 sem"
".OP-303-1 sem",2015-01-08,10:15,2015-01-08,15:00,"Bårdsen Stine Rye","CK H1 023 sem"
".MF-202-1 for uke 3.7.8 (B2 003)",2015-01-13,10:15,2015-01-13,13:00,"Lind Emma","CK B2 003 aud"
".MF-202-1 gr",2015-01-13,13:15,2015-01-13,15:00,"Lind Emma","CK 47 101, CK 47 116, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".BE-208-1 for/sem",2015-01-14,09:15,2015-01-14,13:00,"Bårdsen Stine Rye","CK 46 207 sem"
".MF-202-1 for uke 4 (B2 002/B2 006) STREAM",2015-01-20,10:15,2015-01-20,13:00,"Lind Emma","CK B2 006 aud , CK B2 002 aud"
".MF-202-1 gr",2015-01-20,13:15,2015-01-20,15:00,"Lind Emma","CK 47 101, CK 47 116, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".BE-208-1 for/sem",2015-01-21,09:15,2015-01-21,13:00,"Bårdsen Stine Rye","CK 46 207 sem"
".BE-208-1 for/sem",2015-01-28,09:15,2015-01-28,13:00,"Bårdsen Stine Rye","CK 46 207 sem"
".BE-208-1 for/sem",2015-02-04,09:15,2015-02-04,13:00,"Bårdsen Stine Rye","CK 46 207 sem"
".MF-202-1 for uke 3.7.8 (B2 003)",2015-02-10,10:15,2015-02-10,13:00,"Lind Emma","CK B2 003 aud"
