Subject,Start Date,Start Time,End Date,End Time,Description,Location
-SV-122 for,2015-01-05,09:15,2015-01-05,14:00,Helland-Olsen Robert,CK 48 114 sem
-OF-314,2015-01-08,12:15,2015-01-08,14:00,Holte Karsten Alv Christian,CK 48 106 sem
-OF-316,2015-01-13,09:15,2015-01-13,11:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-316,2015-01-13,12:15,2015-01-13,14:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-316,2015-01-14,09:15,2015-01-14,11:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-316,2015-01-14,12:15,2015-01-14,14:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-314,2015-01-15,12:15,2015-01-15,14:00,Holte Karsten Alv Christian,CK 48 106 sem
-SV-122 for,2015-01-19,09:15,2015-01-19,14:00,Helland-Olsen Robert,CK 48 114 sem
-OF-318 for uke 4,2015-01-20,12:15,2015-01-20,14:00,Gawronska Barbara,CK F1 023 sem
-OF-314,2015-01-22,12:15,2015-01-22,14:00,Holte Karsten Alv Christian,CK 48 106 sem
-OF-316,2015-01-27,09:15,2015-01-27,11:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-316,2015-01-27,12:15,2015-01-27,14:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-316,2015-01-28,09:15,2015-01-28,11:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-316,2015-01-28,12:15,2015-01-28,14:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-314,2015-01-29,12:15,2015-01-29,14:00,Holte Karsten Alv Christian,CK 48 106 sem
-SV-122 for,2015-02-02,09:15,2015-02-02,14:00,Helland-Olsen Robert,CK 48 114 sem
-OF-314,2015-02-05,12:15,2015-02-05,14:00,Holte Karsten Alv Christian,CK 48 106 sem
-OF-316,2015-02-10,09:15,2015-02-10,11:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-316,2015-02-10,12:15,2015-02-10,14:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-316,2015-02-11,09:15,2015-02-11,11:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-316,2015-02-11,12:15,2015-02-11,14:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-314,2015-02-12,12:15,2015-02-12,14:00,Holte Karsten Alv Christian,CK 48 106 sem
-SV-122 for,2015-02-16,09:15,2015-02-16,14:00,Helland-Olsen Robert,CK 48 114 sem
-OF-314,2015-02-19,12:15,2015-02-19,14:00,Holte Karsten Alv Christian,CK 48 106 sem
-SV-122 for,2015-03-02,09:15,2015-03-02,14:00,Helland-Olsen Robert,CK 48 114 sem
-OF-316,2015-03-03,09:15,2015-03-03,11:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-316,2015-03-03,12:15,2015-03-03,14:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-316,2015-03-04,09:15,2015-03-04,11:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-316,2015-03-04,12:15,2015-03-04,14:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-314,2015-03-05,12:15,2015-03-05,14:00,Holte Karsten Alv Christian,CK 48 106 sem
-OF-318 sem uke 11,2015-03-10,12:15,2015-03-10,16:00,Gawronska Barbara,CK F1 023 sem
-OF-314,2015-03-12,12:15,2015-03-12,14:00,Holte Karsten Alv Christian,CK 48 106 sem
-SV-122 for,2015-03-16,09:15,2015-03-16,14:00,Helland-Olsen Robert,CK 48 114 sem
-OF-316,2015-03-17,09:15,2015-03-17,11:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-316,2015-03-17,12:15,2015-03-17,14:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-316,2015-03-18,09:15,2015-03-18,11:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-316,2015-03-18,12:15,2015-03-18,14:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-314,2015-03-19,12:15,2015-03-19,14:00,Holte Karsten Alv Christian,CK 48 106 sem
-OF-314,2015-03-26,12:15,2015-03-26,14:00,Holte Karsten Alv Christian,CK 48 106 sem
-OF-314,2015-04-09,12:15,2015-04-09,14:00,Holte Karsten Alv Christian,CK 48 106 sem
-OF-316,2015-04-14,09:15,2015-04-14,11:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-316,2015-04-14,12:15,2015-04-14,14:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-316,2015-04-15,09:15,2015-04-15,11:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-316,2015-04-15,12:15,2015-04-15,14:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-314,2015-04-16,12:15,2015-04-16,14:00,Holte Karsten Alv Christian,CK 48 106 sem
-OF-314,2015-04-23,12:15,2015-04-23,14:00,Holte Karsten Alv Christian,CK 48 106 sem
-OF-316,2015-04-28,09:15,2015-04-28,11:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-316,2015-04-28,12:15,2015-04-28,14:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-316,2015-04-29,09:15,2015-04-29,11:00,Magnussen Bjørnar,CK F2 002 spr.lab
-OF-316,2015-04-29,12:15,2015-04-29,14:00,Magnussen Bjørnar,CK F2 002 spr.lab
