Subject,Start Date,Start Time,End Date,End Time,Description,Location
-PED521 for,2015-01-05,09:15,2015-01-05,12:00,Kovac Bobo,CK F1 018 sem
-PED519 for,2015-01-06,11:15,2015-01-06,13:00,Dalehefte Inger Marie. Kovac Bobo. Willbergh Ilmi. Aasebø Turid Skarre,CK F2 007 sem
-PED519 for,2015-01-07,13:15,2015-01-07,16:00,Dalehefte Inger Marie. Kovac Bobo. Willbergh Ilmi. Aasebø Turid Skarre,CK F2 007 sem
-PED521 for,2015-01-08,13:15,2015-01-08,16:00,Kovac Bobo,CK F1 018 sem
-PED521 for,2015-01-12,09:15,2015-01-12,12:00,Kovac Bobo,CK F1 018 sem
-PED519 for,2015-01-13,11:15,2015-01-13,13:00,Dalehefte Inger Marie. Kovac Bobo. Willbergh Ilmi. Aasebø Turid Skarre,CK F2 007 sem
-PED519 for,2015-01-14,13:15,2015-01-14,16:00,Dalehefte Inger Marie. Kovac Bobo. Willbergh Ilmi. Aasebø Turid Skarre,CK F2 007 sem
-PED521 for,2015-01-15,13:15,2015-01-15,16:00,Kovac Bobo,CK F1 018 sem
-PED521 for,2015-01-19,09:15,2015-01-19,12:00,Kovac Bobo,CK F1 018 sem
-PED519 for,2015-01-20,11:15,2015-01-20,13:00,Dalehefte Inger Marie. Kovac Bobo. Willbergh Ilmi. Aasebø Turid Skarre,CK F2 007 sem
-PED519 for,2015-01-21,13:15,2015-01-21,16:00,Dalehefte Inger Marie. Kovac Bobo. Willbergh Ilmi. Aasebø Turid Skarre,CK F2 007 sem
-PED521 for,2015-01-22,13:15,2015-01-22,16:00,Kovac Bobo,CK F1 018 sem
-PED521 for,2015-01-26,09:15,2015-01-26,12:00,Kovac Bobo,CK F1 018 sem
-PED519 for,2015-01-27,11:15,2015-01-27,13:00,Dalehefte Inger Marie. Kovac Bobo. Willbergh Ilmi. Aasebø Turid Skarre,CK F2 007 sem
-PED519 for,2015-01-28,13:15,2015-01-28,16:00,Dalehefte Inger Marie. Kovac Bobo. Willbergh Ilmi. Aasebø Turid Skarre,CK F2 007 sem
-PED521 for,2015-01-29,13:15,2015-01-29,16:00,Kovac Bobo,CK F1 018 sem
-PED521 for,2015-02-02,09:15,2015-02-02,12:00,Kovac Bobo,CK F1 018 sem
-PED519 for,2015-02-03,11:15,2015-02-03,13:00,Dalehefte Inger Marie. Kovac Bobo. Willbergh Ilmi. Aasebø Turid Skarre,CK F2 007 sem
-PED519 for,2015-02-04,13:15,2015-02-04,16:00,Dalehefte Inger Marie. Kovac Bobo. Willbergh Ilmi. Aasebø Turid Skarre,CK F2 007 sem
-PED521 for,2015-02-05,13:15,2015-02-05,16:00,Kovac Bobo,CK F1 018 sem
-PED521 for,2015-02-09,09:15,2015-02-09,12:00,Kovac Bobo,CK F1 018 sem
-PED519 for,2015-02-10,11:15,2015-02-10,13:00,Dalehefte Inger Marie. Kovac Bobo. Willbergh Ilmi. Aasebø Turid Skarre,CK F2 007 sem
-PED519 for,2015-02-11,13:15,2015-02-11,16:00,Dalehefte Inger Marie. Kovac Bobo. Willbergh Ilmi. Aasebø Turid Skarre,CK F2 007 sem
-PED521 for,2015-02-12,13:15,2015-02-12,16:00,Kovac Bobo,CK F1 018 sem
-PED521 for,2015-02-16,09:15,2015-02-16,12:00,Kovac Bobo,CK F1 018 sem
-PED519 for,2015-02-17,11:15,2015-02-17,13:00,Dalehefte Inger Marie. Kovac Bobo. Willbergh Ilmi. Aasebø Turid Skarre,CK F2 007 sem
-PED519 for,2015-02-18,13:15,2015-02-18,16:00,Dalehefte Inger Marie. Kovac Bobo. Willbergh Ilmi. Aasebø Turid Skarre,CK F2 007 sem
-PED521 for,2015-02-19,13:15,2015-02-19,16:00,Kovac Bobo,CK F1 018 sem
-PED521 for,2015-02-23,09:15,2015-02-23,12:00,Kovac Bobo,CK F1 018 sem
-PED521 for,2015-02-26,13:15,2015-02-26,16:00,Kovac Bobo,CK F1 018 sem
-PED521 for,2015-03-02,09:15,2015-03-02,12:00,Kovac Bobo,CK F1 018 sem
-PED519 for,2015-03-03,11:15,2015-03-03,13:00,Dalehefte Inger Marie. Kovac Bobo. Willbergh Ilmi. Aasebø Turid Skarre,CK F2 007 sem
-PED519 for,2015-03-04,13:15,2015-03-04,16:00,Dalehefte Inger Marie. Kovac Bobo. Willbergh Ilmi. Aasebø Turid Skarre,CK F2 007 sem
-PED521 for,2015-03-05,13:15,2015-03-05,16:00,Kovac Bobo,CK F1 018 sem
-PED521 for,2015-03-09,09:15,2015-03-09,12:00,Kovac Bobo,CK F1 018 sem
-PED519 for,2015-03-10,11:15,2015-03-10,13:00,Dalehefte Inger Marie. Kovac Bobo. Willbergh Ilmi. Aasebø Turid Skarre,CK F2 007 sem
-PED521 for,2015-03-12,13:15,2015-03-12,16:00,Kovac Bobo,CK F1 018 sem
-PED521 for,2015-03-16,09:15,2015-03-16,12:00,Kovac Bobo,CK F1 018 sem
-PED519 lab uke 12.13,2015-03-17,11:15,2015-03-17,13:00,Dalehefte Inger Marie. Kovac Bobo. Willbergh Ilmi. Aasebø Turid Skarre,CK D3 016 pclab
-PED519 for,2015-03-18,13:15,2015-03-18,16:00,Dalehefte Inger Marie. Kovac Bobo. Willbergh Ilmi. Aasebø Turid Skarre,CK F2 007 sem
-PED521 for,2015-03-19,13:15,2015-03-19,16:00,Kovac Bobo,CK F1 018 sem
-PED521 for,2015-03-23,09:15,2015-03-23,12:00,Kovac Bobo,CK F1 018 sem
