Subject,Start Date,Start Time,End Date,End Time,Description,Location
-PED229 for,2015-01-06,09:15,2015-01-06,13:00,Kristiansen Aslaug. Sæbø Grethe Ingebrigtsvold. Willbergh Ilmi,CK F2 008 sem
-PED230 uke 2,2015-01-07,09:15,2015-01-07,12:00,Willbergh Ilmi,CK F1 018 sem
-PED229 for,2015-01-13,09:15,2015-01-13,13:00,Kristiansen Aslaug. Sæbø Grethe Ingebrigtsvold. Willbergh Ilmi,CK F2 008 sem
-PED230 gr,2015-01-14,09:15,2015-01-14,12:00,Willbergh Ilmi,CK F1 013. CK F1 008. CK F1 012
-PED229 for,2015-01-20,09:15,2015-01-20,13:00,Kristiansen Aslaug. Sæbø Grethe Ingebrigtsvold. Willbergh Ilmi,CK F2 008 sem
-PED230 gr,2015-01-21,09:15,2015-01-21,12:00,Willbergh Ilmi,CK F1 013. CK F1 008. CK F1 012
-PED229 for,2015-01-27,09:15,2015-01-27,13:00,Kristiansen Aslaug. Sæbø Grethe Ingebrigtsvold. Willbergh Ilmi,CK F2 008 sem
-PED230 gr,2015-01-28,09:15,2015-01-28,12:00,Willbergh Ilmi,CK F1 013. CK F1 008. CK F1 012
-PED229 for,2015-02-03,09:15,2015-02-03,13:00,Kristiansen Aslaug. Sæbø Grethe Ingebrigtsvold. Willbergh Ilmi,CK F2 008 sem
-PED230 gr,2015-02-04,09:15,2015-02-04,12:00,Willbergh Ilmi,CK F1 013. CK F1 008. CK F1 012
-PED229 for,2015-02-10,09:15,2015-02-10,13:00,Kristiansen Aslaug. Sæbø Grethe Ingebrigtsvold. Willbergh Ilmi,CK F2 008 sem
-PED230 gr,2015-02-11,09:15,2015-02-11,12:00,Willbergh Ilmi,CK F1 013. CK F1 008. CK F1 012
-PED229 for,2015-02-17,09:15,2015-02-17,13:00,Kristiansen Aslaug. Sæbø Grethe Ingebrigtsvold. Willbergh Ilmi,CK F2 008 sem
-PED230 gr,2015-02-18,09:15,2015-02-18,12:00,Willbergh Ilmi,CK F1 013. CK F1 008. CK F1 012
-PED229 for,2015-02-24,09:15,2015-02-24,13:00,Kristiansen Aslaug. Sæbø Grethe Ingebrigtsvold. Willbergh Ilmi,CK F2 008 sem
-PED230 gr,2015-02-25,09:15,2015-02-25,12:00,Willbergh Ilmi,CK F1 013. CK F1 008. CK F1 012
-PED230 gr,2015-03-04,09:15,2015-03-04,12:00,Willbergh Ilmi,CK F1 013. CK F1 008. CK F1 012
-PED229 for,2015-03-10,09:15,2015-03-10,13:00,Kristiansen Aslaug. Sæbø Grethe Ingebrigtsvold. Willbergh Ilmi,CK F2 008 sem
-PED229 for,2015-03-17,09:15,2015-03-17,13:00,Kristiansen Aslaug. Sæbø Grethe Ingebrigtsvold. Willbergh Ilmi,CK F2 008 sem
-PED230 gr,2015-03-18,09:15,2015-03-18,12:00,Willbergh Ilmi,CK F1 013. CK F1 008. CK F1 012
-PED229 for,2015-03-24,09:15,2015-03-24,13:00,Kristiansen Aslaug. Sæbø Grethe Ingebrigtsvold. Willbergh Ilmi,CK F2 008 sem
-PED230 sem uke 13,2015-03-25,09:15,2015-03-25,12:00,Willbergh Ilmi,CK 48 007 A sem
-PED230 sem uke 13,2015-03-26,09:15,2015-03-26,12:00,Willbergh Ilmi,CK 48 007 A sem
-PED230 sem uke 13,2015-03-27,09:15,2015-03-27,12:00,Willbergh Ilmi,CK 48 007 A sem
-PED229 for,2015-04-07,09:15,2015-04-07,13:00,Kristiansen Aslaug. Sæbø Grethe Ingebrigtsvold. Willbergh Ilmi,CK F2 008 sem
-PED230 gr,2015-04-08,09:15,2015-04-08,12:00,Willbergh Ilmi,CK F1 013. CK F1 008. CK F1 012
-PED229 for,2015-04-14,09:15,2015-04-14,13:00,Kristiansen Aslaug. Sæbø Grethe Ingebrigtsvold. Willbergh Ilmi,CK F2 008 sem
-PED230 gr,2015-04-15,09:15,2015-04-15,12:00,Willbergh Ilmi,CK F1 013. CK F1 008. CK F1 012
-PED229 for,2015-04-21,09:15,2015-04-21,13:00,Kristiansen Aslaug. Sæbø Grethe Ingebrigtsvold. Willbergh Ilmi,CK F2 008 sem
-PED230 gr,2015-04-22,09:15,2015-04-22,12:00,Willbergh Ilmi,CK F1 013. CK F1 008. CK F1 012
-PED229 for,2015-04-28,09:15,2015-04-28,13:00,Kristiansen Aslaug. Sæbø Grethe Ingebrigtsvold. Willbergh Ilmi,CK F2 008 sem
-PED230 gr,2015-04-29,09:15,2015-04-29,12:00,Willbergh Ilmi,CK F1 013. CK F1 008. CK F1 012
-PED230 gr,2015-05-06,09:15,2015-05-06,12:00,Willbergh Ilmi,CK F1 013. CK F1 008. CK F1 012
