Subject,Start Date,Start Time,End Date,End Time,Description,Location
-PED317 for uke 2 NB! Rom,2015-01-08,09:15,2015-01-08,12:00,Grythe Jon,CK F2 001 sem
-PED316 for,2015-01-12,12:15,2015-01-12,14:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 018 sem
-PED316 for,2015-01-13,09:15,2015-01-13,10:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 018 sem
-PED316 for/gr,2015-01-13,10:15,2015-01-13,12:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 024 aud/gr. CK F1 018 sem
-PED316 gr,2015-01-13,12:15,2015-01-13,15:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 013. CK F1 006. CK F1 007. CK F1 008. CK F1 012
-PED317 for uke 3-8,2015-01-15,09:15,2015-01-15,12:00,Grythe Jon,CK F2 004 sem
-PED317 gr/veil,2015-01-15,12:15,2015-01-15,15:00,Grythe Jon,CK F1 024 aud/gr
-PED316 for,2015-01-19,12:15,2015-01-19,14:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 018 sem
-PED316 for,2015-01-20,09:15,2015-01-20,10:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 018 sem
-PED316 for/gr,2015-01-20,10:15,2015-01-20,12:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 024 aud/gr. CK F1 018 sem
-PED316 gr,2015-01-20,12:15,2015-01-20,15:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 013. CK F1 006. CK F1 007. CK F1 008. CK F1 012
-PED317 for uke 3-8,2015-01-22,09:15,2015-01-22,12:00,Grythe Jon,CK F2 004 sem
-PED317 gr/veil,2015-01-22,12:15,2015-01-22,15:00,Grythe Jon,CK F1 024 aud/gr
-PED316 for,2015-01-26,12:15,2015-01-26,14:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 018 sem
-PED316 for,2015-01-27,09:15,2015-01-27,10:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 018 sem
-PED316 for/gr,2015-01-27,10:15,2015-01-27,12:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 024 aud/gr. CK F1 018 sem
-PED316 gr,2015-01-27,12:15,2015-01-27,15:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 013. CK F1 006. CK F1 007. CK F1 008. CK F1 012
-PED317 for uke 3-8,2015-01-29,09:15,2015-01-29,12:00,Grythe Jon,CK F2 004 sem
-PED317 gr/veil,2015-01-29,12:15,2015-01-29,15:00,Grythe Jon,CK F1 024 aud/gr
-PED316 for,2015-02-02,12:15,2015-02-02,14:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 018 sem
-PED316 for,2015-02-03,09:15,2015-02-03,10:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 018 sem
-PED316 for/gr,2015-02-03,10:15,2015-02-03,12:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 024 aud/gr. CK F1 018 sem
-PED316 gr,2015-02-03,12:15,2015-02-03,15:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 013. CK F1 006. CK F1 007. CK F1 008. CK F1 012
-PED317 for uke 3-8,2015-02-05,09:15,2015-02-05,12:00,Grythe Jon,CK F2 004 sem
-PED317 gr/veil,2015-02-05,12:15,2015-02-05,15:00,Grythe Jon,CK F1 024 aud/gr
-PED316 for,2015-02-10,09:15,2015-02-10,10:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 018 sem
-PED316 for/gr,2015-02-10,10:15,2015-02-10,12:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 024 aud/gr. CK F1 018 sem
-PED316 gr uke 7.8.9.11,2015-02-10,12:15,2015-02-10,15:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 024 aud/gr
-PED317 for uke 3-8,2015-02-12,09:15,2015-02-12,12:00,Grythe Jon,CK F2 004 sem
-PED317 gr/veil,2015-02-12,12:15,2015-02-12,15:00,Grythe Jon,CK F1 024 aud/gr
-PED316 for,2015-02-16,12:15,2015-02-16,14:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 018 sem
-PED316 for,2015-02-17,09:15,2015-02-17,10:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 018 sem
-PED316 for/gr,2015-02-17,10:15,2015-02-17,12:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 024 aud/gr. CK F1 018 sem
-PED316 gr uke 7.8.9.11,2015-02-17,12:15,2015-02-17,15:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 024 aud/gr
-PED317 for uke 3-8,2015-02-19,09:15,2015-02-19,12:00,Grythe Jon,CK F2 004 sem
-PED317 gr/veil,2015-02-19,12:15,2015-02-19,15:00,Grythe Jon,CK F1 024 aud/gr
-PED316 for,2015-02-23,12:15,2015-02-23,14:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 018 sem
-PED316 for,2015-02-24,09:15,2015-02-24,10:00,Andreasen Johan Kristian. Cyvin Mette Berit. Sæbø Grethe Ingebrigtsvold,CK F1 018 sem
