Subject,Start Date,Start Time,End Date,End Time,Description,Location
-IDR108/107 for,2015-01-05,09:15,2015-01-05,12:00,Øvrevik Geir,CK 48 002 sem
-IDR107/108 for,2015-01-05,09:15,2015-01-05,12:00,Øvrevik Geir,CK 48 002 sem
-EN-108/EN-109,2015-01-05,09:15,2015-01-05,13:00,Hangeland Hilde, Hannaas Inger Lise, Hasund Ingrid Kristine,CK 48 113 sem
-EN-109/EN-108,2015-01-05,09:15,2015-01-05,13:00,Hangeland Hilde, Hannaas Inger Lise, Hasund Ingrid Kristine,CK 48 113 sem
-ERN109/ERN110 for,2015-01-05,12:15,2015-01-05,15:00,Røed Margrethe,CK 46 135 sem
-NO-118/NO-119,2015-01-05,13:15,2015-01-05,17:00,Rambø Gro-Renee,CK 48 113 sem
-NO-119/NO-118,2015-01-05,13:15,2015-01-05,17:00,Rambø Gro-Renee,CK 48 113 sem
-HI-108/109,2015-01-06,09:15,2015-01-06,13:00,Justvik Nils Martinius,CK 48 114 sem
-HI-109/108,2015-01-06,09:15,2015-01-06,13:00,Justvik Nils Martinius,CK 48 114 sem
MU-111/MU-112 tirs,2015-01-06,12:15,2015-01-06,15:00,Christensen Jorun, Thomassen Jan Helge,CK G1 020
MU-112/MU-111 tirs,2015-01-06,12:15,2015-01-06,15:00,Christensen Jorun, Thomassen Jan Helge,CK G1 020
-SV-109,2015-01-06,13:15,2015-01-06,17:00,Skjølberg Katja,CK B3 004 sem
-INF113/INF112,2015-01-07,08:15,2015-01-07,12:00,Hadjerrouit Said,CK 46 210 sem
-INF112/INF113,2015-01-07,08:15,2015-01-07,12:00,Hadjerrouit Said,CK 46 210 sem
-NAT101/NAT102,2015-01-07,08:15,2015-01-07,12:00,Lien Anne,CK D3 054 sem
-NAT102/NAT101,2015-01-07,08:15,2015-01-07,12:00,Lien Anne,CK D3 054 sem
-SPA100,2015-01-07,09:15,2015-01-07,13:00,Drange Eli-Marie Danbolt,CK 46 135 sem
-TY-110,2015-01-07,09:15,2015-01-07,13:00,Franz Barbara Gabriele,CK F1 001 sem
-MA-113/MA-112,2015-01-07,13:15,2015-01-07,17:00,Madsen John,CK D3 054 sem
-MA-112/MA-113,2015-01-07,13:15,2015-01-07,17:00,Madsen John,CK D3 054 sem
-PED116 heltid kl B,2015-01-08,09:15,2015-01-08,13:00,Witsø Hilde,CK F2 004 sem
-PED116 heltid kl A,2015-01-08,09:15,2015-01-08,13:00,Garmanslund Per Einar,CK F1 018 sem
-KR-111/KR-112,2015-01-08,13:15,2015-01-08,17:00,Repstad Kari G. Håkonsen,CK 46 308 sem
-KR-112/KR-111,2015-01-08,13:15,2015-01-08,17:00,Repstad Kari G. Håkonsen,CK 46 308 sem
B/15/01/09 Temadag IKT PPU,2015-01-09,09:15,2015-01-09,12:00,,CK B2 003 aud
B/15/01/09 Temadag IKT PPU,2015-01-09,12:15,2015-01-09,15:00,,CK F1 018 sem, CK F2 004 sem, CK D3 026
B/15/01/09 Temadag IKT PPU,2015-01-09,12:15,2015-01-09,15:00,,CK F1 024 aud/gr
-IDR108/107 for,2015-02-23,09:15,2015-02-23,12:00,Øvrevik Geir,CK 48 002 sem
-IDR107/108 for,2015-02-23,09:15,2015-02-23,12:00,Øvrevik Geir,CK 48 002 sem
-NO-118/NO-119,2015-02-23,13:15,2015-02-23,17:00,Rambø Gro-Renee,CK 48 113 sem
-NO-119/NO-118,2015-02-23,13:15,2015-02-23,17:00,Rambø Gro-Renee,CK 48 113 sem
-HI-108/109,2015-02-24,09:15,2015-02-24,13:00,Justvik Nils Martinius,CK 48 114 sem
-HI-109/108,2015-02-24,09:15,2015-02-24,13:00,Justvik Nils Martinius,CK 48 114 sem
-TY-110,2015-02-25,09:15,2015-02-25,13:00,Franz Barbara Gabriele,CK F1 001 sem
-MA-113/MA-112,2015-02-25,13:15,2015-02-25,17:00,Madsen John,CK D3 054 sem
-MA-112/MA-113,2015-02-25,13:15,2015-02-25,17:00,Madsen John,CK D3 054 sem
-KR-111/KR-112,2015-02-26,13:15,2015-02-26,17:00,Repstad Kari G. Håkonsen,CK 46 308 sem
-KR-112/KR-111,2015-02-26,13:15,2015-02-26,17:00,Repstad Kari G. Håkonsen,CK 46 308 sem
-IDR108/107 for,2015-03-02,09:15,2015-03-02,12:00,Øvrevik Geir,CK 48 002 sem
-IDR107/108 for,2015-03-02,09:15,2015-03-02,12:00,Øvrevik Geir,CK 48 002 sem
-EN-108/EN-109,2015-03-02,09:15,2015-03-02,13:00,Hangeland Hilde, Hannaas Inger Lise, Hasund Ingrid Kristine,CK 48 113 sem
-EN-109/EN-108,2015-03-02,09:15,2015-03-02,13:00,Hangeland Hilde, Hannaas Inger Lise, Hasund Ingrid Kristine,CK 48 113 sem
-ERN109/ERN110 for,2015-03-02,12:15,2015-03-02,15:00,Røed Margrethe,CK 46 135 sem
-NO-118/NO-119,2015-03-02,13:15,2015-03-02,17:00,Rambø Gro-Renee,CK 48 113 sem
-NO-119/NO-118,2015-03-02,13:15,2015-03-02,17:00,Rambø Gro-Renee,CK 48 113 sem
-HI-108/109,2015-03-03,09:15,2015-03-03,13:00,Justvik Nils Martinius,CK 48 114 sem
-HI-109/108,2015-03-03,09:15,2015-03-03,13:00,Justvik Nils Martinius,CK 48 114 sem
MU-111/MU-112 tirs,2015-03-03,12:15,2015-03-03,15:00,Christensen Jorun, Thomassen Jan Helge,CK G1 020
MU-112/MU-111 tirs,2015-03-03,12:15,2015-03-03,15:00,Christensen Jorun, Thomassen Jan Helge,CK G1 020
-SV-109,2015-03-03,13:15,2015-03-03,17:00,Skjølberg Katja,CK B3 004 sem
-INF113/INF112,2015-03-04,08:15,2015-03-04,12:00,Hadjerrouit Said,CK 46 210 sem
-INF112/INF113,2015-03-04,08:15,2015-03-04,12:00,Hadjerrouit Said,CK 46 210 sem
-NAT101/NAT102,2015-03-04,08:15,2015-03-04,12:00,Lien Anne,CK D3 054 sem
-NAT102/NAT101,2015-03-04,08:15,2015-03-04,12:00,Lien Anne,CK D3 054 sem
-SPA100,2015-03-04,09:15,2015-03-04,13:00,Drange Eli-Marie Danbolt,CK 46 135 sem
