Subject,Start Date,Start Time,End Date,End Time,Description,Location
-PED327 tor uke 2,2015-01-08,17:15,2015-01-08,21:00,Wille Torstein,CK 46 216 sem
-PED327 fre uke 2,2015-01-09,09:15,2015-01-09,15:00,Wille Torstein,CK 46 216 sem
-PED327 tor uke 11 yrkesdid.,2015-03-12,17:15,2015-03-12,20:00,Wille Torstein,CK 48 113 sem. CK 48 108 sem. CK 48 106 sem. CK 48 114 sem
-PED327 fre uke 11,2015-03-13,09:15,2015-03-13,15:00,Wille Torstein,CK 46 216 sem
-PED327 tor uke 16 yrkesdid.,2015-04-16,17:15,2015-04-16,20:00,Wille Torstein,CK 48 113 sem. CK 48 108 sem. CK 48 106 sem. CK 48 114 sem
-PED327 fre uke 16,2015-04-17,09:15,2015-04-17,15:00,Wille Torstein,CK 46 216 sem
-PED327 tor uke 19,2015-05-07,17:15,2015-05-07,20:00,Wille Torstein,CK 46 216 sem
-PED327 fre uke 19,2015-05-08,09:15,2015-05-08,12:00,Wille Torstein,CK 46 216 sem
-PED327 fre uke 19,2015-05-08,12:15,2015-05-08,15:00,Wille Torstein,CK 48 113 sem. CK 48 108 sem. CK 48 106 sem. CK 48 114 sem
-PED327 tor uke 21,2015-05-21,17:15,2015-05-21,20:00,Wille Torstein,CK B2 002 aud
-PED327 fre uke 21,2015-05-22,09:15,2015-05-22,15:00,Wille Torstein,CK B2 002 aud
