Subject,Start Date,Start Time,End Date,End Time,Description,Location
"DAT110/pc-lab/02 uke 2-5",2015-01-06,08:15,2015-01-06,10:00,"Haaø Sven","CG A3 042 pclab/aud"
"DAT222/Forel/01",2015-01-06,10:15,2015-01-06,12:00,"Fjelldal Alexander, Mosgren, Kåre","CG C2 040 aud"
"DAT222/pc-lab/02 uke 2-5",2015-01-06,12:15,2015-01-06,15:00,"Fjelldal Alexander, Mosgren, Kåre","CG A3 042 pclab/aud"
"DAT222/Forel/02",2015-01-07,10:15,2015-01-07,12:00,"Fjelldal Alexander, Mosgren, Kåre","CG C2 040 aud"
"DAT222/pc-lab/01 uke 2-5",2015-01-07,12:15,2015-01-07,15:00,"Fjelldal Alexander, Mosgren, Kåre","CG A3 042 pclab/aud"
"DAT110/Forel/ uke 2-5",2015-01-08,08:15,2015-01-08,10:00,"Haaø Sven","CG C2 040 aud"
"DAT110/pc-lab/01",2015-01-08,10:15,2015-01-08,12:00,"Haaø Sven","CG A3 042 pclab/aud"
"DAT101/Forel/01",2015-01-08,12:15,2015-01-08,14:00,"Goodwin Morten, Nytun Jan P","CG C2 036 aud"
"DAT101/pc-lab/gr2",2015-01-08,14:15,2015-01-08,16:00,"Goodwin Morten, Nytun Jan P","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"DAT110/pc-lab/02 uke 2-5",2015-01-13,08:15,2015-01-13,10:00,"Haaø Sven","CG A3 042 pclab/aud"
"DAT222/Forel/01",2015-01-13,10:15,2015-01-13,12:00,"Fjelldal Alexander, Mosgren, Kåre","CG C2 040 aud"
"DAT222/pc-lab/02 uke 2-5",2015-01-13,12:15,2015-01-13,15:00,"Fjelldal Alexander, Mosgren, Kåre","CG A3 042 pclab/aud"
"DAT222/Forel/02",2015-01-14,10:15,2015-01-14,12:00,"Fjelldal Alexander, Mosgren, Kåre","CG C2 040 aud"
"DAT222/pc-lab/01 uke 2-5",2015-01-14,12:15,2015-01-14,15:00,"Fjelldal Alexander, Mosgren, Kåre","CG A3 042 pclab/aud"
"DAT110/Forel/ uke 2-5",2015-01-15,08:15,2015-01-15,10:00,"Haaø Sven","CG C2 040 aud"
"DAT110/pc-lab/01",2015-01-15,10:15,2015-01-15,12:00,"Haaø Sven","CG A3 042 pclab/aud"
"DAT101/Forel/01",2015-01-15,12:15,2015-01-15,14:00,"Goodwin Morten, Nytun Jan P","CG C2 036 aud"
"DAT101/pc-lab/gr2",2015-01-15,14:15,2015-01-15,16:00,"Goodwin Morten, Nytun Jan P","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"DAT110/pc-lab/02 uke 2-5",2015-01-20,08:15,2015-01-20,10:00,"Haaø Sven","CG A3 042 pclab/aud"
"DAT222/Forel/01",2015-01-20,10:15,2015-01-20,12:00,"Fjelldal Alexander, Mosgren, Kåre","CG C2 040 aud"
"DAT222/pc-lab/02 uke 2-5",2015-01-20,12:15,2015-01-20,15:00,"Fjelldal Alexander, Mosgren, Kåre","CG A3 042 pclab/aud"
"DAT222/Forel/02",2015-01-21,10:15,2015-01-21,12:00,"Fjelldal Alexander, Mosgren, Kåre","CG C2 040 aud"
"DAT222/pc-lab/01 uke 2-5",2015-01-21,12:15,2015-01-21,15:00,"Fjelldal Alexander, Mosgren, Kåre","CG A3 042 pclab/aud"
"DAT110/Forel/ uke 2-5",2015-01-22,08:15,2015-01-22,10:00,"Haaø Sven","CG C2 040 aud"
"DAT110/pc-lab/01",2015-01-22,10:15,2015-01-22,12:00,"Haaø Sven","CG A3 042 pclab/aud"
"DAT101/Forel/01",2015-01-22,12:15,2015-01-22,14:00,"Goodwin Morten, Nytun Jan P","CG C2 036 aud"
"DAT101/pc-lab/gr2",2015-01-22,14:15,2015-01-22,16:00,"Goodwin Morten, Nytun Jan P","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
"DAT110/pc-lab/02 uke 2-5",2015-01-27,08:15,2015-01-27,10:00,"Haaø Sven","CG A3 042 pclab/aud"
"DAT222/Forel/01",2015-01-27,10:15,2015-01-27,12:00,"Fjelldal Alexander, Mosgren, Kåre","CG C2 040 aud"
"DAT222/pc-lab/02 uke 2-5",2015-01-27,12:15,2015-01-27,15:00,"Fjelldal Alexander, Mosgren, Kåre","CG A3 042 pclab/aud"
"DAT222/Forel/02",2015-01-28,10:15,2015-01-28,12:00,"Fjelldal Alexander, Mosgren, Kåre","CG C2 040 aud"
"DAT222/pc-lab/01 uke 2-5",2015-01-28,12:15,2015-01-28,15:00,"Fjelldal Alexander, Mosgren, Kåre","CG A3 042 pclab/aud"
"DAT110/Forel/ uke 2-5",2015-01-29,08:15,2015-01-29,10:00,"Haaø Sven","CG C2 040 aud"
"DAT110/pc-lab/01",2015-01-29,10:15,2015-01-29,12:00,"Haaø Sven","CG A3 042 pclab/aud"
"DAT101/Forel/01",2015-01-29,12:15,2015-01-29,14:00,"Goodwin Morten, Nytun Jan P","CG C2 036 aud"
"DAT101/pc-lab/gr2",2015-01-29,14:15,2015-01-29,16:00,"Goodwin Morten, Nytun Jan P","CG A3 021 pclab M/D, CG A3 022 pclab M/D"
