Subject,Start Date,Start Time,End Date,End Time,Description,Location
PSY420-G 12.01,2015-01-12,08:15,2015-01-12,16:00,Høie, Magnhild Mjåvatn,CG-C4 093 klasserom (28)
PSY420-G 13.01,2015-01-13,08:15,2015-01-13,16:00,Høie, Magnhild Mjåvatn,CG-A3 025 klasserom (40) VER
PSY420-G 14.01,2015-01-14,08:15,2015-01-14,16:00,Høie, Magnhild Mjåvatn,CG-A3 025 klasserom (40) VER
PSY420-G 16.02,2015-02-16,08:15,2015-02-16,16:00,Høie, Magnhild Mjåvatn,CG-C3 072 auditorium (70)
PSY420-G 17.02,2015-02-17,08:15,2015-02-17,16:00,Høie, Magnhild Mjåvatn,CG-A3 027 klasserom (40) VER
PSY420-G 18.02,2015-02-18,08:15,2015-02-18,16:00,Høie, Magnhild Mjåvatn,CG-A3 020 klasserom (40)
PSY420-G 23.03,2015-03-23,08:15,2015-03-23,16:00,Høie, Magnhild Mjåvatn,CG-C3 072 auditorium (70)
PSY420-G 24.03 Temadag,2015-03-24,08:15,2015-03-24,16:00,Høie, Magnhild Mjåvatn,CG-C3 072 auditorium (70)
PSY420-G 25.03,2015-03-25,08:15,2015-03-25,16:00,Høie, Magnhild Mjåvatn,CG-C3 072 auditorium (70)
PSY420-G 27.04,2015-04-27,08:15,2015-04-27,16:00,Høie, Magnhild Mjåvatn,CG-A3 025 klasserom (40) VER
PSY420-G 28.04,2015-04-28,08:15,2015-04-28,16:00,Høie, Magnhild Mjåvatn,CG-A3 025 klasserom (40) VER
PSY420-G 29.04,2015-04-29,08:15,2015-04-29,16:00,Høie, Magnhild Mjåvatn,CG-A3 027 klasserom (40) VER
