Subject,Start Date,Start Time,End Date,End Time,Description,Location
PSY417 15.01,2015-01-12,16:15,2015-01-12,22:00,Ulland Erna,CG-C3 072 auditorium (70)
PSY417 14.01,2015-01-13,16:15,2015-01-13,22:00,,CG-C3 072 auditorium (70)
ME-504 17.01,2015-01-14,16:15,2015-01-14,23:00,,CG-x Uglandstua
PSY417 13.01,2015-01-16,16:15,2015-01-16,22:00,Ulland Erna,CG-C3 072 auditorium (70)
PSY417 11.02,2015-02-09,16:15,2015-02-09,22:00,Ulland Erna,CG-C3 072 auditorium (70)
PSY417 10.02,2015-02-11,16:15,2015-02-11,22:00,Ulland Erna,CG-A2 027 klasserom
PSY417 12.02,2015-02-13,16:15,2015-02-13,22:00,Ulland Erna,CG-A2 027 klasserom
PSY417 12.03,2015-03-09,16:15,2015-03-09,22:00,Ulland Erna,CG-A3 025 klasserom (40) VER
PSY417 10.03,2015-03-11,16:15,2015-03-11,22:00,Ulland Erna,CG-A2 027 klasserom
PSY417 11.03,2015-03-12,16:15,2015-03-12,22:00,Ulland Erna,CG-A2 027 klasserom
ME-504 11.03,2015-03-13,16:15,2015-03-13,22:00,Thorød Anne Brita,CG-A3 023 klasserom (40)
PSY417 05.05 Seminar,2015-05-04,16:15,2015-05-04,00:00,Ulland Erna,CG-C3 072 auditorium (70)
