Subject,Start Date,Start Time,End Date,End Time,Description,Location
.BE-312-1 for (B2 002),2015-01-07,09:15,2015-01-07,12:00,Haaland Geir,CK B2 002 aud
.BE-312-1 for (B2 002),2015-01-14,09:15,2015-01-14,12:00,Haaland Geir,CK B2 002 aud
.BE-315-1 for GH tors uke 3.6.11-13.15-18,2015-01-15,12:15,2015-01-15,15:00,Haaland Geir,CK D3 018 sem
.BE-314-1 for 1,2015-01-15,15:15,2015-01-15,19:00,Pedersen Asbjørn O,CK B1 001 aud
.BE-314-1 for 2,2015-01-16,08:15,2015-01-16,13:00,Pedersen Asbjørn O,CK B1 001 aud
.BE-316-1 for uke 4,2015-01-20,09:15,2015-01-20,12:00,Koekebakker Steen,CK B1 007 aud
.BE-316-1 gr,2015-01-20,12:15,2015-01-20,14:00,,CK 50 110. CK 50 114a. CK 50 114b. CK 50 115a. CK 50 115c. CK 50 115e. CK 50 115f. CK 50 116a. CK 50 116c. CK 50 116d. CK 50 116e. CK 50 141. CK 50 145
.BE-312-1 for (B2 002),2015-01-21,09:15,2015-01-21,12:00,Haaland Geir,CK B2 002 aud
.BE-316-1 for uke 5,2015-01-27,09:15,2015-01-27,12:00,Koekebakker Steen,CK B2 003 aud
.BE-316-1 gr,2015-01-27,12:15,2015-01-27,14:00,,CK 50 110. CK 50 114a. CK 50 114b. CK 50 115a. CK 50 115c. CK 50 115e. CK 50 115f. CK 50 116a. CK 50 116c. CK 50 116d. CK 50 116e. CK 50 141. CK 50 145
.BE-312-1 for (B2 002),2015-01-28,09:15,2015-01-28,12:00,Haaland Geir,CK B2 002 aud
.BE-316-1 for uke 6,2015-02-03,09:15,2015-02-03,12:00,Koekebakker Steen,CK B2 003 aud
.BE-316-1 gr,2015-02-03,12:15,2015-02-03,14:00,,CK 50 110. CK 50 114a. CK 50 114b. CK 50 115a. CK 50 115c. CK 50 115e. CK 50 115f. CK 50 116a. CK 50 116c. CK 50 116d. CK 50 116e. CK 50 141. CK 50 145
.BE-312-1 for (B2 014),2015-02-04,09:15,2015-02-04,12:00,Haaland Geir,CK B2 014 sem
.BE-315-1 for GH tors uke 3.6.11-13.15-18,2015-02-05,12:15,2015-02-05,15:00,Haaland Geir,CK D3 018 sem
.BE-316-1 for uke 7,2015-02-10,09:15,2015-02-10,12:00,Koekebakker Steen,CK B1 006 aud
.BE-316-1 gr,2015-02-10,12:15,2015-02-10,14:00,,CK 50 110. CK 50 114a. CK 50 114b. CK 50 115a. CK 50 115c. CK 50 115e. CK 50 115f. CK 50 116a. CK 50 116c. CK 50 116d. CK 50 116e. CK 50 141. CK 50 145
.BE-312-1 for (B2 014),2015-02-11,09:15,2015-02-11,12:00,Haaland Geir,CK B2 014 sem
.BE-316-1 for uke 8,2015-02-17,09:15,2015-02-17,12:00,Koekebakker Steen,CK B1 007 aud
.BE-316-1 gr,2015-02-17,12:15,2015-02-17,14:00,,CK 50 110. CK 50 114a. CK 50 114b. CK 50 115a. CK 50 115c. CK 50 115e. CK 50 115f. CK 50 116a. CK 50 116c. CK 50 116d. CK 50 116e. CK 50 141. CK 50 145
.BE-312-1 for (B2 002),2015-02-18,09:15,2015-02-18,12:00,Haaland Geir,CK B2 002 aud
.BE-314-1 for 1,2015-02-19,15:15,2015-02-19,19:00,Pedersen Asbjørn O,CK B1 001 aud
.BE-314-1 for 2,2015-02-20,08:15,2015-02-20,13:00,Pedersen Asbjørn O,CK B1 001 aud
.BE-316-1 for uke 9,2015-02-24,09:15,2015-02-24,14:00,Beisland Leif Atle,CK B1 001 aud
.BE-316-1 for uke 10,2015-03-03,09:15,2015-03-03,14:00,Beisland Leif Atle,CK B2 003 aud
.BE-312-1 for (B2 002),2015-03-04,09:15,2015-03-04,12:00,Haaland Geir,CK B2 002 aud
.BE-314-1 for 1,2015-03-05,15:15,2015-03-05,19:00,Pedersen Asbjørn O,CK B1 001 aud
.BE-314-1 for 2,2015-03-06,08:15,2015-03-06,13:00,Pedersen Asbjørn O,CK B1 001 aud
.BE-316-1 for uke 11 tirs 3 timer (B2 003),2015-03-10,09:15,2015-03-10,12:00,Beisland Leif Atle,CK B2 003 aud
.BE-316-1 for uke 11 tirs 2 timer (B3 007),2015-03-10,12:15,2015-03-10,14:00,Beisland Leif Atle,CK B3 007 aud 
.BE-312-1 for (B2 002),2015-03-11,09:15,2015-03-11,12:00,Haaland Geir,CK B2 002 aud
.BE-315-1 for GH tors uke 3.6.11-13.15-18,2015-03-12,12:15,2015-03-12,15:00,Haaland Geir,CK D3 018 sem
.BE-315-1 for TS fre uke 11-13.15,2015-03-13,08:15,2015-03-13,12:00,Steinheim Tonny,CK D3 018 sem
.BE-316-1 gr,2015-03-17,12:15,2015-03-17,14:00,,CK 50 110. CK 50 114a. CK 50 114b. CK 50 115a. CK 50 115c. CK 50 115e. CK 50 115f. CK 50 116a. CK 50 116c. CK 50 116d. CK 50 116e. CK 50 141. CK 50 145
.BE-312-1 for (B2 002),2015-03-18,09:15,2015-03-18,12:00,Haaland Geir,CK B2 002 aud
.BE-315-1 for GH tors uke 3.6.11-13.15-18,2015-03-19,12:15,2015-03-19,15:00,Haaland Geir,CK D3 018 sem
.BE-315-1 for TS fre uke 11-13.15,2015-03-20,08:15,2015-03-20,12:00,Steinheim Tonny,CK D3 018 sem
.BE-316-1 gr,2015-03-24,12:15,2015-03-24,14:00,,CK 50 110. CK 50 114a. CK 50 114b. CK 50 115a. CK 50 115c. CK 50 115e. CK 50 115f. CK 50 116a. CK 50 116c. CK 50 116d. CK 50 116e. CK 50 141. CK 50 145
.BE-315-1 for GH tors uke 3.6.11-13.15-18,2015-03-26,12:15,2015-03-26,15:00,Haaland Geir,CK D3 018 sem
.BE-315-1 for TS fre uke 11-13.15,2015-03-27,08:15,2015-03-27,12:00,Steinheim Tonny,CK D3 018 sem
.BE-312-1 for (B2 002),2015-04-08,09:15,2015-04-08,12:00,Haaland Geir,CK B2 002 aud
.BE-315-1 for GH tors uke 3.6.11-13.15-18,2015-04-09,12:15,2015-04-09,15:00,Haaland Geir,CK D3 018 sem
.BE-315-1 for TS fre uke 11-13.15,2015-04-10,08:15,2015-04-10,12:00,Steinheim Tonny,CK D3 018 sem
.BE-316-1 oppsum for uke 16,2015-04-14,09:15,2015-04-14,14:00,Beisland Leif Atle,CK B2 003 aud
.BE-312-1 for (B2 002),2015-04-15,09:15,2015-04-15,12:00,Haaland Geir,CK B2 002 aud
.BE-315-1 for GH tors uke 3.6.11-13.15-18,2015-04-16,12:15,2015-04-16,15:00,Haaland Geir,CK D3 018 sem
.BE-316-1 gr,2015-04-21,12:15,2015-04-21,14:00,,CK 50 110. CK 50 114a. CK 50 114b. CK 50 115a. CK 50 115c. CK 50 115e. CK 50 115f. CK 50 116a. CK 50 116c. CK 50 116d. CK 50 116e. CK 50 141. CK 50 145
.BE-312-1 for (B2 002),2015-04-22,09:15,2015-04-22,12:00,Haaland Geir,CK B2 002 aud
.BE-315-1 for GH tors uke 3.6.11-13.15-18,2015-04-23,12:15,2015-04-23,15:00,Haaland Geir,CK D3 018 sem
.BE-316-1 gr,2015-04-28,12:15,2015-04-28,14:00,,CK 50 110. CK 50 114a. CK 50 114b. CK 50 115a. CK 50 115c. CK 50 115e. CK 50 115f. CK 50 116a. CK 50 116c. CK 50 116d. CK 50 116e. CK 50 141. CK 50 145
.BE-312-1 for (B2 002),2015-04-29,09:15,2015-04-29,12:00,Haaland Geir,CK B2 002 aud
.BE-315-1 for GH tors uke 3.6.11-13.15-18,2015-04-30,12:15,2015-04-30,15:00,Haaland Geir,CK D3 018 sem
.BE-316-1 gr,2015-05-05,12:15,2015-05-05,14:00,,CK 50 110. CK 50 114a. CK 50 114b. CK 50 115a. CK 50 115c. CK 50 115e. CK 50 115f. CK 50 116a. CK 50 116c. CK 50 116d. CK 50 116e. CK 50 141. CK 50 145
