Subject,Start Date,Start Time,End Date,End Time,Description,Location
-REL415,2015-01-05,09:15,2015-01-05,11:00,Repstad Pål Steinar,CK F1 001 sem
-REL415,2015-01-05,12:15,2015-01-05,14:00,Repstad Pål Steinar,CK F1 001 sem
-REL413,2015-01-06,09:15,2015-01-06,11:00,Ulland Dagfinn,CK 46 135 sem
-REL413,2015-01-06,12:15,2015-01-06,14:00,Ulland Dagfinn,CK 46 135 sem
-REL415,2015-01-12,09:15,2015-01-12,11:00,Repstad Pål Steinar,CK F1 001 sem
-REL415,2015-01-12,12:15,2015-01-12,14:00,Repstad Pål Steinar,CK F1 001 sem
-REL413,2015-01-13,09:15,2015-01-13,11:00,Ulland Dagfinn,CK 46 135 sem
-REL413,2015-01-13,12:15,2015-01-13,14:00,Ulland Dagfinn,CK 46 135 sem
-REL415,2015-01-19,09:15,2015-01-19,11:00,Repstad Pål Steinar,CK F1 001 sem
-REL415,2015-01-19,12:15,2015-01-19,14:00,Repstad Pål Steinar,CK F1 001 sem
-REL413,2015-01-20,09:15,2015-01-20,11:00,Ulland Dagfinn,CK 46 135 sem
-REL413,2015-01-20,12:15,2015-01-20,14:00,Ulland Dagfinn,CK 46 135 sem
-REL415,2015-01-26,09:15,2015-01-26,11:00,Repstad Pål Steinar,CK F1 001 sem
-REL415,2015-01-26,12:15,2015-01-26,14:00,Repstad Pål Steinar,CK F1 001 sem
-REL413,2015-01-27,09:15,2015-01-27,11:00,Ulland Dagfinn,CK 46 135 sem
-REL413,2015-01-27,12:15,2015-01-27,14:00,Ulland Dagfinn,CK 46 135 sem
-REL415,2015-02-02,09:15,2015-02-02,11:00,Repstad Pål Steinar,CK F1 001 sem
-REL415,2015-02-02,12:15,2015-02-02,14:00,Repstad Pål Steinar,CK F1 001 sem
-REL413,2015-02-03,09:15,2015-02-03,11:00,Ulland Dagfinn,CK 46 135 sem
-REL413,2015-02-03,12:15,2015-02-03,14:00,Ulland Dagfinn,CK 46 135 sem
-REL415,2015-02-09,09:15,2015-02-09,11:00,Repstad Pål Steinar,CK F1 001 sem
-REL415,2015-02-09,12:15,2015-02-09,14:00,Repstad Pål Steinar,CK F1 001 sem
-REL413,2015-02-10,09:15,2015-02-10,11:00,Ulland Dagfinn,CK 46 135 sem
-REL413,2015-02-10,12:15,2015-02-10,14:00,Ulland Dagfinn,CK 46 135 sem
-REL415,2015-02-16,09:15,2015-02-16,11:00,Repstad Pål Steinar,CK F1 001 sem
-REL415,2015-02-16,12:15,2015-02-16,14:00,Repstad Pål Steinar,CK F1 001 sem
-REL413,2015-02-17,09:15,2015-02-17,11:00,Ulland Dagfinn,CK 46 135 sem
-REL413,2015-02-17,12:15,2015-02-17,14:00,Ulland Dagfinn,CK 46 135 sem
-REL415,2015-02-23,09:15,2015-02-23,11:00,Repstad Pål Steinar,CK F1 001 sem
-REL415,2015-02-23,12:15,2015-02-23,14:00,Repstad Pål Steinar,CK F1 001 sem
-REL413,2015-02-24,09:15,2015-02-24,11:00,Ulland Dagfinn,CK 46 135 sem
-REL413,2015-02-24,12:15,2015-02-24,14:00,Ulland Dagfinn,CK 46 135 sem
-REL415,2015-03-02,09:15,2015-03-02,11:00,Repstad Pål Steinar,CK F1 001 sem
-REL415,2015-03-02,12:15,2015-03-02,14:00,Repstad Pål Steinar,CK F1 001 sem
-REL413,2015-03-03,09:15,2015-03-03,11:00,Ulland Dagfinn,CK 46 135 sem
-REL413,2015-03-03,12:15,2015-03-03,14:00,Ulland Dagfinn,CK 46 135 sem
-REL415,2015-03-09,09:15,2015-03-09,11:00,Repstad Pål Steinar,CK F1 001 sem
-REL415,2015-03-09,12:15,2015-03-09,14:00,Repstad Pål Steinar,CK F1 001 sem
-REL413,2015-03-10,09:15,2015-03-10,11:00,Ulland Dagfinn,CK 46 135 sem
-REL413,2015-03-10,12:15,2015-03-10,14:00,Ulland Dagfinn,CK 46 135 sem
-REL415,2015-03-16,09:15,2015-03-16,11:00,Repstad Pål Steinar,CK F1 001 sem
-REL415,2015-03-16,12:15,2015-03-16,14:00,Repstad Pål Steinar,CK F1 001 sem
-REL413,2015-03-17,09:15,2015-03-17,11:00,Ulland Dagfinn,CK 46 135 sem
-REL413,2015-03-17,12:15,2015-03-17,14:00,Ulland Dagfinn,CK 46 135 sem
-REL415,2015-03-23,09:15,2015-03-23,11:00,Repstad Pål Steinar,CK F1 001 sem
-REL415,2015-03-23,12:15,2015-03-23,14:00,Repstad Pål Steinar,CK F1 001 sem
-REL413,2015-03-24,09:15,2015-03-24,11:00,Ulland Dagfinn,CK 46 135 sem
-REL413,2015-03-24,12:15,2015-03-24,14:00,Ulland Dagfinn,CK 46 135 sem
-REL413,2015-04-07,09:15,2015-04-07,11:00,Ulland Dagfinn,CK 46 135 sem
-REL413,2015-04-07,12:15,2015-04-07,14:00,Ulland Dagfinn,CK 46 135 sem
-REL415,2015-04-13,09:15,2015-04-13,11:00,Repstad Pål Steinar,CK F1 001 sem
-REL415,2015-04-13,12:15,2015-04-13,14:00,Repstad Pål Steinar,CK F1 001 sem
-REL413,2015-04-14,09:15,2015-04-14,11:00,Ulland Dagfinn,CK 46 135 sem
-REL413,2015-04-14,12:15,2015-04-14,14:00,Ulland Dagfinn,CK 46 135 sem
-REL415,2015-04-20,09:15,2015-04-20,11:00,Repstad Pål Steinar,CK F1 001 sem
-REL415,2015-04-20,12:15,2015-04-20,14:00,Repstad Pål Steinar,CK F1 001 sem
-REL413,2015-04-21,09:15,2015-04-21,11:00,Ulland Dagfinn,CK 46 135 sem
-REL413,2015-04-21,12:15,2015-04-21,14:00,Ulland Dagfinn,CK 46 135 sem
-REL415,2015-04-27,09:15,2015-04-27,11:00,Repstad Pål Steinar,CK F1 001 sem
-REL415,2015-04-27,12:15,2015-04-27,14:00,Repstad Pål Steinar,CK F1 001 sem
-REL413,2015-04-28,09:15,2015-04-28,11:00,Ulland Dagfinn,CK 46 135 sem
-REL413,2015-04-28,12:15,2015-04-28,14:00,Ulland Dagfinn,CK 46 135 sem
-REL415,2015-05-04,09:15,2015-05-04,11:00,Repstad Pål Steinar,CK F1 001 sem
-REL415,2015-05-04,12:15,2015-05-04,14:00,Repstad Pål Steinar,CK F1 001 sem
-REL413,2015-05-05,09:15,2015-05-05,11:00,Ulland Dagfinn,CK 46 135 sem
-REL413,2015-05-05,12:15,2015-05-05,14:00,Ulland Dagfinn,CK 46 135 sem
