Subject,Start Date,Start Time,End Date,End Time,Description,Location
".JUR202-1 for ons u 2-6 ",2015-01-07,09:15,2015-01-07,13:00,"Abusland Terje","CK B2 006 aud "
".JUR202-1 arb.gr torsd u 2.3.4",2015-01-08,10:15,2015-01-08,14:00,"Abusland Terje","CK 50 115b, CK 50 115d sem, CK 50 138 sem"
".JUR202-1 for ons u 2-6 ",2015-01-14,09:15,2015-01-14,13:00,"Abusland Terje","CK B2 006 aud "
".JUR202-1 arb.gr torsd u 2.3.4",2015-01-15,10:15,2015-01-15,14:00,"Abusland Terje","CK 50 115b, CK 50 115d sem, CK 50 138 sem"
".JUR202-1 for ons u 2-6 ",2015-01-21,09:15,2015-01-21,13:00,"Abusland Terje","CK B2 006 aud "
".JUR202-1 arb.gr torsd u 2.3.4",2015-01-22,10:15,2015-01-22,14:00,"Abusland Terje","CK 50 115b, CK 50 115d sem, CK 50 138 sem"
".JUR202-1 for NAV u 5",2015-01-29,09:15,2015-01-29,13:00,"","CK D3 018 sem"
".JUR202-1 arb.gr fred u 5",2015-01-30,10:15,2015-01-30,14:00,"Abusland Terje","CK 50 115b, CK 50 115d sem, CK 50 138 sem"
".JUR202-1 arb.gr mand u 6",2015-02-02,10:15,2015-02-02,14:00,"Abusland Terje","CK 50 115b, CK 50 115d sem, CK 50 138 sem"
".JUR202-1 for ons u 2-6 ",2015-02-04,09:15,2015-02-04,13:00,"Abusland Terje","CK B2 006 aud "
".JUR202-1 stor.gr ",2015-02-06,10:15,2015-02-06,16:00,"Abusland Terje","CK B2 014 sem"
".JUR202-1 for ons u 7 ",2015-02-11,09:15,2015-02-11,13:00,"Abusland Terje","CK B2 006 aud "
".JUR202-1 for fred u 7",2015-02-13,09:15,2015-02-13,13:00,"Abusland Terje","CK B2 003 aud"
".JUR105-1 for man 9 ",2015-02-23,09:15,2015-02-23,12:00,"Nielsen Kari Lunøe","CK B2 006 aud "
".JUR105-1 for tirs 9 ",2015-02-24,09:15,2015-02-24,12:00,"Nielsen Kari Lunøe","CK B2 006 aud "
".JUR105-1 for ons 9.12.13 ",2015-02-25,09:15,2015-02-25,12:00,"Nielsen Kari Lunøe","CK B2 006 aud "
".JUR105-1 stor.gr 1",2015-02-27,10:15,2015-02-27,12:00,"Nielsen Kari Lunøe","CK B2 014 sem"
".JUR105-1 stor.gr 2",2015-02-27,12:15,2015-02-27,14:00,"Nielsen Kari Lunøe","CK B2 014 sem"
".JUR105-1 for ons 10 S Tjomsland",2015-03-02,10:15,2015-03-02,12:00,"Nielsen Kari Lunøe","CK B2 006 aud "
".JUR105-1 arb.gr",2015-03-05,09:15,2015-03-05,13:00,"Nielsen Kari Lunøe","CK 50 115b, CK 50 115d sem, CK 50 138 sem"
".JUR105-1 arb.gr",2015-03-12,09:15,2015-03-12,13:00,"Nielsen Kari Lunøe","CK 50 115b, CK 50 115d sem, CK 50 138 sem"
".JUR105-1 for ons 9.12.13 ",2015-03-18,09:15,2015-03-18,12:00,"Nielsen Kari Lunøe","CK B2 006 aud "
".JUR105-1 stor.gr 1",2015-03-18,13:15,2015-03-18,15:00,"Nielsen Kari Lunøe","CK B2 001 aud "
".JUR105-1 stor.gr 2",2015-03-18,15:15,2015-03-18,17:00,"Nielsen Kari Lunøe","CK B2 001 aud "
".JUR105-1 arb.gr",2015-03-19,09:15,2015-03-19,13:00,"Nielsen Kari Lunøe","CK 50 115b, CK 50 115d sem, CK 50 138 sem"
".JUR105-1 for ons 9.12.13 ",2015-03-25,09:15,2015-03-25,12:00,"Nielsen Kari Lunøe","CK B2 006 aud "
".JUR105-1 arb.gr",2015-03-26,09:15,2015-03-26,13:00,"Nielsen Kari Lunøe","CK 50 115b, CK 50 115d sem, CK 50 138 sem"
".JUR105-1 for ons 15 ",2015-04-08,09:15,2015-04-08,11:00,"Nielsen Kari Lunøe","CK B2 006 aud "
".JUR105-1 for ons 15 ",2015-04-08,12:15,2015-04-08,14:00,"Nielsen Kari Lunøe","CK B2 006 aud "
".JUR106-1 for ons u 17-18 ",2015-04-22,09:15,2015-04-22,12:00,"","CK B1 001 aud"
".JUR106-1 arb.gr tors u 17 (gr.lærer)",2015-04-23,08:15,2015-04-23,10:00,"","CK 15 103, CK 15 105, CK 15 106, CK 15 115, CK 15 110 sem "
".JUR106-1 for ons u 17-18 ",2015-04-29,09:15,2015-04-29,12:00,"","CK B1 001 aud"
".JUR106-1 for ons u 19",2015-05-06,09:15,2015-05-06,12:00,"","CK I1 066 aud"
".JUR106-1 arb.gr tors u 19 (gr.lærer)",2015-05-07,09:15,2015-05-07,11:00,"","CK 15 103, CK 15 105, CK 15 106, CK 15 115, CK 15 110 sem "
".JUR106-1 stor.gr 1 (",2015-05-08,09:15,2015-05-08,11:00,"","CK B2 001 aud "
".JUR106-1 stor.gr 1 ",2015-05-08,11:15,2015-05-08,13:00,"","CK B2 001 aud "
".JUR106-1 for u 20-22 ",2015-05-13,09:15,2015-05-13,12:00,"","CK B1 001 aud"
".JUR106-1 arb.gr fre u 20",2015-05-15,09:15,2015-05-15,13:00,"","CK 50 115b, CK 50 115d sem, CK 50 138 sem"
".JUR106-1 for u 20-22 ",2015-05-20,09:15,2015-05-20,12:00,"","CK B1 001 aud"
".JUR106-1 arb.gr tors u 21 (gr.lærer)",2015-05-21,08:15,2015-05-21,10:00,"","CK 15 103, CK 15 105, CK 15 106, CK 15 115, CK 15 110 sem "
".JUR106-1 stor.gr 1 (",2015-05-22,09:15,2015-05-22,11:00,"","CK B2 001 aud "
".JUR106-1 stor.gr 1 ",2015-05-22,11:15,2015-05-22,13:00,"","CK B2 001 aud "
".JUR106-1 for u 20-22 ",2015-05-27,09:15,2015-05-27,12:00,"","CK B1 001 aud"
".JUR106-1 for tors u 22",2015-05-28,09:15,2015-05-28,12:00,"","CK B1 001 aud"
