Subject,Start Date,Start Time,End Date,End Time,Description,Location
".SV-407-1 forel 1A",2015-01-05,09:15,2015-01-05,11:00,"Økland Øyvind","CK HU 022 sem"
".SV-407-1 gr 1",2015-01-05,11:15,2015-01-05,13:00,"Økland Øyvind","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
".SV-407-1 forel 1B",2015-01-05,13:15,2015-01-05,14:00,"Økland Øyvind","CK HU 022 sem"
".SV-407-1 forel 2A",2015-01-06,09:15,2015-01-06,11:00,"Økland Øyvind","CK HU 062 sem"
".SV-407-1 gr 2",2015-01-06,11:15,2015-01-06,13:00,"Økland Øyvind","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
".SV-407-1 forel 2B",2015-01-06,13:15,2015-01-06,14:00,"Økland Øyvind","CK HU 062 sem"
"-KOM401 for",2015-01-07,12:15,2015-01-07,13:00,"Engebretsen Martin","CK F2 004 sem"
"-KOM401 for/gr",2015-01-07,13:15,2015-01-07,16:00,"Engebretsen Martin","CK F2 024, CK F2 026, CK F1 012, CK F2 004 sem"
".SV-407-1 forel 1A",2015-01-12,09:15,2015-01-12,11:00,"Økland Øyvind","CK HU 022 sem"
".SV-407-1 gr 1",2015-01-12,11:15,2015-01-12,13:00,"Økland Øyvind","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
".SV-407-1 forel 1B",2015-01-12,13:15,2015-01-12,14:00,"Økland Øyvind","CK HU 022 sem"
".SV-407-1 forel 2A",2015-01-13,09:15,2015-01-13,11:00,"Økland Øyvind","CK HU 062 sem"
".SV-407-1 gr 2",2015-01-13,11:15,2015-01-13,13:00,"Økland Øyvind","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
".SV-407-1 forel 2B",2015-01-13,13:15,2015-01-13,14:00,"Økland Øyvind","CK HU 062 sem"
"-KOM401 for",2015-01-14,12:15,2015-01-14,13:00,"Engebretsen Martin","CK F2 004 sem"
"-KOM401 for/gr",2015-01-14,13:15,2015-01-14,16:00,"Engebretsen Martin","CK F2 024, CK F2 026, CK F1 012, CK F2 004 sem"
".SV-407-1 forel 1A",2015-01-19,09:15,2015-01-19,11:00,"Økland Øyvind","CK HU 022 sem"
".SV-407-1 gr 1",2015-01-19,11:15,2015-01-19,13:00,"Økland Øyvind","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
".SV-407-1 forel 1B",2015-01-19,13:15,2015-01-19,14:00,"Økland Øyvind","CK HU 022 sem"
".SV-407-1 forel 2A",2015-01-20,09:15,2015-01-20,11:00,"Økland Øyvind","CK HU 062 sem"
".SV-407-1 gr 2",2015-01-20,11:15,2015-01-20,13:00,"Økland Øyvind","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
".SV-407-1 forel 2B",2015-01-20,13:15,2015-01-20,14:00,"Økland Øyvind","CK HU 062 sem"
"-KOM401 for",2015-01-21,12:15,2015-01-21,13:00,"Engebretsen Martin","CK F2 004 sem"
"-KOM401 for/gr",2015-01-21,13:15,2015-01-21,16:00,"Engebretsen Martin","CK F2 024, CK F2 026, CK F1 012, CK F2 004 sem"
".SV-407-1 forel 1A",2015-01-26,09:15,2015-01-26,11:00,"Økland Øyvind","CK HU 022 sem"
".SV-407-1 gr 1",2015-01-26,11:15,2015-01-26,13:00,"Økland Øyvind","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
".SV-407-1 forel 1B",2015-01-26,13:15,2015-01-26,14:00,"Økland Øyvind","CK HU 022 sem"
".SV-407-1 forel 2A",2015-01-27,09:15,2015-01-27,11:00,"Økland Øyvind","CK HU 062 sem"
".SV-407-1 gr 2",2015-01-27,11:15,2015-01-27,13:00,"Økland Øyvind","CK HK 032, CK HK 033, CK HK 034, CK HK 038, CK HK 039, CK HK 041"
".SV-407-1 forel 2B",2015-01-27,13:15,2015-01-27,14:00,"Økland Øyvind","CK HU 062 sem"
"-KOM401 for",2015-01-28,12:15,2015-01-28,13:00,"Engebretsen Martin","CK F2 004 sem"
"-KOM401 for/gr",2015-01-28,13:15,2015-01-28,16:00,"Engebretsen Martin","CK F2 024, CK F2 026, CK F1 012, CK F2 004 sem"
