Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MU-127 musor man",2015-01-05,09:15,2015-01-05,11:00,"Arntsen Asbjørn","CK K1 037/Samspillsal 3"
"MU-128 musikklek man",2015-01-05,11:15,2015-01-05,13:00,"Andersen Torstein","CK G1 012"
"MU-128 sang man",2015-01-05,13:15,2015-01-05,15:00,"Andersen Torstein","CK G1 012"
"MU-127 hørelære tirs",2015-01-06,11:15,2015-01-06,13:00,"Thomassen Jan Helge","CK G1 001, CK G1 009"
"MU-128 gitar tirs",2015-01-06,13:15,2015-01-06,15:00,"Fjelde Harald","CK G1 009"
"MU-128 mustek ons",2015-01-07,09:15,2015-01-07,11:00,"Thomassen Jan Helge","CK G1 001"
"MU-129 didaktisk prosjekt ons",2015-01-07,10:15,2015-01-07,13:00,"Valberg Tony","CK G1 012"
"MU-129 musped tors",2015-01-08,09:15,2015-01-08,11:00,"Andersen Torstein, Fjelde Harald, Thomassen Jan Helge, Valberg Tony","CK G1 012"
"MU-128 musikkverksted tors",2015-01-08,11:15,2015-01-08,14:00,"Andersen Torstein, Fjelde Harald, Thomassen Jan Helge, Valberg Tony","CK G1 012"
"MU-127 musor man",2015-01-12,09:15,2015-01-12,11:00,"Arntsen Asbjørn","CK K1 037/Samspillsal 3"
"MU-128 musikklek man",2015-01-12,11:15,2015-01-12,13:00,"Andersen Torstein","CK G1 012"
"MU-128 sang man",2015-01-12,13:15,2015-01-12,15:00,"Andersen Torstein","CK G1 012"
"MU-127 hørelære tirs",2015-01-13,11:15,2015-01-13,13:00,"Thomassen Jan Helge","CK G1 001, CK G1 009"
"MU-128 gitar tirs",2015-01-13,13:15,2015-01-13,15:00,"Fjelde Harald","CK G1 009"
"MU-128 mustek ons",2015-01-14,09:15,2015-01-14,11:00,"Thomassen Jan Helge","CK G1 001"
"MU-129 didaktisk prosjekt ons",2015-01-14,10:15,2015-01-14,13:00,"Valberg Tony","CK G1 012"
"MU-129 musped tors",2015-01-15,09:15,2015-01-15,11:00,"Andersen Torstein, Fjelde Harald, Thomassen Jan Helge, Valberg Tony","CK G1 012"
"MU-128 musikkverksted tors",2015-01-15,11:15,2015-01-15,14:00,"Andersen Torstein, Fjelde Harald, Thomassen Jan Helge, Valberg Tony","CK G1 012"
