Subject,Start Date,Start Time,End Date,End Time,Description,Location
SEX403-G uke 4,2015-01-19,09:15,2015-01-19,18:00,Almås. Elsa. Benestad. Esben Esther Pirelli. Pristed. Rikke,CG-C3 072 auditorium (70)
SEX403-G uke 4,2015-01-20,09:15,2015-01-20,18:00,Almås. Elsa. Benestad. Esben Esther Pirelli. Pristed. Rikke,CG-C3 072 auditorium (70)
SEX403-G uke 4,2015-01-21,09:15,2015-01-21,18:00,Almås. Elsa. Benestad. Esben Esther Pirelli. Pristed. Rikke,CG-C3 072 auditorium (70)
SEX403-G uke 4,2015-01-22,09:15,2015-01-22,18:00,Almås. Elsa. Benestad. Esben Esther Pirelli. Pristed. Rikke,CG-C3 072 auditorium (70)
SEX403-G uke 4,2015-01-23,09:15,2015-01-23,18:00,Almås. Elsa. Benestad. Esben Esther Pirelli. Pristed. Rikke,CG-C3 072 auditorium (70)
SEX403-G uke 12 man+tirs,2015-03-16,09:15,2015-03-16,18:00,Almås. Elsa. Benestad. Esben Esther Pirelli. Pristed. Rikke,CG-A3 025 klasserom (40) VER
SEX403-G uke 12 grom,2015-03-16,16:15,2015-03-16,18:00,Almås. Elsa. Benestad. Esben Esther Pirelli. Pristed. Rikke,CG-C3 090. CG-C3 091. CG-C3 092
SEX403-G uke 12 man+tirs,2015-03-17,09:15,2015-03-17,18:00,Almås. Elsa. Benestad. Esben Esther Pirelli. Pristed. Rikke,CG-A3 025 klasserom (40) VER
SEX403-G uke 12 grom,2015-03-17,16:15,2015-03-17,18:00,Almås. Elsa. Benestad. Esben Esther Pirelli. Pristed. Rikke,CG-C3 090. CG-C3 091. CG-C3 092
SEX403-G uke 12 ons-fre,2015-03-18,09:15,2015-03-18,18:00,Almås. Elsa. Benestad. Esben Esther Pirelli. Pristed. Rikke,CG-C3 072 auditorium (70)
SEX403-G uke 12 grom,2015-03-18,16:15,2015-03-18,18:00,Almås. Elsa. Benestad. Esben Esther Pirelli. Pristed. Rikke,CG-C3 090. CG-C3 091. CG-C3 092
SEX403-G uke 12 ons-fre,2015-03-19,09:15,2015-03-19,18:00,Almås. Elsa. Benestad. Esben Esther Pirelli. Pristed. Rikke,CG-C3 072 auditorium (70)
SEX403-G uke 12 ons-fre,2015-03-20,09:15,2015-03-20,18:00,Almås. Elsa. Benestad. Esben Esther Pirelli. Pristed. Rikke,CG-C3 072 auditorium (70)
SEX403-G uke 22,2015-05-27,09:15,2015-05-27,18:00,Almås. Elsa. Benestad. Esben Esther Pirelli. Pristed. Rikke,CG-x Amsterdam
SEX403-G uke 22,2015-05-28,09:15,2015-05-28,18:00,Almås. Elsa. Benestad. Esben Esther Pirelli. Pristed. Rikke,CG-x Amsterdam
SEX403-G uke 22,2015-05-29,09:15,2015-05-29,18:00,Almås. Elsa. Benestad. Esben Esther Pirelli. Pristed. Rikke,CG-x Amsterdam
SEX403-G uke 22,2015-05-30,09:15,2015-05-30,18:00,Almås. Elsa. Benestad. Esben Esther Pirelli. Pristed. Rikke,CG-x Amsterdam
SEX403-G uke 22,2015-05-31,09:15,2015-05-31,18:00,Almås. Elsa. Benestad. Esben Esther Pirelli. Pristed. Rikke,CG-x Amsterdam
