Subject,Start Date,Start Time,End Date,End Time,Description,Location
.JU-205/JU-301 for,2015-01-06,10:15,2015-01-06,13:00,Abusland Terje,CK H1 058 aud
.JU-205/JU-301 gr,2015-01-06,13:15,2015-01-06,15:00,Abusland Terje,CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
.SO-202-1 uke 02 for TA,2015-01-08,08:15,2015-01-08,11:00,,CK B3 001 aud
.SO-202-1 uke 02 gr TA,2015-01-08,11:15,2015-01-08,13:00,,CK 51 101. CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g
.JU-205/JU-301 for,2015-01-13,10:15,2015-01-13,13:00,Abusland Terje,CK H1 058 aud
.JU-205/JU-301 gr,2015-01-13,13:15,2015-01-13,15:00,Abusland Terje,CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
.SO-202-1 uke 03 for,2015-01-15,08:15,2015-01-15,11:00,,CK B3 001 aud
.SO-202-1 uke 03 gr,2015-01-15,11:15,2015-01-15,13:00,Ask Torunn,CK 51 101. CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g
.SO-202-1 16.01 prakisseminar SO-300 M F Kvammen,2015-01-16,08:15,2015-01-16,16:00,Kvammen Mette F,CK B2 003 aud
.JU-205/JU-301 for,2015-01-20,10:15,2015-01-20,13:00,Abusland Terje,CK H1 058 aud
.JU-205/JU-301 gr,2015-01-20,13:15,2015-01-20,15:00,Abusland Terje,CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
.SO-202-1 uke 04 for,2015-01-22,08:15,2015-01-22,11:00,,CK B3 001 aud
.SO-202-1 uke 04 gr,2015-01-22,11:15,2015-01-22,13:00,Ask Torunn,CK 51 101. CK 51 102. CK 51 103. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038
.JU-205/JU-301 for,2015-01-27,10:15,2015-01-27,13:00,Abusland Terje,CK H1 058 aud
.JU-205/JU-301 gr,2015-01-27,13:15,2015-01-27,15:00,Abusland Terje,CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
.SO-202-1 uke 05 for,2015-01-29,08:15,2015-01-29,11:00,,CK B3 001 aud
.SO-202-1 uke 05 gr,2015-01-29,11:15,2015-01-29,13:00,Ask Torunn,CK 51 101. CK 51 102. CK 51 103. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038
.JU-205/JU-301 for,2015-02-03,10:15,2015-02-03,13:00,Abusland Terje,CK H1 058 aud
.JU-205/JU-301 gr,2015-02-03,13:15,2015-02-03,15:00,Abusland Terje,CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
.SO-202-1 uke 06 for,2015-02-05,08:15,2015-02-05,10:00,,CK B3 001 aud
.SO-202-1 uke 06 gr,2015-02-05,10:15,2015-02-05,12:00,Ask Torunn,CK 51 101. CK 51 102. CK 51 103. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038
