Subject,Start Date,Start Time,End Date,End Time,Description,Location
-HI-113 man,2015-01-05,13:15,2015-01-05,16:00,Dørum Knut, Sætra Gustav Grunde,CK B1 006 aud
-HI-113 ons,2015-01-07,11:15,2015-01-07,14:00,Dørum Knut, Sætra Gustav Grunde,CK B1 006 aud
-HI-116 for,2015-01-08,10:15,2015-01-08,12:00,Abrahamsen Olav Arild, Leer-Salvesen Paul, Mustad Jan Erik, Aase Andreas,CK 46 118 aula
-HI-116 for,2015-01-08,14:15,2015-01-08,16:00,Abrahamsen Olav Arild, Leer-Salvesen Paul, Mustad Jan Erik, Aase Andreas,CK 46 118 aula
-HI-113 fre,2015-01-09,10:15,2015-01-09,13:00,Dørum Knut, Sætra Gustav Grunde,CK B1 006 aud
-HI-113 man,2015-01-12,13:15,2015-01-12,16:00,Dørum Knut, Sætra Gustav Grunde,CK B1 006 aud
-HI-113 ons,2015-01-14,11:15,2015-01-14,14:00,Dørum Knut, Sætra Gustav Grunde,CK B1 006 aud
-HI-116 for,2015-01-15,10:15,2015-01-15,12:00,Abrahamsen Olav Arild, Leer-Salvesen Paul, Mustad Jan Erik, Aase Andreas,CK 46 118 aula
-HI-116 for,2015-01-15,14:15,2015-01-15,16:00,Abrahamsen Olav Arild, Leer-Salvesen Paul, Mustad Jan Erik, Aase Andreas,CK 46 118 aula
-HI-113 fre,2015-01-16,10:15,2015-01-16,13:00,Dørum Knut, Sætra Gustav Grunde,CK B1 006 aud
-HI-113 man,2015-01-19,13:15,2015-01-19,16:00,Dørum Knut, Sætra Gustav Grunde,CK B1 006 aud
-HI-113 ons,2015-01-21,11:15,2015-01-21,14:00,Dørum Knut, Sætra Gustav Grunde,CK B1 006 aud
-HI-116 for,2015-01-22,14:15,2015-01-22,16:00,Abrahamsen Olav Arild, Leer-Salvesen Paul, Mustad Jan Erik, Aase Andreas,CK 46 118 aula
-HI-113 fre,2015-01-23,10:15,2015-01-23,13:00,Dørum Knut, Sætra Gustav Grunde,CK B1 006 aud
-HI-113 man,2015-01-26,13:15,2015-01-26,16:00,Dørum Knut, Sætra Gustav Grunde,CK B1 006 aud
-HI-113 ons,2015-01-28,11:15,2015-01-28,14:00,Dørum Knut, Sætra Gustav Grunde,CK B1 006 aud
-HI-116 for,2015-01-29,10:15,2015-01-29,12:00,Abrahamsen Olav Arild, Leer-Salvesen Paul, Mustad Jan Erik, Aase Andreas,CK 46 118 aula
-HI-116 for,2015-01-29,14:15,2015-01-29,16:00,Abrahamsen Olav Arild, Leer-Salvesen Paul, Mustad Jan Erik, Aase Andreas,CK 46 118 aula
-HI-113 fre,2015-01-30,10:15,2015-01-30,13:00,Dørum Knut, Sætra Gustav Grunde,CK B1 006 aud
-HI-113 man,2015-02-02,13:15,2015-02-02,16:00,Dørum Knut, Sætra Gustav Grunde,CK B1 006 aud
-HI-113 ons,2015-02-04,11:15,2015-02-04,14:00,Dørum Knut, Sætra Gustav Grunde,CK B1 006 aud
-HI-116 for,2015-02-05,10:15,2015-02-05,12:00,Abrahamsen Olav Arild, Leer-Salvesen Paul, Mustad Jan Erik, Aase Andreas,CK 46 118 aula
-HI-116 for,2015-02-05,14:15,2015-02-05,16:00,Abrahamsen Olav Arild, Leer-Salvesen Paul, Mustad Jan Erik, Aase Andreas,CK 46 118 aula
-HI-113 fre,2015-02-06,10:15,2015-02-06,13:00,Dørum Knut, Sætra Gustav Grunde,CK B1 006 aud
-HI-113 man,2015-02-23,13:15,2015-02-23,16:00,Dørum Knut, Sætra Gustav Grunde,CK B1 006 aud
-HI-113 ons,2015-02-25,11:15,2015-02-25,14:00,Dørum Knut, Sætra Gustav Grunde,CK B1 006 aud
-HI-116 for,2015-02-26,10:15,2015-02-26,12:00,Abrahamsen Olav Arild, Leer-Salvesen Paul, Mustad Jan Erik, Aase Andreas,CK 46 118 aula
-HI-116 for,2015-02-26,14:15,2015-02-26,16:00,Abrahamsen Olav Arild, Leer-Salvesen Paul, Mustad Jan Erik, Aase Andreas,CK 46 118 aula
