Subject,Start Date,Start Time,End Date,End Time,Description,Location
.JU-301/JU-205 for ,2015-01-06,10:15,2015-01-06,13:00,Abusland Terje,CK H1 058 aud
.JU-301/JU-205 gr ,2015-01-06,13:15,2015-01-06,15:00,Abusland Terje,CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
.JU-301/JU-205 for ,2015-01-13,10:15,2015-01-13,13:00,Abusland Terje,CK H1 058 aud
.JU-301/JU-205 gr ,2015-01-13,13:15,2015-01-13,15:00,Abusland Terje,CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
.JU-301/JU-205 for ,2015-01-20,10:15,2015-01-20,13:00,Abusland Terje,CK H1 058 aud
.JU-301/JU-205 gr ,2015-01-20,13:15,2015-01-20,15:00,Abusland Terje,CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
.JU-301/JU-205 for ,2015-01-27,10:15,2015-01-27,13:00,Abusland Terje,CK H1 058 aud
.JU-301/JU-205 gr ,2015-01-27,13:15,2015-01-27,15:00,Abusland Terje,CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
.JU-301/JU-205 for ,2015-02-03,10:15,2015-02-03,13:00,Abusland Terje,CK H1 058 aud
.JU-301/JU-205 gr ,2015-02-03,13:15,2015-02-03,15:00,Abusland Terje,CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
.JU-301/JU-205 for ,2015-02-10,10:15,2015-02-10,13:00,Abusland Terje,CK H1 058 aud
.JU-301/JU-205 gr ,2015-02-10,13:15,2015-02-10,15:00,Abusland Terje,CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
.JU-301/JU-205 for ,2015-02-17,10:15,2015-02-17,13:00,Abusland Terje,CK H1 058 aud
.JU-301/JU-205 gr ,2015-02-17,13:15,2015-02-17,15:00,Abusland Terje,CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
.JU-301/JU-205 for ,2015-02-24,10:15,2015-02-24,13:00,Abusland Terje,CK H1 058 aud
.JU-301/JU-205 gr ,2015-02-24,13:15,2015-02-24,15:00,Abusland Terje,CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
.JU-301/JU-205 for ,2015-03-03,10:15,2015-03-03,13:00,Abusland Terje,CK H1 058 aud
.JU-301/JU-205 gr ,2015-03-03,13:15,2015-03-03,15:00,Abusland Terje,CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
.JU-301/JU-205 for uke 11  ,2015-03-10,10:15,2015-03-10,13:00,Abusland Terje,CK I1 066 aud
.JU-301/JU-205 gr ,2015-03-10,13:15,2015-03-10,15:00,Abusland Terje,CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
.JU-301/JU-205 for ,2015-03-17,10:15,2015-03-17,13:00,Abusland Terje,CK H1 058 aud
.JU-301/JU-205 gr ,2015-03-17,13:15,2015-03-17,15:00,Abusland Terje,CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
.JU-301/JU-205 for ,2015-03-24,10:15,2015-03-24,13:00,Abusland Terje,CK H1 058 aud
.JU-301/JU-205 gr ,2015-03-24,13:15,2015-03-24,15:00,Abusland Terje,CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
.JU-301/JU-205 for ,2015-04-07,10:15,2015-04-07,13:00,Abusland Terje,CK H1 058 aud
.JU-301/JU-205 gr ,2015-04-07,13:15,2015-04-07,15:00,Abusland Terje,CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
.JU-301/JU-205 for ,2015-04-14,10:15,2015-04-14,13:00,Abusland Terje,CK H1 058 aud
.JU-301/JU-205 gr ,2015-04-14,13:15,2015-04-14,15:00,Abusland Terje,CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
.JU-301/JU-205 for ,2015-04-21,10:15,2015-04-21,13:00,Abusland Terje,CK H1 058 aud
.JU-301/JU-205 gr ,2015-04-21,13:15,2015-04-21,15:00,Abusland Terje,CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
.JU-301/JU-205 for ,2015-04-28,10:15,2015-04-28,13:00,Abusland Terje,CK H1 058 aud
.JU-301/JU-205 gr ,2015-04-28,13:15,2015-04-28,15:00,Abusland Terje,CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
.JU-301/JU-205 for ,2015-05-05,10:15,2015-05-05,13:00,Abusland Terje,CK H1 058 aud
.JU-301/JU-205 gr ,2015-05-05,13:15,2015-05-05,15:00,Abusland Terje,CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
