Subject,Start Date,Start Time,End Date,End Time,Description,Location
.SV-200-2 for 1 tirs (2t),2015-01-06,08:15,2015-01-06,10:00,Knudsen Jon Paschen. Pløger John,CK H1 058 aud
.SV-200-2 gr tirs (2t),2015-01-06,10:15,2015-01-06,12:00,Knudsen Jon Paschen. Pløger John,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.JU-301/JU-205 for ,2015-01-06,10:15,2015-01-06,13:00,Abusland Terje,CK H1 058 aud
.SV-200-2 for 2 tirs (1t),2015-01-06,13:15,2015-01-06,14:00,Knudsen Jon Paschen. Pløger John,CK H1 058 aud
.JU-301/JU-205 gr ,2015-01-06,13:15,2015-01-06,15:00,Abusland Terje,CK 51 102. CK 51 103. CK 51 122a. CK 51 122b. CK 51 122d. CK 51 122c. CK 51 122e. CK 51 122f. CK 51 122g. CK HK 032. CK HK 033. CK HK 034. CK HK 038. CK HK 039. CK HK 041
.JU-200-1 for,2015-01-06,15:15,2015-01-06,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.SE-100/SE-110 for ,2015-01-07,09:15,2015-01-07,12:00,Jacobsen Gorm,CK B3 007 aud 
.SE-100/SE-110 gr,2015-01-07,12:15,2015-01-07,14:00,Jacobsen Gorm,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.SV-200-2 for 1 fre (2t),2015-01-09,08:15,2015-01-09,10:00,Knudsen Jon Paschen. Pløger John,CK H1 058 aud
.SV-200-2 gr fre (2t),2015-01-09,10:15,2015-01-09,12:00,Knudsen Jon Paschen. Pløger John,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.SV-200-2 for 2 fre (1t),2015-01-09,12:15,2015-01-09,13:00,Knudsen Jon Paschen. Pløger John,CK H1 058 aud
.SV-200-2 for 1 tirs (2t),2015-01-13,08:15,2015-01-13,10:00,Knudsen Jon Paschen. Pløger John,CK H1 058 aud
.SV-200-2 gr tirs (2t),2015-01-13,10:15,2015-01-13,12:00,Knudsen Jon Paschen. Pløger John,CK 47 101. CK 47 116. CK 47 102. CK 47 103. CK 47 104. CK 47 105. CK 47 107. CK 47 108. CK 47 109. CK 47 110. CK 47 117. CK 47 120. CK 47 121. CK 47 122
.JU-301/JU-205 for ,2015-01-13,10:15,2015-01-13,13:00,Abusland Terje,CK H1 058 aud
.SV-200-2 for 2 tirs (1t),2015-01-13,13:15,2015-01-13,14:00,Knudsen Jon Paschen. Pløger John,CK H1 058 aud
