Subject,Start Date,Start Time,End Date,End Time,Description,Location
.ORG411-1 for del 1,2015-01-05,09:15,2015-01-05,11:00,Jacobsen Dag Ingvar,CK HU 062 sem
.ORG411-1 for del 2,2015-01-05,12:15,2015-01-05,14:00,Jacobsen Dag Ingvar,CK HU 062 sem
.ST-418-1 for/gr,2015-01-06,09:15,2015-01-06,15:00,Gänzle Stefan,CK HU 023 sem
.ME-400-1 for,2015-01-07,09:15,2015-01-07,12:00,Haslerud Gjermund,CK HU 062 sem
.ME-400-1 lab,2015-01-07,12:15,2015-01-07,14:00,Haslerud Gjermund,CK D3 017 pclab
.ORG411-1 for del 1,2015-01-12,09:15,2015-01-12,11:00,Jacobsen Dag Ingvar,CK HU 062 sem
.ORG411-1 for del 2,2015-01-12,12:15,2015-01-12,14:00,Jacobsen Dag Ingvar,CK HU 062 sem
.ST-418-1 for/gr,2015-01-13,09:15,2015-01-13,15:00,Gänzle Stefan,CK HU 023 sem
.ME-400-1 for,2015-01-14,09:15,2015-01-14,12:00,Haslerud Gjermund,CK HU 062 sem
.ME-400-1 lab,2015-01-14,12:15,2015-01-14,14:00,Haslerud Gjermund,CK D3 017 pclab
.ST-423-1 for 15.01,2015-01-15,09:15,2015-01-15,15:00,Hernes Helge, Åsen Gunnar Oland,CK HU 062 sem
.ORG411-1 for del 1,2015-01-19,09:15,2015-01-19,11:00,Jacobsen Dag Ingvar,CK HU 062 sem
.ORG411-1 for del 2,2015-01-19,12:15,2015-01-19,14:00,Jacobsen Dag Ingvar,CK HU 062 sem
.ST-418-1 for/gr,2015-01-20,09:15,2015-01-20,15:00,Gänzle Stefan,CK HU 023 sem
.ME-400-1 for,2015-01-21,09:15,2015-01-21,12:00,Haslerud Gjermund,CK HU 062 sem
.ME-400-1 lab,2015-01-21,12:15,2015-01-21,14:00,Haslerud Gjermund,CK D3 017 pclab
.ST-423-1 for 22.01,2015-01-22,11:15,2015-01-22,12:00,Hernes Helge, Åsen Gunnar Oland,CK HU 062 sem
.ORG411-1 for del 1,2015-01-26,09:15,2015-01-26,11:00,Jacobsen Dag Ingvar,CK HU 062 sem
.ORG411-1 for del 2,2015-01-26,12:15,2015-01-26,14:00,Jacobsen Dag Ingvar,CK HU 062 sem
.ST-418-1 for/gr uke 5,7,13,2015-01-27,09:15,2015-01-27,15:00,Gänzle Stefan,CK 48 002 sem
.ME-400-1 for,2015-01-28,09:15,2015-01-28,12:00,Haslerud Gjermund,CK HU 062 sem
.ME-400-1 lab,2015-01-28,12:15,2015-01-28,14:00,Haslerud Gjermund,CK D3 017 pclab
.ST-423-1 for 29.01,2015-01-29,11:15,2015-01-29,12:00,Hernes Helge, Åsen Gunnar Oland,CK HU 062 sem
.ORG411-1 for del 1,2015-02-02,09:15,2015-02-02,11:00,Jacobsen Dag Ingvar,CK HU 062 sem
.ORG411-1 for del 2,2015-02-02,12:15,2015-02-02,14:00,Jacobsen Dag Ingvar,CK HU 062 sem
.ST-418-1 for/gr,2015-02-03,09:15,2015-02-03,15:00,Gänzle Stefan,CK HU 023 sem
.ME-400-1 for,2015-02-04,09:15,2015-02-04,12:00,Haslerud Gjermund,CK HU 062 sem
.ME-400-1 lab,2015-02-04,12:15,2015-02-04,14:00,Haslerud Gjermund,CK D3 017 pclab
.ST-423-1 for 05.02,2015-02-05,11:15,2015-02-05,12:00,Hernes Helge, Åsen Gunnar Oland,CK HU 062 sem
.ORG411-1 for del 1,2015-02-09,09:15,2015-02-09,11:00,Jacobsen Dag Ingvar,CK HU 062 sem
.ORG411-1 for del 2,2015-02-09,12:15,2015-02-09,14:00,Jacobsen Dag Ingvar,CK HU 062 sem
.ST-418-1 for/gr uke 5,7,13,2015-02-10,09:15,2015-02-10,15:00,Gänzle Stefan,CK 48 002 sem
.ME-400-1 for,2015-02-11,09:15,2015-02-11,12:00,Haslerud Gjermund,CK HU 062 sem
.ME-400-1 lab,2015-02-11,12:15,2015-02-11,14:00,Haslerud Gjermund,CK D3 017 pclab
.ORG411-1 for del 1,2015-02-16,09:15,2015-02-16,11:00,Jacobsen Dag Ingvar,CK HU 062 sem
.ORG411-1 for del 2,2015-02-16,12:15,2015-02-16,14:00,Jacobsen Dag Ingvar,CK HU 062 sem
.ST-418-1 for/gr,2015-02-17,09:15,2015-02-17,15:00,Gänzle Stefan,CK HU 023 sem
.ME-400-1 for,2015-02-18,09:15,2015-02-18,12:00,Haslerud Gjermund,CK HU 062 sem
.ME-400-1 lab,2015-02-18,12:15,2015-02-18,14:00,Haslerud Gjermund,CK D3 017 pclab
.ST-423-1 for 19.02,2015-02-19,09:15,2015-02-19,15:00,Hernes Helge, Åsen Gunnar Oland,CK HU 062 sem
.ORG411-1 for del 1,2015-02-23,09:15,2015-02-23,11:00,Jacobsen Dag Ingvar,CK HU 062 sem
.ORG411-1 for del 2,2015-02-23,12:15,2015-02-23,14:00,Jacobsen Dag Ingvar,CK HU 062 sem
.ST-418-1 for/gr,2015-02-24,09:15,2015-02-24,15:00,Gänzle Stefan,CK HU 023 sem
.ME-400-1 for,2015-02-25,09:15,2015-02-25,12:00,Haslerud Gjermund,CK HU 062 sem
.ME-400-1 lab,2015-02-25,12:15,2015-02-25,14:00,Haslerud Gjermund,CK D3 017 pclab
.ME-400-1 for,2015-03-04,09:15,2015-03-04,12:00,Haslerud Gjermund,CK HU 062 sem
.ME-400-1 lab,2015-03-04,12:15,2015-03-04,14:00,Haslerud Gjermund,CK D3 017 pclab
.ORG445-1 for,2015-03-16,09:15,2015-03-16,15:00,Pinheiro Romulo Miguel,CK HU 062 sem
.ST-418-1 for/gr,2015-03-17,09:15,2015-03-17,15:00,Gänzle Stefan,CK HU 023 sem
.ORG445-1 for,2015-03-23,09:15,2015-03-23,15:00,Pinheiro Romulo Miguel,CK HU 062 sem
.ST-418-1 for/gr uke 5,7,13,2015-03-24,09:15,2015-03-24,15:00,Gänzle Stefan,CK 48 002 sem
