Subject,Start Date,Start Time,End Date,End Time,Description,Location
"SY-111-G 02.03",2015-03-02,10:15,2015-03-02,13:00,"Terkelsen, Toril ","CG A2 135 aud"
"SY-110-G 02.03",2015-03-02,13:15,2015-03-02,15:00,"Sævareid, Hans Inge ","CG A2 135 aud"
"NV-111-G 03.03",2015-03-03,09:15,2015-03-03,12:00,"Leland Arne","CG A2 135 aud"
"NV-111-G 03.03 grom",2015-03-03,12:15,2015-03-03,14:00,"","CG A2 020, CG A2 026, CG A2 045, CG A2 142, CG A2 144, CG A3 026, CG A3 099, CG C3 070 nat.vit, CG C3 081, CG C3 091, CG C3 101"
"SY-111-G 03.03",2015-03-03,14:15,2015-03-03,16:00,"","CG A2 135 aud"
"SY-110-G 04.03 grom",2015-03-04,08:15,2015-03-04,12:00,"","CG A2 020, CG A2 026, CG A2 045, CG A2 142, CG A2 144, CG A3 026, CG A3 099, CG C3 070 nat.vit, CG C3 081, CG C3 091, CG C3 101"
"NV-111-G 05.03",2015-03-05,08:15,2015-03-05,10:00,"Leland Arne","CG A2 135 aud"
"NV-111-G 05.03 grom",2015-03-05,10:15,2015-03-05,12:00,"","CG A2 020, CG A2 026, CG A2 045, CG A2 142, CG A2 144, CG A3 026, CG A3 099, CG C3 070 nat.vit, CG C3 081, CG C3 091, CG C3 101"
"SY-111-G 05.03",2015-03-05,12:15,2015-03-05,15:00,"Terkelsen Toril","CG A2 135 aud"
"SY-110-G 09.03",2015-03-09,09:15,2015-03-09,11:00,"Fensli, Marthe ","CG A2 135 aud"
"SY-110-G 09.03",2015-03-09,11:15,2015-03-09,12:00,"Hansen, Linda Iren M.","CG A2 135 aud"
"SY-111-G 09.03",2015-03-09,12:15,2015-03-09,15:00,"Terkelsen Toril","CG A2 135 aud"
"NV-111-G 10.03",2015-03-10,09:15,2015-03-10,12:00,"Leland Arne","CG A2 135 aud"
"NV-111-G 10.03 grom",2015-03-10,12:15,2015-03-10,14:00,"","CG A2 020, CG A2 026, CG A2 045, CG A2 142, CG A2 144, CG A3 026, CG A3 099, CG C3 070 nat.vit, CG C3 081, CG C3 091, CG C3 101"
"SY-111-G 11.03",2015-03-11,08:15,2015-03-11,12:00,"Sævareid, Hans Inge ","CG A2 135 aud"
"SY-111-G 12.03",2015-03-12,08:15,2015-03-12,11:00,"Terkelsen Toril","CG A2 135 aud"
"SY-110-G 12.03 grom",2015-03-12,11:15,2015-03-12,15:00,"","CG A2 020, CG A2 026, CG A2 045, CG A2 142, CG A2 144, CG A3 026, CG A3 099, CG C3 070 nat.vit, CG C3 081, CG C3 091, CG C3 101"
"NV-111-G 16.03 gruppe D",2015-03-16,09:15,2015-03-16,11:00,"Ekra Else Marie R., Leland, Arne ","CG C3 024 klinikk, CG C3 070 nat.vit, CG C3 071 nat.vit, CG C3 072 aud"
"NV-111-G 16.03 gruppe C",2015-03-16,11:15,2015-03-16,13:00,"Ekra Else Marie R., Leland, Arne ","CG C3 024 klinikk, CG C3 070 nat.vit, CG C3 071 nat.vit, CG C3 072 aud"
"NV-111-G 17.03 gruppe B",2015-03-17,09:15,2015-03-17,11:00,"Ekra Else Marie R., Leland, Arne ","CG C3 024 klinikk, CG C3 070 nat.vit, CG C3 071 nat.vit, CG C3 072 aud"
"NV-111-G 17.03 gruppe A",2015-03-17,11:15,2015-03-17,13:00,"Ekra Else Marie R., Leland, Arne ","CG C3 024 klinikk, CG C3 070 nat.vit, CG C3 071 nat.vit, CG C3 072 aud"
"SY-110-G 17.03",2015-03-17,13:15,2015-03-17,15:00,"Sævareid, Hans Inge ","CG A2 135 aud"
"SY-110-G 18.03 grom",2015-03-18,08:15,2015-03-18,12:00,"","CG A2 020, CG A2 026, CG A2 045, CG A2 142, CG A2 144, CG A3 026, CG A3 099, CG C3 070 nat.vit, CG C3 081, CG C3 091, CG C3 101"
"SY-111-G 18.03",2015-03-18,12:15,2015-03-18,16:00,"","CG A2 135 aud"
"NV-111-G 23.03",2015-03-23,09:15,2015-03-23,11:00,"Leland Arne","CG A2 135 aud"
"SY-111-G 23.03",2015-03-23,11:15,2015-03-23,13:00,"Terkelsen Toril","CG A2 135 aud"
"SY-111-G 24.03",2015-03-24,09:15,2015-03-24,13:00,"Bergkåsa, Anne Mari ","CG A2 135 aud"
"SY-111-G 25.03",2015-03-25,12:15,2015-03-25,16:00,"Liverød, Sondre","CG x FOU-aud"
"SY-110-G 08.04 grom",2015-04-08,08:15,2015-04-08,12:00,"","CG A2 020, CG A2 026, CG A2 045, CG A2 142, CG A2 144, CG A3 026, CG A3 099, CG C3 070 nat.vit, CG C3 081, CG C3 091, CG C3 101"
"SY-111-G 08.04",2015-04-08,12:15,2015-04-08,16:00,"Liverød, Sondre","CG A2 135 aud"
"SY-111-G 09.04",2015-04-09,09:15,2015-04-09,13:00,"Bergkåsa, Anne Mari ","CG A2 135 aud"
"SY-111-G 13.04",2015-04-13,09:15,2015-04-13,11:00,"Farstad, Anne Lise","CG A2 135 aud"
"SY-111-G 13.04",2015-04-13,11:15,2015-04-13,13:00,"Nilsen, Arild","CG A2 135 aud"
"SY-111-G 13.04",2015-04-13,13:15,2015-04-13,16:00,"Hansen, Linda Iren M.","CG A2 135 aud"
"SY-111-G 14.04",2015-04-14,09:15,2015-04-14,12:00,"Nilsen, Arild","CG A2 135 aud"
"SY-111-G 14.04",2015-04-14,12:15,2015-04-14,14:00,"Skaar, Ragnhild","CG A2 135 aud"
"SY-111-G 15.04",2015-04-15,08:15,2015-04-15,12:00,"Bergkåsa, Anne Mari ","CG A2 135 aud"
"SY-111-G 15.04",2015-04-15,12:15,2015-04-15,15:00,"Hansen, Linda Iren M.","CG A2 135 aud"
"SY-111-G 16.04",2015-04-16,09:15,2015-04-16,11:00,"Farstad, Anne Lise","CG A2 135 aud"
