Subject,Start Date,Start Time,End Date,End Time,Description,Location
".SYPL 1. år 15/01/06 SY-111 AMB",2015-01-06,10:15,2015-01-06,13:00,"","CK B1 007 aud"
".SYPL 1. år 15/01/07 SY-111 MS",2015-01-07,09:15,2015-01-07,11:00,"","CK B1 007 aud"
".SYPL 1. år 15/01/07 SY-111 SL",2015-01-07,12:15,2015-01-07,16:00,"","CK B1 007 aud"
".SYPL 1. år 15/01/08 NV-111 JNT",2015-01-08,08:15,2015-01-08,11:00,"","CK B1 007 aud"
".SYPL 1. år 15/01/08 NV-111 (14 store gr)",2015-01-08,11:15,2015-01-08,13:00,"","CK IK 023, CK IK 028, CK IU 057, CK IU 059, CK I1 054, CK I1 056, CK I1 058, CK 50 137a, CK 50 137b, CK 50 148, CK 50 149, CK 50 150, CK 47 124 sem, CK IU 054"
".SYPL 1. år 15/01/12 SY-111 MS",2015-01-12,10:15,2015-01-12,13:00,"","CK B1 007 aud"
".SYPL 1. år 15/01/12 SY-111 EDG",2015-01-12,13:15,2015-01-12,14:00,"","CK B1 007 aud"
".SYPL 1. år 15/01/13 SY-111 ALF",2015-01-13,08:15,2015-01-13,10:00,"","CK B1 007 aud"
".SYPL 1. år 15/01/13 SY-111 ----",2015-01-13,10:15,2015-01-13,11:00,"","CK B1 007 aud"
".SYPL 1. år 15/01/13 SY-111 MS",2015-01-13,11:15,2015-01-13,14:00,"","CK B1 007 aud"
".SYPL 1. år 15/01/14 SY-110 ---",2015-01-14,08:15,2015-01-14,10:00,"","CK B1 007 aud"
".SYPL 1. år 15/01/14 SY-110 Gr C & D (7 store gr)",2015-01-14,10:15,2015-01-14,12:00,"","CK IK 023, CK IU 057, CK IU 059, CK I1 054, CK I1 056, CK I1 058, CK IU 054"
".SYPL 1. år 15/01/14 SY-110 Gr A & B (7 store gr)",2015-01-14,12:15,2015-01-14,14:00,"","CK IK 023, CK IU 057, CK IU 059, CK I1 054, CK I1 056, CK I1 058, CK IU 054"
".SYPL 1. år 15/01/15 SY-111 ALF",2015-01-15,08:15,2015-01-15,10:00,"","CK B1 007 aud"
".SYPL 1. år 15/01/15 SY-111 BJ",2015-01-15,10:15,2015-01-15,12:00,"","CK B1 007 aud"
".SYPL 1. år 15/01/19 SY-111 MS",2015-01-19,10:15,2015-01-19,13:00,"","CK B1 007 aud"
".SYPL 1. år 15/01/20 SY-111 AMB",2015-01-20,08:15,2015-01-20,11:00,"","CK B1 007 aud"
".SYPL 1. år 15/01/21 SY-111 AMB",2015-01-21,08:15,2015-01-21,11:00,"","CK B1 007 aud"
".SYPL 1. år 15/01/21 SY-111 SL",2015-01-21,12:15,2015-01-21,16:00,"","CK B1 007 aud"
".SYPL 1. år 15/01/22 SY-111 JNT",2015-01-22,08:15,2015-01-22,11:00,"","CK B1 007 aud"
".SYPL 1. år 15/01/22 SY-111 (14 store gr)",2015-01-22,11:15,2015-01-22,13:00,"","CK IK 023, CK IK 028, CK IU 057, CK IU 059, CK I1 054, CK I1 056, CK I1 058, CK 51 122a, CK 51 122b, CK 51 122d, CK 51 122c, CK D3 026, CK D3 032, CK IU 054"
".SYPL 1. år 15/01/26 SY-111 MS",2015-01-26,10:15,2015-01-26,12:00,"","CK B1 007 aud"
".SYPL 1. år 15/01/27 SY-111 AMH",2015-01-27,09:15,2015-01-27,12:00,"","CK B1 007 aud"
".SYPL 1. år 15/01/28 SY-110 AMH",2015-01-28,08:15,2015-01-28,10:00,"","CK B1 007 aud"
".SYPL 1. år 15/01/28 SY-110 Gr. A & B (7 store gr)",2015-01-28,10:15,2015-01-28,12:00,"","CK IK 023, CK IU 057, CK IU 059, CK I1 054, CK I1 056, CK I1 058, CK IU 054"
".SYPL 1. år 15/01/28 SY-110 Gr. C & D (7 store gr)",2015-01-28,12:15,2015-01-28,14:00,"","CK IK 023, CK IU 057, CK IU 059, CK I1 054, CK I1 056, CK I1 058, CK IU 054"
".SYPL 1. år 15/01/29 SY-111 AMH",2015-01-29,09:15,2015-01-29,12:00,"","CK B1 007 aud"
".SYPL 1. år 15/02/02 SY-111 AMB",2015-02-02,12:15,2015-02-02,15:00,"","CK B1 007 aud"
".SYPL 1. år 15/02/03 SY-111 AN",2015-02-03,08:15,2015-02-03,11:00,"","CK B1 007 aud"
".SYPL 1. år 15/02/03 SY-111 JJS",2015-02-03,12:15,2015-02-03,14:00,"","CK B1 007 aud"
".SYPL 1. år 15/02/04 SY-111 RS",2015-02-04,09:15,2015-02-04,12:00,"","CK B1 007 aud"
".SYPL 1. år 15/02/04 SY-111 JJS",2015-02-04,12:15,2015-02-04,14:00,"","CK B1 007 aud"
".SYPL 1. år 15/02/05 SY-111 JNT",2015-02-05,08:15,2015-02-05,10:00,"","CK B1 007 aud"
".SYPL 1. år 15/02/05 SY-111 (14 store gr)",2015-02-05,10:15,2015-02-05,12:00,"","CK IK 023, CK IK 028, CK IU 057, CK IU 059, CK I1 054, CK I1 056, CK I1 058, CK 51 122a, CK 51 122b, CK 51 122d, CK 51 122c, CK D3 026, CK D3 032, CK IU 054"
".SYPL 1. år 15/02/09 SY-111 RS",2015-02-09,09:15,2015-02-09,11:00,"","CK B1 007 aud"
".SYPL 1. år 15/02/09 SY-111 SL",2015-02-09,12:15,2015-02-09,16:00,"","CK B1 007 aud"
".SYPL 1. år 15/02/10 SY-111 BJ",2015-02-10,10:15,2015-02-10,14:00,"","CK B1 007 aud"
".SYPL 1. år 15/02/12 SY-111 AN",2015-02-12,10:15,2015-02-12,12:00,"","CK B1 007 aud"
".SYPL 1. år 15/02/16 NV-111 Øv.med.regn. Gr D",2015-02-16,09:15,2015-02-16,11:00,"","CK x I1 000 Øvingsavdeling-"
".SYPL 1. år 15/02/16 NV-111 Øv.med.regn. Gr C",2015-02-16,12:15,2015-02-16,14:00,"","CK x I1 000 Øvingsavdeling-"
".SYPL 1. år 15/02/17 NV-111 Øv.med.regn. Gr A",2015-02-17,09:15,2015-02-17,11:00,"","CK x I1 000 Øvingsavdeling-"
".SYPL 1. år 15/02/17 NV-111 Øv.med.regn. Gr B",2015-02-17,12:15,2015-02-17,14:00,"","CK x I1 000 Øvingsavdeling-"
".SYPL 1. år 15/02/18 SY-110 AN",2015-02-18,08:15,2015-02-18,10:00,"","CK B1 007 aud"
".SYPL 1. år 15/02/18 SY-110 Gr. C & D (7 store gr)",2015-02-18,10:15,2015-02-18,12:00,"","CK IK 023, CK IU 057, CK IU 059, CK I1 054, CK I1 056, CK I1 058, CK IU 054"
".SYPL 1. år 15/02/18 SY-110 Gr. A & B (l7 store gr)",2015-02-18,12:15,2015-02-18,14:00,"","CK IK 023, CK IU 057, CK IU 059, CK I1 054, CK I1 056, CK I1 058, CK IU 054"
".SYPL 1. år 15/02/19 NV-111 Med.regn. JNT",2015-02-19,08:15,2015-02-19,10:00,"","CK B1 007 aud, CK x I1 000 Øvingsavdeling-"
".SYPL 1. år 15/02/19 Klassens time",2015-02-19,10:15,2015-02-19,11:00,"","CK B1 007 aud"
".SYPL 1. år 15/02/20 SY-110 Gr. D3 1015-1200 ",2015-02-20,10:15,2015-02-20,12:00,"","CK I1 054"
".SYPL 1. år 15/02/20 SY-110 Gr. A1 1215-1400",2015-02-20,12:15,2015-02-20,14:00,"","CK I1 054"
".SYPL 1. år 15/02/24 SY-110 GV",2015-02-24,08:15,2015-02-24,11:00,"","CK B1 007 aud"
".SYPL 1. år 15/02/24 SYP110 Info praksis EDG",2015-02-24,12:15,2015-02-24,13:00,"","CK B1 007 aud"
".SYPL 1. år 15/02/24 SYP110 Møte praksislærere (16 gr)",2015-02-24,13:15,2015-02-24,15:00,"","CK HU 062 sem, CK HU 022 sem, CK H1 022 sem, CK H1 023 sem, CK IK 023, CK IK 028, CK I1 002 sem, CK I1 054, CK 51 134 sem, CK 51 131 sem"
".SYPL 1. år 15/05/06 SY-110 ---",2015-05-06,08:15,2015-05-06,10:00,"","CK B1 007 aud"
".SYPL 1. år 15/05/06 SY-110 Gr. A & B (7 store gr)",2015-05-06,10:15,2015-05-06,12:00,"","CK IK 023, CK IU 057, CK IU 059, CK I1 054, CK I1 056, CK I1 058, CK IU 054"
".SYPL 1. år 15/05/06 SY-110 Gr. C & D (7 store gr)",2015-05-06,12:15,2015-05-06,14:00,"","CK IK 023, CK IU 057, CK IU 059, CK I1 054, CK I1 056, CK I1 058, CK IU 054"
"SYPL 1. år 15/05/06 SY-110 G Vabo",2015-05-06,14:15,2015-05-06,15:00,"","CK B1 007 aud"
".SYPL 1. år 15/05/07 SY-110 Eks.forb. OR",2015-05-07,10:15,2015-05-07,11:00,"","CK B1 007 aud"
".SYPL 1. år 15/05/07 SY-111 Eks.forb. EDG & AMB",2015-05-07,11:15,2015-05-07,12:00,"","CK B1 007 aud"
