Subject,Start Date,Start Time,End Date,End Time,Description,Location
ME-422-G 05.01 (i Grimstad),2015-01-05,09:15,2015-01-05,15:00,Flateland Sylvi M. Söderhamn Ulrika,CG-C3 072 auditorium (70)
.ME-422-G 15/01/06 for (gis i KRS),2015-01-06,09:15,2015-01-06,14:00,,CK 51 134 sem
.ME-422-G 15/01/12 for (gis i KRS),2015-01-12,09:15,2015-01-12,14:00,,CK 51 134 sem
.ME-422-G 15/01/12 gr (gis i KRS),2015-01-12,13:15,2015-01-12,16:00,,CK IK 023. CK IK 028. CK IU 057. CK IU 059. CK I1 054. CK I1 056. CK I1 058. CK 51 101. CK IU 056. CK IU 054
.ME-422-G 15/01/13 gr (gis i KRS),2015-01-13,09:15,2015-01-13,16:00,,CK IK 023. CK IK 028. CK IU 057. CK IU 059. CK I1 054. CK I1 056. CK I1 058. CK 51 101. CK IU 056. CK IU 054
.ME-422-G 15/01/19 for (gis i KRS),2015-01-19,09:15,2015-01-19,14:00,,CK 51 134 sem
.ME-422-G 15/01/19 gr (gis i KRS),2015-01-19,13:15,2015-01-19,16:00,,CK IK 023. CK IK 028. CK IU 057. CK IU 059. CK I1 054. CK I1 056. CK I1 058. CK 51 101. CK IU 056. CK IU 054
.ME-422-G 15/01/20 gr (gis i KRS),2015-01-20,09:15,2015-01-20,16:00,,CK IK 023. CK IK 028. CK IU 057. CK IU 059. CK I1 054. CK I1 056. CK I1 058. CK 51 101. CK IU 056. CK IU 054
ME-422-G 26.01 (i Grimstad),2015-01-26,09:15,2015-01-26,15:00,Flateland Sylvi M. Söderhamn Ulrika,CG-F 204 klasserom (Jon Lilletunsvei 3) 
ME-422-G 26.01 grom (i Grimstad),2015-01-26,12:15,2015-01-26,16:00,Flateland Sylvi M. Söderhamn Ulrika,CG-A2 050. CG-A2 051. CG-A2 052. CG-A2 053. CG-A2 057. CG-A2 058. CG-A3 095. CG-A3 096. CG-A3 097. CG-A3 098
ME-422-G 27.01 grom (i Grimstad),2015-01-27,09:15,2015-01-27,16:00,Flateland Sylvi M. Söderhamn Ulrika,CG-A2 050. CG-A2 051. CG-A2 052. CG-A2 053. CG-A2 057. CG-A2 058. CG-A3 095. CG-A3 096. CG-A3 097. CG-A3 098
ME-422-G 02.02 (i Grimstad),2015-02-02,09:15,2015-02-02,15:00,Flateland Sylvi M. Söderhamn Ulrika,CG-C3 072 auditorium (70)
.ME-422-G 15/02/03 for (gis i KRS),2015-02-03,09:15,2015-02-03,14:00,,CK 51 134 sem
