Subject,Start Date,Start Time,End Date,End Time,Description,Location
"TKS 100-10  S1 6/1",2015-01-06,12:15,2015-01-06,17:00,"","CG A2 085 aud"
"TKS 100-10  S1 7/1",2015-01-07,08:15,2015-01-07,17:00,"","CG A2 085 aud"
"TKS 100-10  S1 8/1",2015-01-08,08:15,2015-01-08,17:00,"","CG A2 085 aud"
"TKS 100-10  S1 9/1",2015-01-09,08:15,2015-01-09,12:00,"","CG A2 085 aud"
"TKS 100-11  S1 13/01",2015-01-13,12:15,2015-01-13,16:00,"","CG A3 027 sem VER"
"TKS 100-11  S1 14/01",2015-01-14,08:15,2015-01-14,16:00,"","CG A3 027 sem VER"
"TKS 100-11  S1 15/01",2015-01-15,08:15,2015-01-15,16:00,"","CG F 203 sem"
"TKS 100-11  S1 16/01",2015-01-16,08:15,2015-01-16,12:00,"","CG F 203 sem"
"TKS 100-12  S1 27/04",2015-04-27,12:15,2015-04-27,17:00,"","CG A2 085 aud"
"TKS 100-12  S1 28/04",2015-04-28,08:15,2015-04-28,17:00,"","CG A2 085 aud"
"TKS 100-12  S1 29/04",2015-04-29,08:15,2015-04-29,17:00,"","CG A2 085 aud"
"TKS 100-12  S1 30/04",2015-04-30,08:15,2015-04-30,12:00,"","CG A2 085 aud"
