Subject,Start Date,Start Time,End Date,End Time,Description,Location
"DR-204 man uke 2-6",2015-01-05,12:15,2015-01-05,16:00,"","CK GU 048 dramasal"
"DR-204 tirs uke 2-6",2015-01-06,08:15,2015-01-06,12:00,"","CK GU 048 dramasal"
"DR-205 ons ",2015-01-07,10:15,2015-01-07,14:00,"","CK G1 051 aud"
"DR-204 tors uke 2-6",2015-01-08,08:15,2015-01-08,12:00,"","CK GU 048 dramasal"
"DR-204 fre uke 2-6",2015-01-09,08:15,2015-01-09,12:00,"","CK GU 048 dramasal"
"DR-204 man uke 2-6",2015-01-12,12:15,2015-01-12,16:00,"","CK GU 048 dramasal"
"DR-204 tirs uke 2-6",2015-01-13,08:15,2015-01-13,12:00,"","CK GU 048 dramasal"
"DR-205 ons ",2015-01-14,10:15,2015-01-14,14:00,"","CK G1 051 aud"
"DR-204 tors uke 2-6",2015-01-15,08:15,2015-01-15,12:00,"","CK GU 048 dramasal"
"DR-204 fre uke 2-6",2015-01-16,08:15,2015-01-16,12:00,"","CK GU 048 dramasal"
"DR-204 man uke 2-6",2015-01-19,12:15,2015-01-19,16:00,"","CK GU 048 dramasal"
"DR-204 tirs uke 2-6",2015-01-20,08:15,2015-01-20,12:00,"","CK GU 048 dramasal"
"DR-205 ons ",2015-01-21,10:15,2015-01-21,14:00,"","CK G1 051 aud"
"DR-204 tors uke 2-6",2015-01-22,08:15,2015-01-22,12:00,"","CK GU 048 dramasal"
"DR-204 fre uke 2-6",2015-01-23,08:15,2015-01-23,12:00,"","CK GU 048 dramasal"
"DR-204 man uke 2-6",2015-01-26,12:15,2015-01-26,16:00,"","CK GU 048 dramasal"
"DR-204 tirs uke 2-6",2015-01-27,08:15,2015-01-27,12:00,"","CK GU 048 dramasal"
"DR-205 ons ",2015-01-28,10:15,2015-01-28,14:00,"","CK G1 051 aud"
"DR-204 tors uke 2-6",2015-01-29,08:15,2015-01-29,12:00,"","CK GU 048 dramasal"
"DR-204 fre uke 2-6",2015-01-30,08:15,2015-01-30,12:00,"","CK GU 048 dramasal"
"DR-204 man uke 2-6",2015-02-02,12:15,2015-02-02,16:00,"","CK GU 048 dramasal"
"DR-204 tirs uke 2-6",2015-02-03,08:15,2015-02-03,12:00,"","CK GU 048 dramasal"
"DR-205 ons ",2015-02-04,10:15,2015-02-04,14:00,"","CK G1 051 aud"
"DR-204 tors uke 2-6",2015-02-05,08:15,2015-02-05,12:00,"","CK GU 048 dramasal"
"DR-204 fre uke 2-6",2015-02-06,08:15,2015-02-06,12:00,"","CK GU 048 dramasal"
"DR-205 ons ",2015-03-18,10:15,2015-03-18,14:00,"","CK G1 051 aud"
"DR-205 ons ",2015-03-25,10:15,2015-03-25,14:00,"","CK G1 051 aud"
"DR-205 ons ",2015-04-08,10:15,2015-04-08,14:00,"","CK G1 051 aud"
"DR-205 ons ",2015-04-15,10:15,2015-04-15,14:00,"","CK G1 051 aud"
"DR-205 ons ",2015-04-22,10:15,2015-04-22,14:00,"","CK G1 051 aud"
"DR-205 ons ",2015-04-29,10:15,2015-04-29,14:00,"","CK G1 051 aud"
"DR-205 ons ",2015-05-06,10:15,2015-05-06,14:00,"","CK G1 051 aud"
