Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-TY-126",2015-01-05,10:15,2015-01-05,12:00,"Letnes Ole","CK F2 004 sem"
"-TY-126",2015-01-05,14:15,2015-01-05,16:00,"Franz Barbara Gabriele","CK F2 004 sem"
"-TY-126",2015-01-07,09:15,2015-01-07,11:00,"Letnes Ole","CK F2 001 sem"
"-TY-126",2015-01-07,12:15,2015-01-07,14:00,"Letnes Ole","CK F2 001 sem"
"-TY-126",2015-01-12,10:15,2015-01-12,12:00,"Letnes Ole","CK F2 004 sem"
"-TY-126",2015-01-12,14:15,2015-01-12,16:00,"Franz Barbara Gabriele","CK F2 004 sem"
"-TY-126",2015-01-14,09:15,2015-01-14,11:00,"Letnes Ole","CK F2 001 sem"
"-TY-126",2015-01-14,12:15,2015-01-14,14:00,"Letnes Ole","CK F2 001 sem"
"-TY-127",2015-01-15,12:15,2015-01-15,16:00,"Wegerle-Johansen Edith","CK D3 054 sem"
"-TY-127 ",2015-01-16,10:15,2015-01-16,14:00,"Wegerle-Johansen Edith","CK D3 054 sem"
"-TY-126",2015-01-19,10:15,2015-01-19,12:00,"Letnes Ole","CK F2 004 sem"
"-TY-126",2015-01-19,14:15,2015-01-19,16:00,"Franz Barbara Gabriele","CK F2 004 sem"
"-TY-126",2015-01-21,09:15,2015-01-21,11:00,"Letnes Ole","CK F2 001 sem"
"-TY-126",2015-01-21,12:15,2015-01-21,14:00,"Letnes Ole","CK F2 001 sem"
"-TY-126",2015-01-26,10:15,2015-01-26,12:00,"Letnes Ole","CK F2 004 sem"
"-TY-126",2015-01-26,14:15,2015-01-26,16:00,"Franz Barbara Gabriele","CK F2 004 sem"
"-TY-126",2015-01-28,09:15,2015-01-28,11:00,"Letnes Ole","CK F2 001 sem"
"-TY-126",2015-01-28,12:15,2015-01-28,14:00,"Letnes Ole","CK F2 001 sem"
"-TY-126",2015-02-02,10:15,2015-02-02,12:00,"Letnes Ole","CK F2 004 sem"
"-TY-126",2015-02-02,14:15,2015-02-02,16:00,"Franz Barbara Gabriele","CK F2 004 sem"
"-TY-126",2015-02-04,09:15,2015-02-04,11:00,"Letnes Ole","CK F2 001 sem"
"-TY-126",2015-02-04,12:15,2015-02-04,14:00,"Letnes Ole","CK F2 001 sem"
"-TY-127",2015-02-05,12:15,2015-02-05,16:00,"Wegerle-Johansen Edith","CK D3 054 sem"
"-TY-127 ",2015-02-06,10:15,2015-02-06,14:00,"Wegerle-Johansen Edith","CK D3 054 sem"
"-TY-126",2015-02-23,10:15,2015-02-23,12:00,"Letnes Ole","CK F2 004 sem"
"-TY-126",2015-02-23,14:15,2015-02-23,16:00,"Franz Barbara Gabriele","CK F2 004 sem"
"-TY-126",2015-02-25,09:15,2015-02-25,11:00,"Letnes Ole","CK F2 001 sem"
"-TY-126",2015-02-25,12:15,2015-02-25,14:00,"Letnes Ole","CK F2 001 sem"
"-TY-127",2015-02-26,12:15,2015-02-26,16:00,"Wegerle-Johansen Edith","CK D3 054 sem"
"-TY-127 ",2015-02-27,10:15,2015-02-27,14:00,"Wegerle-Johansen Edith","CK D3 054 sem"
"-TY-126",2015-03-02,10:15,2015-03-02,12:00,"Letnes Ole","CK F2 004 sem"
"-TY-126",2015-03-02,14:15,2015-03-02,16:00,"Franz Barbara Gabriele","CK F2 004 sem"
"-TY-126",2015-03-04,09:15,2015-03-04,11:00,"Letnes Ole","CK F2 001 sem"
"-TY-126",2015-03-04,12:15,2015-03-04,14:00,"Letnes Ole","CK F2 001 sem"
"-TY-126",2015-03-09,10:15,2015-03-09,12:00,"Letnes Ole","CK F2 004 sem"
"-TY-126",2015-03-09,14:15,2015-03-09,16:00,"Franz Barbara Gabriele","CK F2 004 sem"
"-TY-126",2015-03-16,10:15,2015-03-16,12:00,"Letnes Ole","CK F2 004 sem"
"-TY-126",2015-03-16,14:15,2015-03-16,16:00,"Franz Barbara Gabriele","CK F2 004 sem"
"-TY-126",2015-03-18,09:15,2015-03-18,11:00,"Letnes Ole","CK F2 001 sem"
"-TY-126",2015-03-18,12:15,2015-03-18,14:00,"Letnes Ole","CK F2 001 sem"
"-TY-127",2015-03-19,12:15,2015-03-19,16:00,"Wegerle-Johansen Edith","CK D3 054 sem"
"-TY-127 ",2015-03-20,10:15,2015-03-20,14:00,"Wegerle-Johansen Edith","CK D3 054 sem"
"-TY-126",2015-03-23,10:15,2015-03-23,12:00,"Letnes Ole","CK F2 004 sem"
"-TY-126",2015-03-23,14:15,2015-03-23,16:00,"Franz Barbara Gabriele","CK F2 004 sem"
"-TY-126",2015-03-25,09:15,2015-03-25,11:00,"Letnes Ole","CK F2 001 sem"
"-TY-126",2015-03-25,12:15,2015-03-25,14:00,"Letnes Ole","CK F2 001 sem"
"-TY-126",2015-04-08,09:15,2015-04-08,11:00,"Letnes Ole","CK F2 001 sem"
"-TY-126",2015-04-08,12:15,2015-04-08,14:00,"Letnes Ole","CK F2 001 sem"
"-TY-127",2015-04-09,12:15,2015-04-09,16:00,"Wegerle-Johansen Edith","CK D3 054 sem"
"-TY-127 ",2015-04-10,10:15,2015-04-10,14:00,"Wegerle-Johansen Edith","CK D3 054 sem"
"-TY-126",2015-04-13,10:15,2015-04-13,12:00,"Letnes Ole","CK F2 004 sem"
"-TY-126",2015-04-13,14:15,2015-04-13,16:00,"Franz Barbara Gabriele","CK F2 004 sem"
"-TY-126",2015-04-15,09:15,2015-04-15,11:00,"Letnes Ole","CK F2 001 sem"
"-TY-126",2015-04-15,12:15,2015-04-15,14:00,"Letnes Ole","CK F2 001 sem"
"-TY-126",2015-04-20,10:15,2015-04-20,12:00,"Letnes Ole","CK F2 004 sem"
"-TY-126",2015-04-20,14:15,2015-04-20,16:00,"Franz Barbara Gabriele","CK F2 004 sem"
"-TY-126",2015-04-22,09:15,2015-04-22,11:00,"Letnes Ole","CK F2 001 sem"
"-TY-126",2015-04-22,12:15,2015-04-22,14:00,"Letnes Ole","CK F2 001 sem"
"-TY-127",2015-04-23,12:15,2015-04-23,16:00,"Wegerle-Johansen Edith","CK D3 054 sem"
"-TY-127 ",2015-04-24,10:15,2015-04-24,14:00,"Wegerle-Johansen Edith","CK D3 054 sem"
"-TY-126",2015-04-27,10:15,2015-04-27,12:00,"Letnes Ole","CK F2 004 sem"
"-TY-126",2015-04-27,14:15,2015-04-27,16:00,"Franz Barbara Gabriele","CK F2 004 sem"
"-TY-126",2015-04-29,09:15,2015-04-29,11:00,"Letnes Ole","CK F2 001 sem"
"-TY-126",2015-04-29,12:15,2015-04-29,14:00,"Letnes Ole","CK F2 001 sem"
"-TY-126",2015-05-04,10:15,2015-05-04,12:00,"Letnes Ole","CK F2 004 sem"
"-TY-126",2015-05-04,14:15,2015-05-04,16:00,"Franz Barbara Gabriele","CK F2 004 sem"
"-TY-126",2015-05-06,09:15,2015-05-06,11:00,"Letnes Ole","CK F2 001 sem"
"-TY-126",2015-05-06,12:15,2015-05-06,14:00,"Letnes Ole","CK F2 001 sem"
