Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-FRI106 man 05.01.16.02",2015-01-05,09:15,2015-01-05,13:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK IU 069 aud"
"-FRI106 tir",2015-01-06,09:15,2015-01-06,12:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK IU 069 aud"
"-FRI106 lab 08.01. 15.01. 22.01",2015-01-08,09:15,2015-01-08,15:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK J1 003 bio"
"-FRI106 fre 09.01",2015-01-09,10:15,2015-01-09,14:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK IU 069 aud"
"-FRI106 man 12.01",2015-01-12,09:15,2015-01-12,13:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK I1 002 sem"
"-FRI106 tir",2015-01-13,09:15,2015-01-13,12:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK IU 069 aud"
"-FRI106 lab 13.01",2015-01-13,09:15,2015-01-13,15:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK J1 003 bio"
"-FRI106 lab 08.01. 15.01. 22.01",2015-01-15,09:15,2015-01-15,15:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK J1 003 bio"
"-FRI106 man 19.01",2015-01-19,09:15,2015-01-19,12:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK IU 069 aud"
"-FRI106 tir",2015-01-20,09:15,2015-01-20,12:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK IU 069 aud"
"-FRI106 ons 21.01",2015-01-21,10:15,2015-01-21,14:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK IU 069 aud"
"-FRI106 lab 08.01. 15.01. 22.01",2015-01-22,09:15,2015-01-22,15:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK J1 003 bio"
"-FRI106 man 26.01 (Spicheren B)",2015-01-26,09:15,2015-01-26,11:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK x Spicheren-"
"-FRI106 tir",2015-01-27,09:15,2015-01-27,12:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK IU 069 aud"
"-FRI106 tor 29.01",2015-01-29,09:15,2015-01-29,13:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK IU 069 aud"
"-FRI106 tir 03.02",2015-02-03,09:15,2015-02-03,13:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK IU 069 aud"
"-FRI106 ons 04.02",2015-02-04,09:15,2015-02-04,14:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK IU 069 aud"
"-FRI106 tir",2015-02-10,09:15,2015-02-10,12:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK IU 069 aud"
"-FRI106 tor 12.02",2015-02-12,09:15,2015-02-12,11:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK IU 069 aud"
"-FRI106 man 05.01.16.02",2015-02-16,09:15,2015-02-16,13:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK IU 069 aud"
"-FRI106 tir 17.02",2015-02-17,09:15,2015-02-17,12:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK IU 069 aud"
"-FRI106 tor 26.03",2015-03-26,09:15,2015-03-26,14:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK IU 001 sem"
"-FRI106 tir",2015-04-14,09:15,2015-04-14,12:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK IU 069 aud"
"-FRI106 lab 15.04",2015-04-15,09:15,2015-04-15,15:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK J1 004 bio"
"-FRI106 tir",2015-04-21,09:15,2015-04-21,12:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK IU 069 aud"
"-FRI106 man 27.04",2015-04-27,09:15,2015-04-27,13:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK x Spicheren-"
"-FRI106 tir 28.04",2015-04-28,08:15,2015-04-28,12:00,"Fasting, Merete Lund, Halvorsen Kirsti Vindal","CK IU 069 aud"
