Subject,Start Date,Start Time,End Date,End Time,Description,Location
.JU-200-1 for,2015-01-06,15:15,2015-01-06,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.SE-100/SE-110 for ,2015-01-07,09:15,2015-01-07,12:00,Jacobsen Gorm,CK B3 007 aud 
.SE-100/SE-110 gr,2015-01-07,12:15,2015-01-07,14:00,Jacobsen Gorm,CK 47 101, CK 47 116, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 117, CK 47 120, CK 47 121, CK 47 122
.SE-210-1 for,2015-01-12,09:15,2015-01-12,11:00,Torjesen Stina,CK H1 058 aud
.JU-200-1 for,2015-01-13,15:15,2015-01-13,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.SE-100/SE-110 for ,2015-01-14,09:15,2015-01-14,12:00,Jacobsen Gorm,CK B3 007 aud 
.SE-100/SE-110 gr,2015-01-14,12:15,2015-01-14,14:00,Jacobsen Gorm,CK 47 101, CK 47 116, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 117, CK 47 120, CK 47 121, CK 47 122
.SE-210-1 for,2015-01-19,09:15,2015-01-19,11:00,Torjesen Stina,CK H1 058 aud
.JU-200-1 for,2015-01-20,15:15,2015-01-20,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.SE-100/SE-110 for ,2015-01-21,09:15,2015-01-21,12:00,Jacobsen Gorm,CK B3 007 aud 
.SE-100/SE-110 gr,2015-01-21,12:15,2015-01-21,14:00,Jacobsen Gorm,CK 47 101, CK 47 116, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 117, CK 47 120, CK 47 121, CK 47 122
.SE-210-1 for,2015-01-26,09:15,2015-01-26,11:00,Torjesen Stina,CK H1 058 aud
.SE-210-1 sem u 5,2015-01-26,11:15,2015-01-26,14:00,Torjesen Stina,CK H1 022 sem
.JU-200-1 for,2015-01-27,15:15,2015-01-27,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.SE-100/SE-110 for ,2015-01-28,09:15,2015-01-28,12:00,Jacobsen Gorm,CK B3 007 aud 
.SE-210-1 for,2015-02-02,09:15,2015-02-02,11:00,Torjesen Stina,CK H1 058 aud
.SE-210-1 sem u 6,2015-02-02,11:15,2015-02-02,14:00,Torjesen Stina,CK H1 022 sem
.JU-200-1 for,2015-02-03,15:15,2015-02-03,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.SE-100/SE-110 for ,2015-02-04,09:15,2015-02-04,12:00,Jacobsen Gorm,CK B3 007 aud 
.SE-100/SE-110 gr,2015-02-04,12:15,2015-02-04,14:00,Jacobsen Gorm,CK 47 101, CK 47 116, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 117, CK 47 120, CK 47 121, CK 47 122
.SE-210-1 for,2015-02-09,09:15,2015-02-09,11:00,Torjesen Stina,CK H1 058 aud
.JU-200-1 for,2015-02-10,15:15,2015-02-10,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.SE-100/SE-110 for ,2015-02-11,09:15,2015-02-11,12:00,Jacobsen Gorm,CK B3 007 aud 
.SE-100/SE-110 gr,2015-02-11,12:15,2015-02-11,14:00,Jacobsen Gorm,CK 47 101, CK 47 116, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 117, CK 47 120, CK 47 121, CK 47 122
.SE-210-1 for,2015-02-16,09:15,2015-02-16,11:00,Torjesen Stina,CK H1 058 aud
.JU-200-1 for,2015-02-17,15:15,2015-02-17,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.JU-200-1 for,2015-02-24,15:15,2015-02-24,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.SE-100/SE-110 for ,2015-02-25,09:15,2015-02-25,12:00,Jacobsen Gorm,CK B3 007 aud 
.SE-100/SE-110 gr,2015-02-25,12:15,2015-02-25,14:00,Jacobsen Gorm,CK 47 101, CK 47 116, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 117, CK 47 120, CK 47 121, CK 47 122
.SE-210-1 for,2015-03-02,09:15,2015-03-02,11:00,Torjesen Stina,CK H1 058 aud
.JU-200-1 for,2015-03-03,15:15,2015-03-03,18:00,Grønningsæter Elisabeth B E,CK B2 014 sem
.SE-100/SE-110 for ,2015-03-04,09:15,2015-03-04,12:00,Jacobsen Gorm,CK B3 007 aud 
