Subject,Start Date,Start Time,End Date,End Time,Description,Location
".SV-200-2 for 1 tirs (2t)",2015-01-06,08:15,2015-01-06,10:00,"Knudsen Jon Paschen, Pløger John","CK H1 058 aud"
".SV-200-2 gr tirs (2t)",2015-01-06,10:15,2015-01-06,12:00,"Knudsen Jon Paschen, Pløger John","CK 47 101, CK 47 116, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".SV-200-2 for 2 tirs (1t)",2015-01-06,13:15,2015-01-06,14:00,"Knudsen Jon Paschen, Pløger John","CK H1 058 aud"
".ST-102-1 for",2015-01-08,12:15,2015-01-08,14:00,"Stie Anne Elizabeth","CK B1 018 aud"
".ST-102-1 gr",2015-01-08,14:15,2015-01-08,16:00,"Stie Anne Elizabeth","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018, CK B3 021, CK B3 019, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029"
".SV-200-2 for 1 fre (2t)",2015-01-09,08:15,2015-01-09,10:00,"Knudsen Jon Paschen, Pløger John","CK H1 058 aud"
".SV-200-2 gr fre (2t)",2015-01-09,10:15,2015-01-09,12:00,"Knudsen Jon Paschen, Pløger John","CK 47 101, CK 47 116, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".SV-200-2 for 2 fre (1t)",2015-01-09,12:15,2015-01-09,13:00,"Knudsen Jon Paschen, Pløger John","CK H1 058 aud"
".SV-200-2 for 1 tirs (2t)",2015-01-13,08:15,2015-01-13,10:00,"Knudsen Jon Paschen, Pløger John","CK H1 058 aud"
".SV-200-2 gr tirs (2t)",2015-01-13,10:15,2015-01-13,12:00,"Knudsen Jon Paschen, Pløger John","CK 47 101, CK 47 116, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".SV-200-2 for 2 tirs (1t)",2015-01-13,13:15,2015-01-13,14:00,"Knudsen Jon Paschen, Pløger John","CK H1 058 aud"
".ST-102-1 for",2015-01-15,12:15,2015-01-15,14:00,"Stie Anne Elizabeth","CK B1 018 aud"
