Subject,Start Date,Start Time,End Date,End Time,Description,Location
MUK109/MU-214/MU-151/MU-210/MU-300/MU-500 Felles klarinett,2015-01-07,16:15,2015-01-07,17:00,,CK K1 041/Samspillsal 1
MUK109/MUK203/MU-151/MU-210/MU-300/MU-500 Felles klarinett uke 3.5.6.8.11.13.16,2015-01-14,16:15,2015-01-14,17:00,,CK K1 039/Samspillsal 2
MUK109/MU-214/MU-151/MU-210/MU-300/MU-500 Felles klarinett,2015-01-21,16:15,2015-01-21,17:00,,CK K1 041/Samspillsal 1
MUK109/MUK203/MU-151/MU-210/MU-300/MU-500 Felles klarinett uke 3.5.6.8.11.13.16,2015-01-28,16:15,2015-01-28,17:00,,CK K1 039/Samspillsal 2
MUK109/MUK203/MU-151/MU-210/MU-300/MU-500 Felles klarinett uke 3.5.6.8.11.13.16,2015-02-04,16:15,2015-02-04,17:00,,CK K1 039/Samspillsal 2
MUK109/MUK203/MU-151/MU-210/MU-300/MU-500 Felles klarinett uke 3.5.6.8.11.13.16,2015-02-18,16:15,2015-02-18,17:00,,CK K1 039/Samspillsal 2
MUK109/MU-214/MU-151/MU-210/MU-300/MU-500 Felles klarinett,2015-02-25,16:15,2015-02-25,17:00,,CK K1 041/Samspillsal 1
MUK109/MUK203/MU-151/MU-210/MU-300/MU-500 Felles klarinett uke 3.5.6.8.11.13.16,2015-03-11,16:15,2015-03-11,17:00,,CK K1 039/Samspillsal 2
MUK109/MU-214/MU-151/MU-210/MU-300/MU-500 Felles klarinett,2015-03-18,16:15,2015-03-18,17:00,,CK K1 041/Samspillsal 1
MUK109/MUK203/MU-151/MU-210/MU-300/MU-500 Felles klarinett uke 3.5.6.8.11.13.16,2015-03-25,16:15,2015-03-25,17:00,,CK K1 039/Samspillsal 2
MUK109/MU-214/MU-151/MU-210/MU-300/MU-500 Felles klarinett,2015-04-08,16:15,2015-04-08,17:00,,CK K1 041/Samspillsal 1
MUK109/MUK203/MU-151/MU-210/MU-300/MU-500 Felles klarinett uke 3.5.6.8.11.13.16,2015-04-15,16:15,2015-04-15,17:00,,CK K1 039/Samspillsal 2
MUK109/MU-214/MU-151/MU-210/MU-300/MU-500 Felles klarinett,2015-04-22,16:15,2015-04-22,17:00,,CK K1 041/Samspillsal 1
MUK109/MU-214/MU-151/MU-210/MU-300/MU-500 Felles klarinett,2015-04-29,16:15,2015-04-29,17:00,,CK K1 041/Samspillsal 1
MUK109/MU-214/MU-151/MU-210/MU-300/MU-500 Felles klarinett,2015-05-06,16:15,2015-05-06,17:00,,CK K1 041/Samspillsal 1
