Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MUR106/MUR200/MU-210/MU-300 samspill A",2015-01-05,13:15,2015-01-05,15:00,"Rasch Bjørn Ole","CK K1 039/Samspillsal 2"
"MUR106/MUR200/MU-210/MU-300 samspill B sal5",2015-01-05,13:15,2015-01-05,15:00,"Nypan Øyvind",""
"MUR106/MUR200/MU-210/MU-300 sampill F sal4",2015-01-05,13:15,2015-01-05,15:00,"",""
"MUR106/MUR200/MU-210/MU-300 samsoill D sal6",2015-01-05,13:15,2015-01-05,15:00,"",""
"MUR106/MUR200/MU-210/MU-300 samspill C ",2015-01-05,15:15,2015-01-05,17:00,"","CK K1 039/Samspillsal 2"
"MUR106/MUR200/MU-210/MU-300 samspill E",2015-01-06,15:15,2015-01-06,17:00,"","CK K1 039/Samspillsal 2"
"MUR106/MUR200/MU-210/MU-300 samspill G sal5",2015-01-06,15:15,2015-01-06,17:00,"",""
"MUR307 3ur tors",2015-01-08,09:15,2015-01-08,11:00,"Mjåland Einar","CK G1 009"
"MUR307",2015-01-08,13:15,2015-01-08,15:00,"Holmsen Geir","CK K3 024 midi-lab"
"MUR106/MUR200/MU-210/MU-300 samspill A",2015-01-12,13:15,2015-01-12,15:00,"Rasch Bjørn Ole","CK K1 039/Samspillsal 2"
"MUR106/MUR200/MU-210/MU-300 samspill B sal5",2015-01-12,13:15,2015-01-12,15:00,"Nypan Øyvind",""
"MUR106/MUR200/MU-210/MU-300 sampill F sal4",2015-01-12,13:15,2015-01-12,15:00,"",""
"MUR106/MUR200/MU-210/MU-300 samsoill D sal6",2015-01-12,13:15,2015-01-12,15:00,"",""
"MUR106/MUR200/MU-210/MU-300 samspill C ",2015-01-12,15:15,2015-01-12,17:00,"","CK K1 039/Samspillsal 2"
"MUR106/MUR200/MU-210/MU-300 samspill E",2015-01-13,15:15,2015-01-13,17:00,"","CK K1 039/Samspillsal 2"
"MUR106/MUR200/MU-210/MU-300 samspill G sal5",2015-01-13,15:15,2015-01-13,17:00,"",""
"MUR307 3ur tors",2015-01-15,09:15,2015-01-15,11:00,"Mjåland Einar","CK G1 009"
"MUR307",2015-01-15,13:15,2015-01-15,15:00,"Holmsen Geir","CK K3 024 midi-lab"
"MUR106/MUR200/MU-210/MU-300 samspill A",2015-01-19,13:15,2015-01-19,15:00,"Rasch Bjørn Ole","CK K1 039/Samspillsal 2"
"MUR106/MUR200/MU-210/MU-300 samspill B sal5",2015-01-19,13:15,2015-01-19,15:00,"Nypan Øyvind",""
"MUR106/MUR200/MU-210/MU-300 sampill F sal4",2015-01-19,13:15,2015-01-19,15:00,"",""
"MUR106/MUR200/MU-210/MU-300 samsoill D sal6",2015-01-19,13:15,2015-01-19,15:00,"",""
"MUR106/MUR200/MU-210/MU-300 samspill C ",2015-01-19,15:15,2015-01-19,17:00,"","CK K1 039/Samspillsal 2"
"MUR106/MUR200/MU-210/MU-300 samspill E",2015-01-20,15:15,2015-01-20,17:00,"","CK K1 039/Samspillsal 2"
"MUR106/MUR200/MU-210/MU-300 samspill G sal5",2015-01-20,15:15,2015-01-20,17:00,"",""
"MUR307 3ur tors",2015-01-22,09:15,2015-01-22,11:00,"Mjåland Einar","CK G1 009"
"MUR307",2015-01-22,13:15,2015-01-22,15:00,"Holmsen Geir","CK K3 024 midi-lab"
