Subject,Start Date,Start Time,End Date,End Time,Description,Location
.ME-417-1 15/01/12 for,2015-01-12,09:15,2015-01-12,12:00,Blekesaune Morten, Haslerud Gjermund,CK H1 023 sem
.SO-405-1 for 15/01/12,2015-01-12,13:15,2015-01-12,16:00,Sagatun Solveig,CK 48 013 sem
.SV-502-1 for 15/01/13 ,2015-01-13,09:15,2015-01-13,12:00,Blekesaune Morten, Støkken Anne Marie,CK 48 013 sem
.ME-417-1 16/01/13 for,2015-01-13,13:15,2015-01-13,16:00,Blekesaune Morten, Haslerud Gjermund,CK H1 023 sem
.SV-502-1 for 15/01/14 ,2015-01-14,09:15,2015-01-14,12:00,Blekesaune Morten, Støkken Anne Marie,CK 48 013 sem
.SO-405-1 for 15/01/14,2015-01-14,13:15,2015-01-14,16:00,Sagatun Solveig,CK 48 013 sem
.SV-502-1 for 15/01/15  (ROM 47 124),2015-01-15,09:15,2015-01-15,12:00,Blekesaune Morten, Støkken Anne Marie,CK 47 124 sem
.ME-417-1 16/01/15 lab,2015-01-15,13:15,2015-01-15,16:00,Blekesaune Morten, Haslerud Gjermund,CK H1 024 pclab
.ME-417-1 16/02/09 for,2015-02-09,09:15,2015-02-09,12:00,Blekesaune Morten, Haslerud Gjermund,CK H1 023 sem
.SV-502-1 for 15/02/09,2015-02-09,13:15,2015-02-09,16:00,Blekesaune Morten, Støkken Anne Marie,CK 48 013 sem
.SV-502-1 for 15/02/10,2015-02-10,09:15,2015-02-10,12:00,Blekesaune Morten, Støkken Anne Marie,CK 48 013 sem
.ME-417-1 16/02/10 for,2015-02-10,13:15,2015-02-10,16:00,Blekesaune Morten, Haslerud Gjermund,CK H1 023 sem
.ME-417-1 16/02/10 lab,2015-02-10,14:15,2015-02-10,16:00,Blekesaune Morten, Haslerud Gjermund,CK H1 024 pclab
.SO-405-1 for 15/02/11,2015-02-11,09:15,2015-02-11,12:00,Sagatun Solveig,CK 48 013 sem
.SO-405-1 for 15/02/12 (1),2015-02-12,09:15,2015-02-12,12:00,Sagatun Solveig,CK 48 013 sem
.SO-405-1 for 15/02/12 (2),2015-02-12,13:15,2015-02-12,16:00,Sagatun Solveig,CK 48 013 sem
.SO-405-1 for 15/03/09 (1),2015-03-09,09:15,2015-03-09,12:00,Sagatun Solveig,CK 48 013 sem
.SO-405-1 for 15/03/09 (2),2015-03-09,13:15,2015-03-09,16:00,Sagatun Solveig,CK 48 013 sem
.ME-417-1 16/03/10 for,2015-03-10,09:15,2015-03-10,12:00,Blekesaune Morten, Haslerud Gjermund,CK H1 023 sem
.SV-502-1 for 15/03/10,2015-03-10,13:15,2015-03-10,16:00,Blekesaune Morten, Støkken Anne Marie,CK 48 013 sem
.SV-502-1 for 15/03/11,2015-03-11,09:15,2015-03-11,12:00,Blekesaune Morten, Støkken Anne Marie,CK 48 013 sem
.SO-405-1 for 15/03/11,2015-03-11,13:15,2015-03-11,16:00,Sagatun Solveig,CK 48 013 sem
.SV-502-1 for 15/03/12 (ROM 47 124),2015-03-12,09:15,2015-03-12,12:00,Blekesaune Morten, Støkken Anne Marie,CK 47 124 sem
.ME-417-1 16/03/12 for,2015-03-12,13:15,2015-03-12,16:00,Blekesaune Morten, Haslerud Gjermund,CK H1 023 sem
.ME-417-1 16/03/12 lab,2015-03-12,14:15,2015-03-12,16:00,Blekesaune Morten, Haslerud Gjermund,CK H1 024 pclab
.ME-417-1 16/04/07 for,2015-04-07,09:15,2015-04-07,12:00,Blekesaune Morten, Haslerud Gjermund,CK H1 023 sem
.SV-502-1 for 15/04/07,2015-04-07,13:15,2015-04-07,16:00,Blekesaune Morten, Støkken Anne Marie,CK 48 013 sem
.SV-502-1 for 15/04/08,2015-04-08,09:15,2015-04-08,12:00,Blekesaune Morten, Støkken Anne Marie,CK 48 013 sem
.SO-405-1 for 15/04/08,2015-04-08,13:15,2015-04-08,16:00,Sagatun Solveig,CK 48 013 sem
.SO-405-1 for 15/04/09,2015-04-09,09:15,2015-04-09,12:00,Sagatun Solveig,CK 48 013 sem
.ME-417-1 16/04/07 for,2015-04-09,13:15,2015-04-09,16:00,Blekesaune Morten, Haslerud Gjermund,CK H1 023 sem
.ME-417-1 16/04/09 lab,2015-04-09,14:15,2015-04-09,16:00,Blekesaune Morten, Haslerud Gjermund,CK H1 024 pclab
