Subject,Start Date,Start Time,End Date,End Time,Description,Location
".ORG308-1 for",2015-01-08,08:15,2015-01-08,10:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","CK H1 058 aud"
".ORG308-1 gr",2015-01-08,10:15,2015-01-08,12:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","CK 47 101, CK 47 116, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ORG308-1 for",2015-01-15,08:15,2015-01-15,10:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","CK H1 058 aud"
".ORG308-1 gr",2015-01-15,10:15,2015-01-15,12:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","CK 47 101, CK 47 116, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ORG312/BE-319 lecture joint wk 4.5.6",2015-01-21,13:15,2015-01-21,16:00,"Wald Andreas","CK B1 018 aud"
".ORG308-1 for",2015-01-22,08:15,2015-01-22,10:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","CK H1 058 aud"
".ORG308-1 gr",2015-01-22,10:15,2015-01-22,12:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","CK 47 101, CK 47 116, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".ORG312/BE-319 lecture joint wk 4.5.6",2015-01-28,13:15,2015-01-28,16:00,"Wald Andreas","CK B1 018 aud"
".MF-300-1 for 1 ",2015-02-03,15:15,2015-02-03,18:00,"Sirisena Amila","CK B3 007 aud "
".ORG312/BE-319 lecture joint wk 4.5.6",2015-02-04,13:15,2015-02-04,16:00,"Wald Andreas","CK B1 018 aud"
".ORG308-1 for",2015-02-05,08:15,2015-02-05,10:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","CK H1 058 aud"
".ORG308-1 gr",2015-02-05,10:15,2015-02-05,12:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","CK 47 101, CK 47 116, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".MF-300-1 for 2 ",2015-02-05,12:15,2015-02-05,15:00,"Sirisena Amila","CK B3 007 aud "
".MF-300-1 for 1 ",2015-02-10,15:15,2015-02-10,18:00,"Sirisena Amila","CK B3 007 aud "
".ORG312 wk 07 (46 118)",2015-02-11,09:15,2015-02-11,12:00,"Wald Andreas","CK 46 118 aula"
".ORG308-1 for",2015-02-12,08:15,2015-02-12,10:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","CK H1 058 aud"
".ORG308-1 gr",2015-02-12,10:15,2015-02-12,12:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","CK 47 101, CK 47 116, CK 47 102, CK 47 103, CK 47 104, CK 47 105, CK 47 107, CK 47 108, CK 47 109, CK 47 110, CK 47 117, CK 47 120, CK 47 121, CK 47 122"
".MF-300-1 for 2 ",2015-02-12,12:15,2015-02-12,15:00,"Sirisena Amila","CK B3 007 aud "
