Subject,Start Date,Start Time,End Date,End Time,Description,Location
".BE-318-1 for uke 2 (B2 003)",2015-01-05,09:15,2015-01-05,12:00,"Helland-Olsen Robert, Heskestad Terje ","CK B2 003 aud"
".BE-318-1 for uke 4 (B2 006)",2015-01-12,09:15,2015-01-12,12:00,"Helland-Olsen Robert, Heskestad Terje ","CK B2 006 aud "
".BE-318-1 for uke 4 (46 118)",2015-01-19,09:15,2015-01-19,12:00,"Helland-Olsen Robert, Heskestad Terje ","CK 46 118 aula"
".BE-316-1 for uke 4 fra 11:15 (B1 007)",2015-01-20,11:15,2015-01-20,15:00,"Koekebakker Steen","CK B1 007 aud"
".BE-319/ORG312 lecture joint wk 4.5.6",2015-01-21,13:15,2015-01-21,16:00,"Håkonsen Glenn Quam","CK B1 018 aud"
".BE-318-1 for uke 5.6 (B1 001)",2015-01-26,09:15,2015-01-26,12:00,"Helland-Olsen Robert, Heskestad Terje ","CK B1 001 aud"
".BE-316-1 for uke 5 (B2 003)",2015-01-27,09:15,2015-01-27,12:00,"Koekebakker Steen","CK B2 003 aud"
".BE-316-1 gr",2015-01-27,12:15,2015-01-27,14:00,"","CK 50 110, CK 50 114a, CK 50 114b, CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 136, CK 50 137a, CK 50 137b, CK 50 139, CK 50 140, CK 50 141, CK 50 145, CK 50 148, CK 50 114c , CK 50 116b, CK 50 116f"
".BE-319/ORG312 lecture joint wk 4.5.6",2015-01-28,13:15,2015-01-28,16:00,"Håkonsen Glenn Quam","CK B1 018 aud"
".BE-318-1 for uke 5.6 (B1 001)",2015-02-02,09:15,2015-02-02,12:00,"Helland-Olsen Robert, Heskestad Terje ","CK B1 001 aud"
".BE-316-1 for uke 6 (B2 003)",2015-02-03,09:15,2015-02-03,12:00,"Koekebakker Steen","CK B2 003 aud"
".BE-316-1 gr",2015-02-03,12:15,2015-02-03,14:00,"","CK 50 110, CK 50 114a, CK 50 114b, CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 136, CK 50 137a, CK 50 137b, CK 50 139, CK 50 140, CK 50 141, CK 50 145, CK 50 148, CK 50 114c , CK 50 116b, CK 50 116f"
".BE-319/ORG312 lecture joint wk 4.5.6",2015-02-04,13:15,2015-02-04,16:00,"Håkonsen Glenn Quam","CK B1 018 aud"
".BE-318-1 for uke 7 (B2 002)",2015-02-09,09:15,2015-02-09,12:00,"Helland-Olsen Robert, Heskestad Terje ","CK B2 004 aud "
".BE-316-1 for uke 7 (B1 006)",2015-02-10,09:15,2015-02-10,12:00,"Koekebakker Steen","CK B1 006 aud"
".BE-316-1 gr",2015-02-10,12:15,2015-02-10,14:00,"","CK 50 110, CK 50 114a, CK 50 114b, CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 136, CK 50 137a, CK 50 137b, CK 50 139, CK 50 140, CK 50 141, CK 50 145, CK 50 148, CK 50 114c , CK 50 116b, CK 50 116f"
".BE-319 lecture wk 7.9.10.11.12 (B1 007)",2015-02-11,09:15,2015-02-11,12:00,"Wald Andreas","CK B1 007 aud"
".BE-318-1 for uke 8-12 (B1 007)",2015-02-16,09:15,2015-02-16,12:00,"Helland-Olsen Robert, Heskestad Terje ","CK B1 007 aud"
".BE-316-1 for uke 8 (B1 007)",2015-02-17,09:15,2015-02-17,12:00,"Koekebakker Steen","CK B1 007 aud"
".BE-316-1 gr",2015-02-17,12:15,2015-02-17,14:00,"","CK 50 110, CK 50 114a, CK 50 114b, CK 50 115a, CK 50 115b, CK 50 115c, CK 50 115e, CK 50 115f, CK 50 116a, CK 50 116c, CK 50 116d, CK 50 116e, CK 50 136, CK 50 137a, CK 50 137b, CK 50 139, CK 50 140, CK 50 141, CK 50 145, CK 50 148, CK 50 114c , CK 50 116b, CK 50 116f"
".BE-319 lecture wk 8 (B1 006)",2015-02-18,09:15,2015-02-18,12:00,"Wald Andreas","CK B1 006 aud"
".BE-318-1 for uke 8-12 (B1 007)",2015-02-23,09:15,2015-02-23,12:00,"Helland-Olsen Robert, Heskestad Terje ","CK B1 007 aud"
".BE-319 lecture wk 9 Mon (1015-1300)",2015-02-23,10:15,2015-02-23,13:00,"Wald Andreas","CK B2 003 aud"
".BE-316-1 for uke 9 (B1 001)",2015-02-24,09:15,2015-02-24,14:00,"Beisland Leif Atle","CK B1 001 aud"
".BE-319 lecture wk 7.9.10.11.12 (B1 007)",2015-02-25,09:15,2015-02-25,12:00,"Wald Andreas","CK B1 007 aud"
".BE-319 lecture wk 9 Wed (1315-1600)",2015-02-25,13:15,2015-02-25,16:00,"Wald Andreas","CK B1 007 aud"
".BE-319 lecture wk 9 Thurs (1015-1300)",2015-02-26,10:15,2015-02-26,13:00,"Wald Andreas","CK B1 007 aud"
".BE-318-1 for uke 8-12 (B1 007)",2015-03-02,09:15,2015-03-02,12:00,"Helland-Olsen Robert, Heskestad Terje ","CK B1 007 aud"
".BE-316-1 for uke 10 til 14:00 (B2 003)",2015-03-03,09:15,2015-03-03,14:00,"Beisland Leif Atle","CK B2 003 aud"
".BE-319 lecture wk 7.9.10.11.12 (B1 007)",2015-03-04,09:15,2015-03-04,12:00,"Wald Andreas","CK B1 007 aud"
".BE-318-1 for uke 8-12 (B1 007)",2015-03-09,09:15,2015-03-09,12:00,"Helland-Olsen Robert, Heskestad Terje ","CK B1 007 aud"
".BE-316-1 for uke 11 del 1 (B2 003)",2015-03-10,09:15,2015-03-10,12:00,"Beisland Leif Atle","CK B2 003 aud"
".BE-316-1 for uke 11 del 2 (B1 007)",2015-03-10,12:15,2015-03-10,14:00,"Beisland Leif Atle","CK B1 007 aud"
