Subject,Start Date,Start Time,End Date,End Time,Description,Location
".JU-206-1 for",2015-01-05,11:15,2015-01-05,14:00,"Husby Marianne ","CK B1 018 aud"
".JU-102-1 for",2015-01-05,14:15,2015-01-05,16:00,"Fossner Stein V.","CK B2 006 aud "
".JU-206-1 gr",2015-01-05,14:15,2015-01-05,16:00,"Husby Marianne ","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018, CK B3 021, CK B3 019, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029"
".JU-102-1 gr",2015-01-05,16:15,2015-01-05,18:00,"Fossner Stein V.","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027"
".BE-210-1 for",2015-01-07,10:15,2015-01-07,12:00,"Egge Steinar","CK B1 018 aud"
".BE-210-1 gr",2015-01-07,12:15,2015-01-07,15:00,"Egge Steinar","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018, CK B3 021, CK B3 019, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029"
".JU-206-1 for",2015-01-12,11:15,2015-01-12,14:00,"Husby Marianne ","CK B1 018 aud"
".JU-102-1 for",2015-01-12,14:15,2015-01-12,16:00,"Fossner Stein V.","CK B2 006 aud "
".JU-206-1 gr",2015-01-12,14:15,2015-01-12,16:00,"Husby Marianne ","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018, CK B3 021, CK B3 019, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029"
".JU-102-1 gr",2015-01-12,16:15,2015-01-12,18:00,"Fossner Stein V.","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027"
".ORG209/205 for",2015-01-13,08:15,2015-01-13,10:00,"Aas Tor Helge","CK B1 018 aud"
".ME-108/ME-104 dag 1",2015-01-13,13:15,2015-01-13,15:00,"Andersen Otto","CK B1 018 aud"
".BE-210-1 for",2015-01-14,10:15,2015-01-14,12:00,"Egge Steinar","CK B1 018 aud"
".BE-210-1 gr",2015-01-14,12:15,2015-01-14,15:00,"Egge Steinar","CK B2 016, CK B2 017, CK B2 018, CK B2 019, CK B2 021, CK B2 022, CK B2 023, CK B2 024, CK B2 026, CK B2 027, CK B2 028, CK B2 029, CK B2 031, CK B2 032, CK B2 033, CK B3 002, CK B3 003, CK B3 005, CK B3 012, CK B3 013, CK B3 014, CK B3 016, CK B3 017, CK B3 018, CK B3 021, CK B3 019, CK B3 022, CK B3 023, CK B3 024, CK B3 026, CK B3 027, CK B3 028, CK B3 029"
".ME-108/ME-104 dag 2",2015-01-15,10:15,2015-01-15,12:00,"Andersen Otto","CK B1 018 aud"
