Subject,Start Date,Start Time,End Date,End Time,Description,Location
BE-210/Forel ,2015-01-06,10:15,2015-01-06,12:00,Egge Steinar,CG-F 202 klasserom (Jon Lilletunsvei 3)
BE-210/Gr ,2015-01-06,12:15,2015-01-06,15:00,Egge Steinar,CG-F 202 klasserom (Jon Lilletunsvei 3)
JU-206/Forel uke 2,2015-01-07,10:15,2015-01-07,13:00,Husby Marianne ,CG-A2 123 klasserom (fjernunderv.)
ORG209/Forel,2015-01-08,12:15,2015-01-08,16:00,Knudsen Harald,CG-C4 055 auditorium (60)
BE-210/Forel ,2015-01-13,10:15,2015-01-13,12:00,Egge Steinar,CG-F 202 klasserom (Jon Lilletunsvei 3)
BE-210/Gr ,2015-01-13,12:15,2015-01-13,15:00,Egge Steinar,CG-F 202 klasserom (Jon Lilletunsvei 3)
ORG206/Forel,2015-01-14,09:15,2015-01-14,12:00,Amundsen. Ivar (GRM). Bergdal Inge. Olsen Torunn S.. Svendal. Atle,CG-F 204 klasserom (Jon Lilletunsvei 3) 
JU-206/Forel ,2015-01-14,10:15,2015-01-14,13:00,Husby Marianne ,CG-A2 085 auditorium
JU-206/Gr ,2015-01-14,13:15,2015-01-14,15:00,Husby Marianne ,CG-A2 085 auditorium
ORG209/Forel,2015-01-15,12:15,2015-01-15,16:00,Knudsen Harald,CG-C4 055 auditorium (60)
BE-210/Forel ,2015-01-20,10:15,2015-01-20,12:00,Egge Steinar,CG-F 202 klasserom (Jon Lilletunsvei 3)
BE-210/Gr ,2015-01-20,12:15,2015-01-20,15:00,Egge Steinar,CG-F 202 klasserom (Jon Lilletunsvei 3)
ORG206/Forel,2015-01-21,09:15,2015-01-21,12:00,Amundsen. Ivar (GRM). Bergdal Inge. Olsen Torunn S.. Svendal. Atle,CG-F 204 klasserom (Jon Lilletunsvei 3) 
JU-206/Forel ,2015-01-21,10:15,2015-01-21,13:00,Husby Marianne ,CG-A2 085 auditorium
JU-206/Gr ,2015-01-21,13:15,2015-01-21,15:00,Husby Marianne ,CG-A2 085 auditorium
ORG209/Forel,2015-01-22,12:15,2015-01-22,16:00,Knudsen Harald,CG-C4 055 auditorium (60)
ME-108/Forel,2015-01-23,10:15,2015-01-23,13:00,Karlsen. James,CG-F 203 klasserom (Jon Lilletunsvei 3)
ME-108/Gr,2015-01-23,13:15,2015-01-23,15:00,Karlsen. James,CG-F 203 klasserom (Jon Lilletunsvei 3)
BE-210/Forel ,2015-01-27,10:15,2015-01-27,12:00,Egge Steinar,CG-F 202 klasserom (Jon Lilletunsvei 3)
BE-210/Gr ,2015-01-27,12:15,2015-01-27,15:00,Egge Steinar,CG-F 202 klasserom (Jon Lilletunsvei 3)
ORG206/Forel,2015-01-28,09:15,2015-01-28,12:00,Amundsen. Ivar (GRM). Bergdal Inge. Olsen Torunn S.. Svendal. Atle,CG-F 204 klasserom (Jon Lilletunsvei 3) 
JU-206/Forel ,2015-01-28,10:15,2015-01-28,13:00,Husby Marianne ,CG-A2 085 auditorium
JU-206/Gr ,2015-01-28,13:15,2015-01-28,15:00,Husby Marianne ,CG-A2 085 auditorium
ME-108/Forel,2015-01-30,10:15,2015-01-30,13:00,Karlsen. James,CG-F 203 klasserom (Jon Lilletunsvei 3)
