Subject,Start Date,Start Time,End Date,End Time,Description,Location
"*BIO402/ML-314 forel uke 1",2016-01-07,09:15,2016-01-07,12:00,"Slettan Audun","KRS JU 071 aud"
"*BIO402/ML-314 forel uke 1",2016-01-08,09:15,2016-01-08,12:00,"Slettan Audun","KRS JU 071 aud"
"*BIO402/ML-314 forel uke 2. 3",2016-01-11,12:15,2016-01-11,16:00,"Slettan Audun","KRS JU 071 aud"
"*BIO402/ML-314 forel uke 2. 3",2016-01-12,12:15,2016-01-12,16:00,"Slettan Audun","KRS JU 071 aud"
"*BIO402/ML-314 lab gr 2 uke 2. 3",2016-01-13,13:15,2016-01-13,17:00,"Slettan Audun","KRS JU 016 kjemi"
"*BIO402/ML-314 lab gr 2 uke 2. 3",2016-01-14,13:15,2016-01-14,17:00,"Slettan Audun","KRS JU 016 kjemi"
"*BIO402/ML-314 forel uke 2. 3",2016-01-18,12:15,2016-01-18,16:00,"Slettan Audun","KRS JU 071 aud"
"*BIO402/ML-314 forel uke 2. 3",2016-01-19,12:15,2016-01-19,16:00,"Slettan Audun","KRS JU 071 aud"
"*BIO402/ML-314 lab gr 2 uke 2. 3",2016-01-20,13:15,2016-01-20,17:00,"Slettan Audun","KRS JU 016 kjemi"
"*BIO402/ML-314 lab gr 2 uke 2. 3",2016-01-21,13:15,2016-01-21,17:00,"Slettan Audun","KRS JU 016 kjemi"
"*BIO401-1",2016-01-24,22:15,2016-01-24,23:00,"Olsen Esben Moland",""
"*BIO402 forel uke 4. 5. 6",2016-01-25,12:15,2016-01-25,16:00,"Slettan Audun","KRS 48 114 sem"
"*BIO402 forel uke 4. 5. 6",2016-01-26,12:15,2016-01-26,16:00,"Slettan Audun","KRS 48 114 sem"
"*BIO402 lab uke 4. 5",2016-01-27,13:15,2016-01-27,17:00,"Slettan Audun","KRS JU 016 kjemi"
"*BIO402 lab uke 4. 5",2016-01-28,13:15,2016-01-28,17:00,"Slettan Audun","KRS JU 016 kjemi"
"*BIO401-1",2016-01-31,22:15,2016-01-31,23:00,"Olsen Esben Moland",""
"*BIO402 forel uke 4. 5. 6",2016-02-01,12:15,2016-02-01,16:00,"Slettan Audun","KRS 48 114 sem"
"*BIO402 forel uke 4. 5. 6",2016-02-02,12:15,2016-02-02,16:00,"Slettan Audun","KRS 48 114 sem"
"*BIO402 lab uke 4. 5",2016-02-03,13:15,2016-02-03,17:00,"Slettan Audun","KRS JU 016 kjemi"
"*BIO402 lab uke 4. 5",2016-02-04,13:15,2016-02-04,17:00,"Slettan Audun","KRS JU 016 kjemi"
"*BIO401-1",2016-02-07,22:15,2016-02-07,23:00,"Olsen Esben Moland",""
"*BIO402 forel uke 4. 5. 6",2016-02-08,12:15,2016-02-08,16:00,"Slettan Audun","KRS 48 114 sem"
"*BIO402 forel uke 4. 5. 6",2016-02-09,12:15,2016-02-09,16:00,"Slettan Audun","KRS 48 114 sem"
"*BIO401 forel man",2016-02-15,09:15,2016-02-15,12:00,"Olsen Esben Moland","KRS 48 002 sem"
"*BIO401 forel ons",2016-02-17,12:15,2016-02-17,15:00,"Olsen Esben Moland","KRS 48 002 sem"
"*BIO401 forel man",2016-02-22,09:15,2016-02-22,12:00,"Olsen Esben Moland","KRS 48 002 sem"
"*BIO401 forel ons",2016-02-24,12:15,2016-02-24,15:00,"Olsen Esben Moland","KRS 48 002 sem"
"*BIO402-1",2016-02-28,20:15,2016-02-28,21:00,"Slettan Audun",""
"*BIO401 forel man",2016-02-29,09:15,2016-02-29,12:00,"Olsen Esben Moland","KRS 48 002 sem"
"*BIO401 forel ons",2016-03-02,12:15,2016-03-02,15:00,"Olsen Esben Moland","KRS 48 002 sem"
"*BIO402-1",2016-03-06,20:15,2016-03-06,21:00,"Slettan Audun",""
"*BIO401 forel man",2016-03-07,09:15,2016-03-07,12:00,"Olsen Esben Moland","KRS 48 002 sem"
"*BIO401 forel ons",2016-03-09,12:15,2016-03-09,15:00,"Olsen Esben Moland","KRS 48 002 sem"
"*BIO402-1",2016-03-13,20:15,2016-03-13,21:00,"Slettan Audun",""
"*BIO401 forel man",2016-03-14,09:15,2016-03-14,12:00,"Olsen Esben Moland","KRS 48 002 sem"
"*BIO402-1",2016-03-20,20:15,2016-03-20,21:00,"Slettan Audun",""
"*BIO402-1",2016-03-27,20:15,2016-03-27,21:00,"Slettan Audun",""
"*BIO400 forel man",2016-04-04,09:15,2016-04-04,12:00,"Blanco Gonzalez Enrique ","KRS 48 002 sem"
"*BIO400 sem man",2016-04-04,13:15,2016-04-04,15:00,"Blanco Gonzalez Enrique ","KRS 48 002 sem"
"*BIO400 forel ons",2016-04-06,09:15,2016-04-06,12:00,"Blanco Gonzalez Enrique ","KRS 48 002 sem"
"*BIO400 sem ons",2016-04-06,13:15,2016-04-06,15:00,"Blanco Gonzalez Enrique ","KRS 48 002 sem"
"*BIO400 forel fre uke 14",2016-04-08,09:15,2016-04-08,12:00,"Blanco Gonzalez Enrique ","KRS 48 002 sem"
"*BIO400 sem fre uke 14",2016-04-08,12:15,2016-04-08,14:00,"Blanco Gonzalez Enrique ","KRS 48 002 sem"
"*BIO400 sem man uke 15",2016-04-11,12:15,2016-04-11,14:00,"Blanco Gonzalez Enrique ","KRS 48 002 sem"
"*BIO400 forel ons",2016-04-13,09:15,2016-04-13,12:00,"Blanco Gonzalez Enrique ","KRS 48 002 sem"
"*BIO400 sem ons",2016-04-13,13:15,2016-04-13,15:00,"Blanco Gonzalez Enrique ","KRS 48 002 sem"
"*BIO400 forel fre uke 15",2016-04-15,09:15,2016-04-15,10:00,"Blanco Gonzalez Enrique ","KRS 48 002 sem"
"*BIO400 sem fre uke 15",2016-04-15,10:15,2016-04-15,12:00,"Blanco Gonzalez Enrique ","KRS 48 002 sem"
"*BIO400 forel man",2016-04-18,09:15,2016-04-18,12:00,"Blanco Gonzalez Enrique ","KRS 48 002 sem"
"*BIO400 sem man",2016-04-18,13:15,2016-04-18,15:00,"Blanco Gonzalez Enrique ","KRS 48 002 sem"
"*BIO400 forel ons",2016-04-20,09:15,2016-04-20,12:00,"Blanco Gonzalez Enrique ","KRS 48 002 sem"
"*BIO400 sem ons",2016-04-20,13:15,2016-04-20,15:00,"Blanco Gonzalez Enrique ","KRS 48 002 sem"
"*BIO400 forel fre uke 16",2016-04-22,09:15,2016-04-22,11:00,"Blanco Gonzalez Enrique ","KRS 48 002 sem"
"*BIO400 sem fre uke 16",2016-04-22,12:15,2016-04-22,14:00,"Blanco Gonzalez Enrique ","KRS 48 002 sem"
"*BIO400-1",2016-04-24,19:15,2016-04-24,20:00,"Blanco Gonzalez Enrique ",""
"*BIO400 forel man",2016-04-25,09:15,2016-04-25,12:00,"Blanco Gonzalez Enrique ","KRS 48 002 sem"
"*BIO400 sem man",2016-04-25,13:15,2016-04-25,15:00,"Blanco Gonzalez Enrique ","KRS 48 002 sem"
"*BIO400 forel ons uke 17",2016-04-27,09:15,2016-04-27,11:00,"Blanco Gonzalez Enrique ","KRS 48 002 sem"
"*BIO400 sem ons uke17",2016-04-27,12:15,2016-04-27,15:00,"Blanco Gonzalez Enrique ","KRS 48 002 sem"
"*BIO400 forel fre uke 17 NB! Rom",2016-04-29,10:15,2016-04-29,16:00,"Blanco Gonzalez Enrique ","KRS 46 134 sem"
"*BIO400 forel uke 18 NB! Rom",2016-05-02,09:15,2016-05-02,15:00,"Blanco Gonzalez Enrique ","KRS 46 134 sem"
"*BIO400 forel uke 18 NB! Rom",2016-05-04,09:15,2016-05-04,15:00,"Blanco Gonzalez Enrique ","KRS 46 134 sem"
"*BIO400 forel uke 18 NB! Rom",2016-05-06,09:15,2016-05-06,15:00,"Blanco Gonzalez Enrique ","KRS 46 134 sem"
"*BIO400 uke 19",2016-05-09,09:15,2016-05-09,14:00,"Blanco Gonzalez Enrique ","KRS 46 134 sem"
"*BIO400-1",2016-05-15,19:15,2016-05-15,20:00,"Blanco Gonzalez Enrique ",""
