Subject,Start Date,Start Time,End Date,End Time,Description,Location
".SV-303-1 for u 1.2.4.5*",2016-01-06,11:15,2016-01-06,13:00,"Gjedrem Jorunn, Ryen Anne","KRS B3 007 aud"
".SV-211-1 for 1+2*",2016-01-08,09:15,2016-01-08,13:00,"Ryen Anne","KRS B3 008 aud"
".SV-211-1 gr*",2016-01-08,14:15,2016-01-08,16:00,"Ryen Anne","KRS IK 023, KRS IK 028, KRS IU 057, KRS IU 059, KRS I1 054, KRS I1 056, KRS I1 058, KRS IU 056, KRS IU 054"
".SV-303-1 for u 1.2.4.5*",2016-01-13,11:15,2016-01-13,13:00,"Gjedrem Jorunn, Ryen Anne","KRS B3 007 aud"
".SV-211-1 for 1+2*",2016-01-15,09:15,2016-01-15,13:00,"Ryen Anne","KRS B3 008 aud"
".SV-211-1 gr*",2016-01-15,14:15,2016-01-15,16:00,"Ryen Anne","KRS IK 023, KRS IK 028, KRS IU 057, KRS IU 059, KRS I1 054, KRS I1 056, KRS I1 058, KRS IU 056, KRS IU 054"
".SV-303-1 veil u 3 (13:15-15:00)*",2016-01-20,13:15,2016-01-20,15:00,"Gjedrem Jorunn, Ryen Anne","KRS HU 022 sem, KRS HU 023 sem, KRS 51 134 sem, KRS 51 131 sem, KRS 48 007 A sem, KRS 50 115d sem, KRS 50 138 sem, KRS 48 013 sem, KRS 47 124 sem, KRS HK 007 sem"
".SV-211-1 for 1+2*",2016-01-22,09:15,2016-01-22,13:00,"Ryen Anne","KRS B3 008 aud"
".SV-211-1 gr*",2016-01-22,14:15,2016-01-22,16:00,"Ryen Anne","KRS IK 023, KRS IK 028, KRS IU 057, KRS IU 059, KRS I1 054, KRS I1 056, KRS I1 058, KRS IU 056, KRS IU 054"
".SV-303-1 for u 1.2.4.5*",2016-01-27,11:15,2016-01-27,13:00,"Gjedrem Jorunn, Ryen Anne","KRS B3 007 aud"
".SV-211-1 for 1+2*",2016-01-29,09:15,2016-01-29,13:00,"Ryen Anne","KRS B3 008 aud"
".SV-211-1 gr*",2016-01-29,14:15,2016-01-29,16:00,"Ryen Anne","KRS IK 023, KRS IK 028, KRS IU 057, KRS IU 059, KRS I1 054, KRS I1 056, KRS I1 058, KRS IU 056, KRS IU 054"
".SV-303-1 for u 1.2.4.5*",2016-02-03,11:15,2016-02-03,13:00,"Gjedrem Jorunn, Ryen Anne","KRS B3 007 aud"
".SV-303-1 litt.søk u 6.7*",2016-02-10,09:15,2016-02-10,15:00,"Daland Hilde Terese","KRS D3 016 pclab"
".SV-303-1 litt.søk u 6.7*",2016-02-17,09:15,2016-02-17,15:00,"Daland Hilde Terese","KRS D3 016 pclab"
".SV-303-1 veil u 11 (09:15-15:00)*",2016-03-16,09:15,2016-03-16,15:00,"Gjedrem Jorunn, Ryen Anne","KRS HU 022 sem, KRS HU 023 sem, KRS 51 134 sem, KRS 51 131 sem, KRS 48 007 A sem, KRS 50 115d sem, KRS 50 138 sem, KRS 48 013 sem, KRS 47 124 sem, KRS HK 007 sem"
