Subject,Start Date,Start Time,End Date,End Time,Description,Location
"'LSU300-G/Forel/01",2016-01-06,09:15,2016-01-06,14:00,"Lyngvi Marianne S.","GRM A2 023 sem"
"'LSU300-G/Forel/02",2016-01-07,09:15,2016-01-07,12:00,"Horrigmo, Kirsten Johansen , Johnsen, Tale Steen, Lyngvi Marianne S.","GRM A2 023 sem"
"'LSU300-G/Forel/02 kl. 12-14",2016-01-07,12:15,2016-01-07,14:00,"Horrigmo, Kirsten Johansen , Johnsen, Tale Steen, Lyngvi Marianne S.","GRM C4 090 sem*, GRM C4 091 sem*"
"'PED326-G/01 11.01 Kl.08-10. Streaming fra KRS",2016-01-11,08:15,2016-01-11,10:00,"","GRM A2 084 aud"
"'PED326-G/01 11.01 Kl.13-16. Streaming fra KRS",2016-01-11,13:15,2016-01-11,15:00,"","GRM A2 084 aud"
"'PED326-G/01 12.01 Kl.09-11. Streaming fra KRS",2016-01-12,09:15,2016-01-12,11:00,"","GRM A2 085 aud"
"'PED326-G/01 12.01 Kl.12-14. Streaming fra KRS",2016-01-12,12:15,2016-01-12,14:00,"","GRM A2 085 aud"
"'LSU300-G/Forel/01",2016-01-13,09:15,2016-01-13,14:00,"Lyngvi Marianne S.","GRM A2 023 sem"
"'LSU300-G/Forel/02",2016-01-14,09:15,2016-01-14,12:00,"Horrigmo, Kirsten Johansen , Johnsen, Tale Steen, Lyngvi Marianne S.","GRM A2 023 sem"
"'LSU300-G/Forel/02 kl. 12-14",2016-01-14,12:15,2016-01-14,14:00,"Horrigmo, Kirsten Johansen , Johnsen, Tale Steen, Lyngvi Marianne S.","GRM C4 090 sem*, GRM C4 091 sem*"
"'PED326-G/01 15.01 Kl.08-10. Streaming fra KRS",2016-01-15,08:15,2016-01-15,10:00,"","GRM A2 027 sem"
"'LSU300-G/Forel/ 18.01 Praksisforberedelse",2016-01-18,11:15,2016-01-18,16:00,"Johnsen, Tale Steen, Lyngvi Marianne S.","GRM F 204 sem"
"'LSU300-G/Forel/01",2016-01-20,09:15,2016-01-20,14:00,"Lyngvi Marianne S.","GRM A2 023 sem"
"'LSU300-G/Forel/02",2016-01-21,09:15,2016-01-21,12:00,"Horrigmo, Kirsten Johansen , Johnsen, Tale Steen, Lyngvi Marianne S.","GRM A2 023 sem"
"'LSU300-G/Forel/02 kl. 12-14",2016-01-21,12:15,2016-01-21,14:00,"Horrigmo, Kirsten Johansen , Johnsen, Tale Steen, Lyngvi Marianne S.","GRM C4 090 sem*, GRM C4 091 sem*"
"'PED326-G/01 21.01",2016-01-21,14:15,2016-01-21,16:00,"","GRM A2 023 sem"
"'LSU300-G/Forel/01",2016-01-27,09:15,2016-01-27,14:00,"Lyngvi Marianne S.","GRM A2 023 sem"
"'LSU300-G/Forel/02",2016-01-28,09:15,2016-01-28,12:00,"Horrigmo, Kirsten Johansen , Johnsen, Tale Steen, Lyngvi Marianne S.","GRM A2 023 sem"
"'LSU300-G/Forel/02 kl. 12-14",2016-01-28,12:15,2016-01-28,14:00,"Horrigmo, Kirsten Johansen , Johnsen, Tale Steen, Lyngvi Marianne S.","GRM C4 090 sem*, GRM C4 091 sem*"
"'LSU300-G/Forel/01",2016-03-02,09:15,2016-03-02,14:00,"Lyngvi Marianne S.","GRM A2 023 sem"
"'LSU300-G/Forel/02",2016-03-03,09:15,2016-03-03,12:00,"Horrigmo, Kirsten Johansen , Johnsen, Tale Steen, Lyngvi Marianne S.","GRM A2 023 sem"
"'LSU300-G/Forel/02 kl. 12-14",2016-03-03,12:15,2016-03-03,14:00,"Horrigmo, Kirsten Johansen , Johnsen, Tale Steen, Lyngvi Marianne S.","GRM C4 090 sem*, GRM C4 091 sem*"
"'LSU300-G/Forel/01",2016-03-09,09:15,2016-03-09,14:00,"Lyngvi Marianne S.","GRM A2 023 sem"
"'LSU300-G/Forel/02",2016-03-10,09:15,2016-03-10,12:00,"Horrigmo, Kirsten Johansen , Johnsen, Tale Steen, Lyngvi Marianne S.","GRM A2 023 sem"
"'LSU300-G/Forel/02 kl. 12-14",2016-03-10,12:15,2016-03-10,14:00,"Horrigmo, Kirsten Johansen , Johnsen, Tale Steen, Lyngvi Marianne S.","GRM C4 090 sem*, GRM C4 091 sem*"
"'LSU300-G/Forel/01",2016-03-16,09:15,2016-03-16,14:00,"Lyngvi Marianne S.","GRM A2 023 sem"
"'LSU300-G/Forel/02",2016-03-17,09:15,2016-03-17,12:00,"Horrigmo, Kirsten Johansen , Johnsen, Tale Steen, Lyngvi Marianne S.","GRM A2 023 sem"
"'LSU300-G/Forel/02 kl. 12-14",2016-03-17,12:15,2016-03-17,14:00,"Horrigmo, Kirsten Johansen , Johnsen, Tale Steen, Lyngvi Marianne S.","GRM C4 090 sem*, GRM C4 091 sem*"
"'LSU300-G/Forel/02",2016-04-07,09:15,2016-04-07,12:00,"Horrigmo, Kirsten Johansen , Johnsen, Tale Steen, Lyngvi Marianne S.","GRM A2 023 sem"
"'LSU300-G/Forel/02 kl. 12-14",2016-04-07,12:15,2016-04-07,14:00,"Horrigmo, Kirsten Johansen , Johnsen, Tale Steen, Lyngvi Marianne S.","GRM C4 090 sem*, GRM C4 091 sem*"
"'LSU300-G/Forel/01",2016-04-13,09:15,2016-04-13,14:00,"Lyngvi Marianne S.","GRM A2 023 sem"
"'LSU300-G/Forel/02",2016-04-14,09:15,2016-04-14,12:00,"Horrigmo, Kirsten Johansen , Johnsen, Tale Steen, Lyngvi Marianne S.","GRM A2 023 sem"
"'LSU300-G/Forel/02 kl. 12-14",2016-04-14,12:15,2016-04-14,14:00,"Horrigmo, Kirsten Johansen , Johnsen, Tale Steen, Lyngvi Marianne S.","GRM C4 090 sem*, GRM C4 091 sem*"
"'LSU300-G/Forel/01",2016-04-20,09:15,2016-04-20,14:00,"Lyngvi Marianne S.","GRM A2 023 sem"
"'PED326-G/01 04.05",2016-05-04,12:15,2016-05-04,17:00,"","GRM A2 085 aud"
"'LSU300-G/Forel/ Eksamensforberedelse",2016-05-05,09:15,2016-05-05,13:00,"Johnsen, Tale Steen, Lyngvi Marianne S.","GRM A2 023 sem"
