Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-NHB100 for",2016-01-07,08:15,2016-01-07,11:00,"Grundetjern Svein, Stokke May Britt Jansson","KRS B1 006 aud"
"-SRE100 for fre 08.01",2016-01-08,13:15,2016-01-08,15:00,"Horrigmo Kirsten Johansen","KRS B1 006 aud"
"-SRE100 for",2016-01-11,10:15,2016-01-11,12:00,"Haltorp Peter","KRS B1 006 aud"
"-SRE100 sem C",2016-01-11,12:15,2016-01-11,14:00,"","KRS F2 008 sem"
"-SRE100 for",2016-01-12,08:15,2016-01-12,11:00,"Haltorp Peter","KRS B1 006 aud"
"-SRE100 sem C",2016-01-12,11:15,2016-01-12,13:00,"","KRS F2 008 sem"
"-NHB100 for",2016-01-14,08:15,2016-01-14,11:00,"Grundetjern Svein, Stokke May Britt Jansson","KRS B1 006 aud"
"-NHB100 lab 1C 15.01",2016-01-15,09:15,2016-01-15,14:00,"Grundetjern Svein","KRS J1 004 bio"
"-SRE100 for",2016-01-18,10:15,2016-01-18,12:00,"Haltorp Peter","KRS B1 006 aud"
"-SRE100 sem C",2016-01-18,12:15,2016-01-18,14:00,"","KRS F2 008 sem"
"-SRE100 Veiledning politisk fremlegg (møterom HU 051)",2016-01-19,08:15,2016-01-19,16:00,"",""
"-SRE100 Veiledning politisk fremlegg (møterom HU 051)",2016-01-20,08:15,2016-01-20,16:00,"",""
"-NHB100 for",2016-01-21,08:15,2016-01-21,11:00,"Grundetjern Svein, Stokke May Britt Jansson","KRS B1 006 aud"
"-SRE100 for",2016-01-25,10:15,2016-01-25,12:00,"Haltorp Peter","KRS B1 006 aud"
"-SRE100 sem C",2016-01-25,12:15,2016-01-25,14:00,"","KRS F2 008 sem"
"-SRE100 for",2016-01-26,08:15,2016-01-26,11:00,"Haltorp Peter","KRS B1 006 aud"
"-NHB100 for (ped) uke 4",2016-01-27,09:15,2016-01-27,11:00,"Engtrø Randi, Johannessen Hæge, Nome Dag Øystein, Rønning Grethe Steen","KRS B3 007 aud"
"-NHB100 sem C (ped) uke 4.5",2016-01-27,12:15,2016-01-27,15:00,"Engtrø Randi","KRS 48 108 sem"
"-NHB100 for",2016-01-28,08:15,2016-01-28,11:00,"Grundetjern Svein, Stokke May Britt Jansson","KRS B1 006 aud"
"-SRE100 for",2016-02-01,10:15,2016-02-01,12:00,"Haltorp Peter","KRS B1 006 aud"
"-SRE100 sem C",2016-02-01,12:15,2016-02-01,14:00,"","KRS F2 008 sem"
"-NHB100 for (ped) uke 5",2016-02-03,10:15,2016-02-03,12:00,"Engtrø Randi, Johannessen Hæge, Nome Dag Øystein, Rønning Grethe Steen","KRS B1 007 aud"
"-NHB100 sem C (ped) uke 4.5",2016-02-03,12:15,2016-02-03,15:00,"Engtrø Randi","KRS 48 108 sem"
"-NHB100 for",2016-02-04,08:15,2016-02-04,11:00,"Grundetjern Svein, Stokke May Britt Jansson","KRS B1 006 aud"
"-SRE100 sem C framlegg uke 5",2016-02-05,09:15,2016-02-05,12:00,"Hidle Kari-Mette Wahlmann","KRS F2 001 sem"
"-SRE100 for",2016-02-08,10:15,2016-02-08,12:00,"Haltorp Peter","KRS B1 006 aud"
"-SRE100 sem C",2016-02-08,12:15,2016-02-08,14:00,"","KRS F2 008 sem"
"-SRE100 for",2016-02-09,08:15,2016-02-09,11:00,"Haltorp Peter","KRS B1 006 aud"
"-SRE100 sem C",2016-02-09,11:15,2016-02-09,13:00,"","KRS F2 008 sem"
"-SRE100 for (ped) uke 6",2016-02-10,08:15,2016-02-10,10:00,"Engtrø Randi, Johannessen Hæge, Nome Dag Øystein, Rønning Grethe Steen","KRS 46 118 aula"
"-SRE100 sem C (ped) uke 6.8",2016-02-10,10:15,2016-02-10,13:00,"Engtrø Randi","KRS 46 216 sem"
"-NHB100 for",2016-02-11,08:15,2016-02-11,11:00,"Grundetjern Svein, Stokke May Britt Jansson","KRS B1 006 aud"
"-SRE100 for",2016-02-15,10:15,2016-02-15,12:00,"Haltorp Peter","KRS B1 006 aud"
"-SRE100 sem C",2016-02-15,12:15,2016-02-15,14:00,"","KRS F2 008 sem"
"-SRE100 for",2016-02-16,08:15,2016-02-16,11:00,"Haltorp Peter","KRS B1 006 aud"
"-SRE100 sem C",2016-02-16,11:15,2016-02-16,13:00,"","KRS F2 008 sem"
"-NHB100 for",2016-02-18,08:15,2016-02-18,11:00,"Grundetjern Svein, Stokke May Britt Jansson","KRS B1 006 aud"
"-SRE100 for",2016-02-22,10:15,2016-02-22,12:00,"Haltorp Peter","KRS B1 006 aud"
"-SRE100 sem C",2016-02-22,12:15,2016-02-22,14:00,"","KRS F2 008 sem"
"-SRE100 for",2016-02-23,08:15,2016-02-23,11:00,"Haltorp Peter","KRS B1 006 aud"
