Subject,Start Date,Start Time,End Date,End Time,Description,Location
"KKK100 drama. ons uke 1",2016-01-06,09:15,2016-01-06,14:00,"Liene Anne Mette","KRS GU 043 teatersal, KRS GU 048 dramasal"
"KKK100 forelesning",2016-01-07,08:15,2016-01-07,10:00,"Liene Anne Mette","KRS 46 118 aula"
"-STM100 for",2016-01-11,12:15,2016-01-11,16:00,"Bjorvand Agnes-Margrethe, Carlsen, Martin, Fennefoss Anne Tove, Kvåle Gunhild, Olsen Anne Karin Vikstøl","KRS B3 007 aud"
"-STM100 2B sem ",2016-01-12,08:15,2016-01-12,16:00,"Moseid Elin Arnesen, Olsen Anne Karin Vikstøl, Wathne Unni","KRS 48 108 sem"
"KKK100 forelesning",2016-01-14,08:15,2016-01-14,10:00,"Liene Anne Mette","KRS 46 118 aula"
"KKK100 teori 2B uke 2",2016-01-15,09:15,2016-01-15,12:00,"","KRS HU 023 sem"
"-2BLU 18.01 (obligatorisk)",2016-01-18,11:15,2016-01-18,12:00,"","KRS B1 001 aud"
"-STM100 for",2016-01-18,12:15,2016-01-18,16:00,"Bjorvand Agnes-Margrethe, Carlsen, Martin, Fennefoss Anne Tove, Kvåle Gunhild, Olsen Anne Karin Vikstøl","KRS B3 007 aud"
"-STM100 2B sem ",2016-01-19,08:15,2016-01-19,16:00,"Moseid Elin Arnesen, Olsen Anne Karin Vikstøl, Wathne Unni","KRS 48 108 sem"
"KKK100 forelesning",2016-01-21,08:15,2016-01-21,10:00,"Liene Anne Mette","KRS 46 118 aula"
"-STM100 2B sem ",2016-03-15,08:15,2016-03-15,16:00,"Moseid Elin Arnesen, Olsen Anne Karin Vikstøl, Wathne Unni","KRS 48 108 sem"
"KKK100 teori uke 11",2016-03-17,09:15,2016-03-17,16:00,"Liene Anne Mette","KRS 46 137 sem, KRS 48 106 sem"
"KKK100 forelesning musikk",2016-03-18,09:15,2016-03-18,11:00,"Liene Anne Mette","KRS B1 001 aud"
"KKK100 forelesning ped",2016-03-18,11:15,2016-03-18,14:00,"Liene Anne Mette","KRS B1 001 aud"
"-STM100 for",2016-04-11,12:15,2016-04-11,16:00,"Bjorvand Agnes-Margrethe, Carlsen, Martin, Fennefoss Anne Tove, Kvåle Gunhild, Olsen Anne Karin Vikstøl","KRS B3 007 aud"
"-STM100 2B sem ",2016-04-12,08:15,2016-04-12,16:00,"Moseid Elin Arnesen, Olsen Anne Karin Vikstøl, Wathne Unni","KRS 48 108 sem"
"KKK100 drama ons uke 15",2016-04-13,08:15,2016-04-13,12:00,"Liene Anne Mette","KRS GU 043 teatersal, KRS GU 048 dramasal"
"KKK100 forelesning",2016-04-14,08:15,2016-04-14,10:00,"Liene Anne Mette","KRS 46 118 aula"
"KKK100 drama tors uke 15",2016-04-14,12:15,2016-04-14,16:00,"Liene Anne Mette","KRS GU 043 teatersal, KRS GU 048 dramasal"
"KKK100 drama fre uke 15.16.17.18",2016-04-15,08:15,2016-04-15,12:00,"Liene Anne Mette","KRS GU 043 teatersal, KRS GU 048 dramasal"
"KKK100 forelesning uke 16",2016-04-18,09:15,2016-04-18,12:00,"Liene Anne Mette","KRS B1 006 aud"
"KKK100 drama fre uke 15.16.17.18",2016-04-22,08:15,2016-04-22,12:00,"Liene Anne Mette","KRS GU 043 teatersal, KRS GU 048 dramasal"
"KKK100 teori uke 17",2016-04-28,09:15,2016-04-28,16:00,"Liene Anne Mette","KRS 48 106 sem, KRS 46 308 sem"
"-STM100 for",2016-05-02,12:15,2016-05-02,16:00,"Bjorvand Agnes-Margrethe, Carlsen, Martin, Fennefoss Anne Tove, Kvåle Gunhild, Olsen Anne Karin Vikstøl","KRS B3 007 aud"
"-STM100 2B sem ",2016-05-03,08:15,2016-05-03,16:00,"Moseid Elin Arnesen, Olsen Anne Karin Vikstøl, Wathne Unni","KRS 48 108 sem"
"KKK100 forelesning uke 18",2016-05-04,09:15,2016-05-04,14:00,"Liene Anne Mette","KRS B2 003 aud"
