Subject,Start Date,Start Time,End Date,End Time,Description,Location
"*ML-314/BIO402 forel uke 1",2016-01-07,09:15,2016-01-07,12:00,"Slettan Audun","KRS JU 071 aud"
"*ML-314/BIO402 forel uke 1",2016-01-08,09:15,2016-01-08,12:00,"Slettan Audun","KRS JU 071 aud"
"*ML-307 forel",2016-01-08,12:15,2016-01-08,14:00,"Hundhausen Thomas Eckhard","KRS JU 071 aud"
"*MA-143 forel 1 uke 2 NB! Rom",2016-01-11,10:15,2016-01-11,12:00,"Knutson Peder Kristian","KRS B2 002 aud"
"*ML-314/BIO402 forel",2016-01-11,12:15,2016-01-11,16:00,"Slettan Audun","KRS JU 071 aud"
"*MA-143 forel 2",2016-01-12,10:15,2016-01-12,12:00,"Knutson Peder Kristian","KRS I1 066 aud"
"*ML-314/BIO402 forel",2016-01-12,12:15,2016-01-12,16:00,"Slettan Audun","KRS JU 071 aud"
"*ML-314/BIO402 lab gr 1",2016-01-13,08:15,2016-01-13,12:00,"Slettan Audun","KRS JU 016 kjemi"
"*ML-314/BIO402 lab gr 2",2016-01-13,13:15,2016-01-13,17:00,"Slettan Audun","KRS JU 016 kjemi"
"*ML-314/BIO402 lab gr 1",2016-01-14,08:15,2016-01-14,12:00,"Slettan Audun","KRS JU 016 kjemi"
"*ML-314/BIO402 lab gr 2",2016-01-14,13:15,2016-01-14,17:00,"Slettan Audun","KRS JU 016 kjemi"
"*ML-307 forel",2016-01-15,12:15,2016-01-15,14:00,"Hundhausen Thomas Eckhard","KRS JU 071 aud"
"*MA-143 gr",2016-01-18,08:15,2016-01-18,10:00,"Knutson Peder Kristian","KRS B2 016, KRS B2 018, KRS B2 021, KRS B2 023, KRS B2 027, KRS B2 031, KRS B2 032, KRS B2 033"
"*MA-143 forel 1",2016-01-18,10:15,2016-01-18,12:00,"Knutson Peder Kristian","KRS B3 008 aud"
"*ML-314/BIO402 forel",2016-01-18,12:15,2016-01-18,16:00,"Slettan Audun","KRS JU 071 aud"
"*MA-143 forel 2",2016-01-19,10:15,2016-01-19,12:00,"Knutson Peder Kristian","KRS I1 066 aud"
"*ML-314/BIO402 forel",2016-01-19,12:15,2016-01-19,16:00,"Slettan Audun","KRS JU 071 aud"
"*ML-314/BIO402 lab gr 1",2016-01-20,08:15,2016-01-20,12:00,"Slettan Audun","KRS JU 016 kjemi"
"*ML-314/BIO402 lab gr 2",2016-01-20,13:15,2016-01-20,17:00,"Slettan Audun","KRS JU 016 kjemi"
"*ML-314/BIO402 lab gr 1",2016-01-21,08:15,2016-01-21,12:00,"Slettan Audun","KRS JU 016 kjemi"
"*ML-314/BIO402 lab gr 2",2016-01-21,13:15,2016-01-21,17:00,"Slettan Audun","KRS JU 016 kjemi"
"*ML-314 forel uke 3",2016-01-22,08:15,2016-01-22,10:00,"Slettan Audun","KRS JU 071 aud"
"*ML-307 forel",2016-01-22,12:15,2016-01-22,14:00,"Hundhausen Thomas Eckhard","KRS JU 071 aud"
"*MA-143 gr",2016-01-25,08:15,2016-01-25,10:00,"Knutson Peder Kristian","KRS B2 016, KRS B2 018, KRS B2 021, KRS B2 023, KRS B2 027, KRS B2 031, KRS B2 032, KRS B2 033"
"*MA-143 forel 1",2016-01-25,10:15,2016-01-25,12:00,"Knutson Peder Kristian","KRS B3 008 aud"
"*MA-143 forel 2 uke 4. 6 NB! Rom",2016-01-26,10:15,2016-01-26,12:00,"Knutson Peder Kristian","KRS H1 058 aud"
"*ML-307 forel",2016-01-29,12:15,2016-01-29,14:00,"Hundhausen Thomas Eckhard","KRS JU 071 aud"
"*MA-143 gr",2016-02-01,08:15,2016-02-01,10:00,"Knutson Peder Kristian","KRS B2 016, KRS B2 018, KRS B2 021, KRS B2 023, KRS B2 027, KRS B2 031, KRS B2 032, KRS B2 033"
"*MA-143 forel 1",2016-02-01,10:15,2016-02-01,12:00,"Knutson Peder Kristian","KRS B3 008 aud"
"*ML-209 forel tirs",2016-02-02,08:15,2016-02-02,10:00,"Synstad Bjørnar","KRS JU 071 aud"
"*MA-143 forel 2",2016-02-02,10:15,2016-02-02,12:00,"Knutson Peder Kristian","KRS I1 066 aud"
"*ML-209 forel ons",2016-02-03,10:15,2016-02-03,12:00,"Synstad Bjørnar","KRS JU 071 aud"
"*ML-307 forel",2016-02-05,12:15,2016-02-05,14:00,"Hundhausen Thomas Eckhard","KRS JU 071 aud"
"*MA-143 gr",2016-02-08,08:15,2016-02-08,10:00,"Knutson Peder Kristian","KRS B2 016, KRS B2 018, KRS B2 021, KRS B2 023, KRS B2 027, KRS B2 031, KRS B2 032, KRS B2 033"
"*MA-143 forel 1",2016-02-08,10:15,2016-02-08,12:00,"Knutson Peder Kristian","KRS B3 008 aud"
"*ML-209 forel tirs",2016-02-09,08:15,2016-02-09,10:00,"Synstad Bjørnar","KRS JU 071 aud"
"*MA-143 forel 2 uke 4. 6 NB! Rom",2016-02-09,10:15,2016-02-09,12:00,"Knutson Peder Kristian","KRS H1 058 aud"
"*ML-209 forel ons",2016-02-10,10:15,2016-02-10,12:00,"Synstad Bjørnar","KRS JU 071 aud"
"*ML-307 forel NB! Tid og rom",2016-02-12,10:15,2016-02-12,12:00,"Hundhausen Thomas Eckhard","KRS F1 031 sem"
"*ML-307 gr",2016-02-12,12:15,2016-02-12,15:00,"Hundhausen Thomas Eckhard","KRS JK 031, KRS JK 032, KRS JK 033, KRS J1 031, KRS J1 032, KRS JK 037"
"*ML-209 forel tirs",2016-02-16,08:15,2016-02-16,10:00,"Synstad Bjørnar","KRS JU 071 aud"
"*MA-143 oblig. test",2016-02-16,10:15,2016-02-16,12:00,"Knutson Peder Kristian","KRS 46 215 sem"
"*ML-307 lab gr 1",2016-02-16,12:15,2016-02-16,16:00,"Milan Margarita","KRS JK 018 kjemi"
"*ML-209 forel ons",2016-02-17,10:15,2016-02-17,12:00,"Synstad Bjørnar","KRS JU 071 aud"
"*ML-307 lab gr 2",2016-02-17,12:15,2016-02-17,16:00,"Milan Margarita","KRS JK 018 kjemi"
