Subject,Start Date,Start Time,End Date,End Time,Description,Location
"*BIO201 tirsdag 12. januar",2016-01-12,08:15,2016-01-12,10:00,"","KRS J1 064 aud"
"*BIO103 forel tirs",2016-01-12,10:15,2016-01-12,12:00,"Grundetjern Svein","KRS JU 071 aud"
"*BIO201 forel 2",2016-01-13,08:15,2016-01-13,12:00,"","KRS B2 001 aud"
"*BIO103 forel ",2016-01-15,10:15,2016-01-15,12:00,"Grundetjern Svein","KRS JU 071 aud"
"*BIO201 forel 1",2016-01-19,08:15,2016-01-19,10:00,"","KRS H1 058 aud"
"*BIO103 forel tirs",2016-01-19,10:15,2016-01-19,12:00,"Grundetjern Svein","KRS JU 071 aud"
"*BIO201 forel 2",2016-01-20,08:15,2016-01-20,12:00,"","KRS B2 001 aud"
"*BIO103 forel ",2016-01-22,10:15,2016-01-22,12:00,"Grundetjern Svein","KRS JU 071 aud"
"*BIO102 forel",2016-01-25,09:15,2016-01-25,13:00,"Sandvik Sylvi M.","KRS JU 071 aud"
"*BIO201 forel 1",2016-01-26,08:15,2016-01-26,10:00,"","KRS H1 058 aud"
"*BIO103 forel tirs",2016-01-26,10:15,2016-01-26,12:00,"Grundetjern Svein","KRS JU 071 aud"
"*BIO201 forel 2",2016-01-27,08:15,2016-01-27,12:00,"","KRS B2 001 aud"
"*BIO103 forel ",2016-01-29,10:15,2016-01-29,12:00,"Grundetjern Svein","KRS JU 071 aud"
"*BIO102 forel",2016-02-01,09:15,2016-02-01,13:00,"Sandvik Sylvi M.","KRS JU 071 aud"
"*BIO201 forel 1",2016-02-02,08:15,2016-02-02,10:00,"","KRS H1 058 aud"
"*BIO103 forel tirs",2016-02-02,10:15,2016-02-02,12:00,"Grundetjern Svein","KRS JU 071 aud"
"*BIO201 forel 2",2016-02-03,08:15,2016-02-03,12:00,"","KRS B2 001 aud"
"*BIO102 lab gr 1 uke 5",2016-02-04,09:15,2016-02-04,13:00,"Grundetjern Svein","KRS J1 001 biol"
"*BIO102 lab gr 2 uke 5",2016-02-04,13:15,2016-02-04,17:00,"Grundetjern Svein","KRS J1 001 biol"
"*BIO103 forel ",2016-02-05,10:15,2016-02-05,12:00,"Grundetjern Svein","KRS JU 071 aud"
"*BIO102 forel",2016-02-08,09:15,2016-02-08,13:00,"Sandvik Sylvi M.","KRS JU 071 aud"
"*BIO201 forel 1",2016-02-09,08:15,2016-02-09,10:00,"","KRS H1 058 aud"
"*BIO103 forel tirs",2016-02-09,10:15,2016-02-09,12:00,"Grundetjern Svein","KRS JU 071 aud"
"*BIO201 forel 2",2016-02-10,08:15,2016-02-10,12:00,"","KRS B2 001 aud"
"*BIO102 lab gr 1",2016-02-11,09:15,2016-02-11,13:00,"Sandvik Sylvi M.","KRS J1 001 biol"
"*BIO102 lab gr 2",2016-02-11,13:15,2016-02-11,17:00,"Sandvik Sylvi M.","KRS J1 001 biol"
"*BIO103 forel ",2016-02-12,10:15,2016-02-12,12:00,"Grundetjern Svein","KRS JU 071 aud"
"*BIO102 forel",2016-02-15,09:15,2016-02-15,13:00,"Sandvik Sylvi M.","KRS JU 071 aud"
"*BIO201 forel 1",2016-02-16,08:15,2016-02-16,10:00,"","KRS H1 058 aud"
"*BIO103 forel tirs",2016-02-16,10:15,2016-02-16,12:00,"Grundetjern Svein","KRS JU 071 aud"
"*BIO201 forel 2",2016-02-17,08:15,2016-02-17,12:00,"","KRS B2 001 aud"
"*BIO103 lab gr 1",2016-02-18,09:15,2016-02-18,13:00,"Grundetjern Svein","KRS J1 001 biol"
"*BIO103 lab gr 2",2016-02-18,13:15,2016-02-18,17:00,"Grundetjern Svein","KRS J1 001 biol"
"*BIO103 forel ",2016-02-19,10:15,2016-02-19,12:00,"Grundetjern Svein","KRS JU 071 aud"
"*BIO102 forel",2016-02-29,09:15,2016-02-29,13:00,"Sandvik Sylvi M.","KRS JU 071 aud"
"*BIO201 forel 1",2016-03-01,08:15,2016-03-01,10:00,"","KRS H1 058 aud"
"*BIO103 forel tirs",2016-03-01,10:15,2016-03-01,12:00,"Grundetjern Svein","KRS JU 071 aud"
"*BIO201 forel 2",2016-03-02,08:15,2016-03-02,12:00,"","KRS B2 001 aud"
"*BIO103 lab gr 1",2016-03-03,09:15,2016-03-03,13:00,"Grundetjern Svein","KRS J1 001 biol"
"*BIO103 lab gr 2",2016-03-03,13:15,2016-03-03,17:00,"Grundetjern Svein","KRS J1 001 biol"
"*BIO103 forel ",2016-03-04,10:15,2016-03-04,12:00,"Grundetjern Svein","KRS JU 071 aud"
"*BIO102 forel",2016-03-07,09:15,2016-03-07,13:00,"Sandvik Sylvi M.","KRS JU 071 aud"
"*BIO201 forel 1",2016-03-08,08:15,2016-03-08,10:00,"","KRS H1 058 aud"
