Subject,Start Date,Start Time,End Date,End Time,Description,Location
"*ERN104 forel man uke 2. 3",2016-01-11,08:15,2016-01-11,10:00,"Øverby Nina Cecilie","KRS x IU 071 aud idrett-"
"*ERN112 forel man",2016-01-11,10:15,2016-01-11,14:00,"Karlsen Ida Ulrikke","KRS x IU 071 aud idrett-"
"*ERN104 forel man uke 2. 3",2016-01-18,08:15,2016-01-18,10:00,"Øverby Nina Cecilie","KRS x IU 071 aud idrett-"
"*ERN112 forel man",2016-01-18,10:15,2016-01-18,14:00,"Karlsen Ida Ulrikke","KRS x IU 071 aud idrett-"
"*ERN104 forel man",2016-01-25,08:15,2016-01-25,10:00,"Beinert Cecilie","KRS x IU 071 aud idrett-"
"*ERN112 forel man",2016-01-25,10:15,2016-01-25,12:00,"Karlsen Ida Ulrikke","KRS x IU 071 aud idrett-"
"*ERN104 forel man",2016-02-01,08:15,2016-02-01,10:00,"Beinert Cecilie","KRS x IU 071 aud idrett-"
"*ERN112 forel man",2016-02-01,10:15,2016-02-01,14:00,"Karlsen Ida Ulrikke","KRS x IU 071 aud idrett-"
"*ERN104 forel man",2016-02-08,08:15,2016-02-08,10:00,"Beinert Cecilie","KRS x IU 071 aud idrett-"
"*ERN112 forel man",2016-02-08,10:15,2016-02-08,14:00,"Karlsen Ida Ulrikke","KRS x IU 071 aud idrett-"
"*ERN104 forel man",2016-02-15,08:15,2016-02-15,10:00,"Beinert Cecilie","KRS x IU 071 aud idrett-"
"*ERN112 forel man uke 7. 9",2016-02-15,10:15,2016-02-15,14:00,"Vik Frøydis","KRS x IU 071 aud idrett-"
"*ERN104 forel man",2016-02-29,08:15,2016-02-29,10:00,"Beinert Cecilie","KRS x IU 071 aud idrett-"
"*ERN112 forel man uke 7. 9",2016-02-29,10:15,2016-02-29,14:00,"Vik Frøydis","KRS x IU 071 aud idrett-"
"*ERN112 gr 1-4. rom: IU 046",2016-03-03,08:15,2016-03-03,10:00,"Karlsen Ida Ulrikke",""
"*ERN112 gr 5-8. rom: IU 046",2016-03-04,08:15,2016-03-04,10:00,"Karlsen Ida Ulrikke",""
"*ERN112 gr 9-12. rom: IU 046",2016-03-07,08:15,2016-03-07,10:00,"Karlsen Ida Ulrikke",""
"*ERN104 forel man NB!Tid",2016-03-07,10:15,2016-03-07,12:00,"Beinert Cecilie","KRS x IU 071 aud idrett-"
"*ERN112 forel man uke 10",2016-03-07,12:15,2016-03-07,13:00,"Karlsen Ida Ulrikke","KRS x IU 071 aud idrett-"
"*ERN104 forel man",2016-03-14,08:15,2016-03-14,10:00,"Beinert Cecilie","KRS x IU 071 aud idrett-"
"*ERN112 forel man",2016-03-14,10:15,2016-03-14,14:00,"Karlsen Ida Ulrikke","KRS x IU 071 aud idrett-"
"*ERN104 uke 13 NB! Dag",2016-03-30,10:15,2016-03-30,12:00,"Beinert Cecilie","KRS I1 066 aud"
"*ERN104 forel man",2016-04-04,08:15,2016-04-04,10:00,"Beinert Cecilie","KRS x IU 071 aud idrett-"
"*ERN112 forel tirs uke 14",2016-04-05,09:15,2016-04-05,15:00,"Nesset Peter","KRS x IU 071 aud idrett-"
"*ERN104 forel man",2016-04-11,08:15,2016-04-11,10:00,"Beinert Cecilie","KRS x IU 071 aud idrett-"
"*ERN112 forel man uke 15",2016-04-11,10:15,2016-04-11,12:00,"Torstveit Monica","KRS x IU 071 aud idrett-"
"*ERN112 forel tors uke 15",2016-04-14,09:15,2016-04-14,12:00,"Torstveit Monica","KRS x IU 071 aud idrett-"
"*ERN104 forel man",2016-04-18,08:15,2016-04-18,10:00,"Beinert Cecilie","KRS x IU 071 aud idrett-"
"*ERN112 forel man",2016-04-18,10:15,2016-04-18,12:00,"Karlsen Ida Ulrikke","KRS x IU 071 aud idrett-"
