Subject,Start Date,Start Time,End Date,End Time,Description,Location
"PRA200",2016-01-07,12:15,2016-01-07,16:00,"","KRS G1 051 aud"
"PED134",2016-01-11,09:15,2016-01-11,12:00,"Bjørkvik Anne","KRS G1 051 aud"
"DR-125/DR-204 felles workshop man uke 2",2016-01-11,12:15,2016-01-11,16:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-125/DR-204 felles workshop tirs uke 2",2016-01-12,08:15,2016-01-12,16:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-125/DR-204 felles workshop ons uke2",2016-01-13,12:15,2016-01-13,16:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-125/DR-204 felles workshop tors uke2",2016-01-14,08:15,2016-01-14,12:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-125/DR-204 felles workshop fre uke2",2016-01-15,08:15,2016-01-15,12:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"PED134",2016-01-18,09:15,2016-01-18,12:00,"Bjørkvik Anne","KRS G1 051 aud"
"DR-125 man uke 3",2016-01-18,12:15,2016-01-18,15:00,"","KRS 46 308 sem"
"DR-125 tirs/tors uke 3",2016-01-19,08:15,2016-01-19,12:00,"","KRS 46 308 sem"
"DR-125 tirs uke3.8.9.10.11.13.14.15",2016-01-19,08:15,2016-01-19,12:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-125 ons uke 3",2016-01-20,08:15,2016-01-20,12:00,"","KRS 48 106 sem"
"DR-125 ons uke 3.8.9.10.13.14.15",2016-01-20,12:15,2016-01-20,14:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-125 tirs/tors uke 3",2016-01-21,08:15,2016-01-21,12:00,"","KRS 46 308 sem"
"DR-125 tors uke3.8.9.10.11.13.14",2016-01-21,08:15,2016-01-21,12:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"PED134",2016-01-25,09:15,2016-01-25,12:00,"Bjørkvik Anne","KRS G1 051 aud"
"DR-125 man uke 4",2016-01-25,12:15,2016-01-25,15:00,"","KRS 48 007 B sem"
"DR-125 ons uke 4",2016-01-27,10:15,2016-01-27,14:00,"","KRS 48 013 sem"
"DR-125 tors uke 4",2016-01-28,08:15,2016-01-28,12:00,"","KRS 48 106 sem"
"PED134",2016-02-01,09:15,2016-02-01,12:00,"Bjørkvik Anne","KRS G1 051 aud"
"PED134",2016-02-08,09:15,2016-02-08,12:00,"Bjørkvik Anne","KRS G1 051 aud"
"PED134",2016-02-15,09:15,2016-02-15,12:00,"Bjørkvik Anne","KRS G1 051 aud"
"DR-125 man uke 7",2016-02-15,12:15,2016-02-15,15:00,"","KRS 48 007 B sem"
"DR-125 tirs uke 7",2016-02-16,08:15,2016-02-16,12:00,"","KRS 48 002 sem"
"DR-125 ons uke 7",2016-02-17,08:15,2016-02-17,16:00,"","KRS 48 115 sem"
"DR-125 tors uke 7",2016-02-18,09:15,2016-02-18,12:00,"","KRS 48 013 sem"
"PED134",2016-02-22,09:15,2016-02-22,12:00,"Bjørkvik Anne","KRS G1 051 aud"
"DR-125 tirs uke3.8.9.10.11.13.14.15",2016-02-23,08:15,2016-02-23,12:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"PRA200 tirs uke 8",2016-02-23,08:15,2016-02-23,14:00,"","KRS 48 106 sem"
"DR-125 ons uke 3.8.9.10.13.14.15",2016-02-24,12:15,2016-02-24,14:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-125 tors uke3.8.9.10.11.13.14",2016-02-25,08:15,2016-02-25,12:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"PED134",2016-02-29,09:15,2016-02-29,12:00,"Bjørkvik Anne","KRS G1 051 aud"
"DR-125 tirs uke3.8.9.10.11.13.14.15",2016-03-01,08:15,2016-03-01,12:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-125 ons uke 3.8.9.10.13.14.15",2016-03-02,12:15,2016-03-02,14:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
