Subject,Start Date,Start Time,End Date,End Time,Description,Location
"PRA100 ",2016-01-06,10:15,2016-01-06,15:00,"","KRS G1 051 aud"
"DR-121/DR-129 ons uke2",2016-01-13,08:15,2016-01-13,12:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"Booking/16/01/13 DR-124/DR-128 ons uke 2",2016-01-13,09:15,2016-01-13,12:00,"","KRS GK 001 sem"
"DR-124/DR-128 uke 2 ons",2016-01-13,09:15,2016-01-13,12:00,"","KRS F2 001 sem"
"DR-124/DR-128 ons uke 2",2016-01-13,12:15,2016-01-13,14:00,"","KRS 48 013 sem"
"DR-124/DR-128 tors uke 2. 10. 11. 13. 14. 16. 17. 18",2016-01-14,08:15,2016-01-14,11:00,"","KRS H1 023 sem"
"Booking/16/01/14 DR-124/DR-128 tors uke 2",2016-01-14,12:15,2016-01-14,15:00,"","KRS GK 001 sem"
"DR-124/DR-128 uke 2 tors",2016-01-14,12:15,2016-01-14,15:00,"","KRS 48 117 sem"
"DR-121/DR-129 tors uke 2.14",2016-01-14,12:15,2016-01-14,16:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 man uke3.4.5.6.10.11.14.15.16.17.18",2016-01-18,08:15,2016-01-18,12:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 tirs uke3.10.11.13",2016-01-19,12:15,2016-01-19,16:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 ons uke 3.10.14",2016-01-20,08:15,2016-01-20,12:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 tors uke3.4.5.6.10.11.13",2016-01-21,12:15,2016-01-21,16:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 man uke3.4.5.6.10.11.14.15.16.17.18",2016-01-25,08:15,2016-01-25,12:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 tirs uke4.5.6.7",2016-01-26,08:15,2016-01-26,16:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 ons uke4.5.6.7",2016-01-27,08:15,2016-01-27,14:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 uke 4 tors",2016-01-28,08:15,2016-01-28,12:00,"","KRS HU 022 sem"
"DR-121/DR-129 tors uke3.4.5.6.10.11.13",2016-01-28,12:15,2016-01-28,16:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 man uke3.4.5.6.10.11.14.15.16.17.18",2016-02-01,08:15,2016-02-01,12:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 tirs uke4.5.6.7",2016-02-02,08:15,2016-02-02,16:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 ons uke4.5.6.7",2016-02-03,08:15,2016-02-03,14:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 tors uke3.4.5.6.10.11.13",2016-02-04,12:15,2016-02-04,16:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 man uke3.4.5.6.10.11.14.15.16.17.18",2016-02-08,08:15,2016-02-08,12:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 tirs uke4.5.6.7",2016-02-09,08:15,2016-02-09,16:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 ons uke4.5.6.7",2016-02-10,08:15,2016-02-10,14:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 tors uke3.4.5.6.10.11.13",2016-02-11,12:15,2016-02-11,16:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 man uke7",2016-02-15,08:15,2016-02-15,16:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 tirs uke4.5.6.7",2016-02-16,08:15,2016-02-16,16:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 tors uke7",2016-02-18,08:15,2016-02-18,16:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-124/DR-128 man uke 8",2016-02-22,13:15,2016-02-22,16:00,"","KRS 48 013 sem"
"DR-121/DR-129 uke 8 ons/tors",2016-02-24,08:15,2016-02-24,16:00,"","KRS HU 023 sem"
"DR-121/DR-129 uke 8 ons/tors",2016-02-25,08:15,2016-02-25,16:00,"","KRS HU 023 sem"
"DR-124/DR-128 man uke 9",2016-02-29,12:15,2016-02-29,16:00,"","KRS 48 013 sem"
"DR-124/DR-128 tirs uke 9. 14. 15",2016-03-01,12:15,2016-03-01,15:00,"","KRS 48 013 sem"
"Booking/16/03/01 DR-124/DR-128 v/Tordis Landvik",2016-03-01,15:15,2016-03-01,16:00,"","KRS 48 013 sem"
"DR-124/DR-128 ons. uke 9",2016-03-02,08:15,2016-03-02,12:00,"","KRS G1 051 aud"
"DR-124/DR-128 tors uke 9",2016-03-03,08:15,2016-03-03,11:00,"","KRS 46 308 sem"
"DR-121/DR-129 man uke3.4.5.6.10.11.14.15.16.17.18",2016-03-07,08:15,2016-03-07,12:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-124/DR-128 man",2016-03-07,13:15,2016-03-07,15:00,"","KRS 48 007 B sem"
"DR-121/DR-129 uke 10 tirs",2016-03-08,12:15,2016-03-08,15:00,"","KRS HU 022 sem"
"DR-121/DR-129 tirs uke3.10.11.13",2016-03-08,12:15,2016-03-08,16:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 ons uke 3.10.14",2016-03-09,08:15,2016-03-09,12:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 uke 10 ons",2016-03-09,09:15,2016-03-09,12:00,"","KRS HU 022 sem"
"DR-124/DR-128 tors uke 2. 10. 11. 13. 14. 16. 17. 18",2016-03-10,08:15,2016-03-10,11:00,"","KRS H1 023 sem"
"DR-121/DR-129 tors uke3.4.5.6.10.11.13",2016-03-10,12:15,2016-03-10,16:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 man uke3.4.5.6.10.11.14.15.16.17.18",2016-03-14,08:15,2016-03-14,12:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 uke 11 man/ons",2016-03-14,09:15,2016-03-14,12:00,"","KRS 46 308 sem"
"DR-124/DR-128 man",2016-03-14,13:15,2016-03-14,15:00,"","KRS 48 007 B sem"
"DR-121/DR-129 uke 11 tirs",2016-03-15,08:15,2016-03-15,12:00,"","KRS H1 022 sem"
"DR-121/DR-129 tirs uke3.10.11.13",2016-03-15,12:15,2016-03-15,16:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 uke 11 man/ons",2016-03-16,09:15,2016-03-16,12:00,"","KRS 46 308 sem"
"DR-124/DR-128 tors uke 2. 10. 11. 13. 14. 16. 17. 18",2016-03-17,08:15,2016-03-17,11:00,"","KRS H1 023 sem"
"DR-121/DR-129 uke 11 tors",2016-03-17,08:15,2016-03-17,12:00,"","KRS 46 308 sem"
"DR-121/DR-129 tors uke3.4.5.6.10.11.13",2016-03-17,12:15,2016-03-17,16:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 tirs uke3.10.11.13",2016-03-29,12:15,2016-03-29,16:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 uke 13 ons",2016-03-30,13:15,2016-03-30,16:00,"","KRS 46 308 sem"
"DR-124/DR-128 tors uke 2. 10. 11. 13. 14. 16. 17. 18",2016-03-31,08:15,2016-03-31,11:00,"","KRS H1 023 sem"
"DR-121/DR-129 tors uke3.4.5.6.10.11.13",2016-03-31,12:15,2016-03-31,16:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-121/DR-129 man uke3.4.5.6.10.11.14.15.16.17.18",2016-04-04,08:15,2016-04-04,12:00,"","KRS GU 043 teatersal, KRS GU 048 dramasal"
"DR-124/DR-128 man uke 14",2016-04-04,13:15,2016-04-04,16:00,"","KRS 48 013 sem"
"DR-121/DR-129 uke 14 tirs",2016-04-05,08:15,2016-04-05,11:00,"","KRS 46 308 sem"
"DR-124/DR-128 tirs uke 9. 14. 15",2016-04-05,12:15,2016-04-05,15:00,"","KRS 48 013 sem"
